"disease_type","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"CMD",95495.3197403965,3874.75850776609,97187.2897744514,91368.5675722645,98183.8973795818,0.128130129268719,0.00520751680518896,0.130571807602975,0.122571485206292,0.131613346747029,13.0571807602975,12.2571485206292,13.1613346747029,38.9970915729568,1.58232165472846,39.688035490796,37.3118641436228,40.0950166721275
"Cancer",129245.000201072,4149.47158913923,130769.171306783,124859.995664979,132334.459297312,0.127762868748652,0.00406123360030877,0.129339201025756,0.123459255050419,0.130726600011347,12.9339201025756,12.3459255050419,13.0726600011347,52.7793311953899,1.69450528026866,53.4017516484951,50.9886421447985,54.0409628608419
