"disease_type3","V1","V2","V3"
"All_HD",8956.2022511484,8073.10341056529,7663.34443538789
"All_STK",9261.4398119326,9850.91897403941,9154.62250145722
"Cancer",132416.84287576,124548.986420674,130769.171306783
"DIAB",856.070466739042,928.548331266577,851.928625160166
"Other_CVD",3565.53825373019,3670.58901738058,3370.70241908498
