"race","disease_type","V1","V2","V3"
1,"Cancer",100481.918944814,91737.6916521574,94857.5698679413
1,"CMD",82266.5009267323,81742.8203006103,72045.2169711063
2,"Cancer",14957.1997522187,15873.8716247161,17769.5928064972
2,"CMD",11101.9148434101,11212.0778499281,14329.3661732544
3,"Cancer",8138.68921620821,8355.67146657759,8973.17914153728
3,"CMD",2293.16191041404,2962.51114859273,2258.03534067597
4,"Cancer",8839.03496251918,8581.75167722275,9168.82949080697
4,"CMD",1525.712093895,2318.94111229961,2429.70055027061
