"race","pathway","V1","V2","V3"
1,"direct",207839.468117792,193337.50184338,187072.112450105
1,"medSBP",0,0,0
1,"medBMI",168287.152704886,156195.885598324,149833.305055989
2,"medSBP",0,0,0
2,"medBMI",19419.8124781708,19835.0139326815,23455.1081082405
2,"direct",33033.0209247288,34350.514936851,38382.5647147056
3,"medBMI",6655.20507462298,6721.488290512,6636.16505120828
3,"medSBP",0,0,0
3,"direct",14283.0256406134,15272.94574461,16055.6931309498
4,"direct",13360.2013638422,14322.6716632029,14925.7328855746
4,"medSBP",0,0,0
4,"medBMI",6512.08559518662,7885.28335245929,8304.8700795022
