"age","race","pathway","disease_type1","V1","V2","V3"
25,1,"direct","Cancer",755.625102618853,765.075916238298,710.953902997259
25,1,"medSBP","Cancer",0,0,0
25,1,"medBMI","Cancer",360.529213344955,404.559997478224,254.816844802027
25,1,"direct","CMD",314.043579615368,246.132557995172,315.209612427138
25,1,"medSBP","CMD",0,0,0
25,1,"medBMI","CMD",321.803856118585,314.554374459281,286.696181097692
25,2,"medSBP","Cancer",0,0,0
25,2,"medBMI","Cancer",73.7303834209756,49.5544635484722,53.0096995769209
25,2,"direct","Cancer",110.96936106851,134.142628016446,131.830807183386
25,2,"medSBP","CMD",0,0,0
25,2,"medBMI","CMD",278.016915285997,209.837722457225,172.371398963752
25,2,"direct","CMD",200.139553085398,183.094607766502,194.20595945704
25,3,"medBMI","Cancer",64.4274420843207,88.276686758279,74.0770200921401
25,3,"medSBP","Cancer",0,0,0
25,3,"direct","Cancer",249.990948396771,233.956446490986,272.019348201644
25,3,"medBMI","CMD",35.6076880607066,54.3415655184791,49.0845554564724
25,3,"medSBP","CMD",0,0,0
25,3,"direct","CMD",35.2874388217314,48.0552058685569,50.5331408201795
25,4,"direct","Cancer",151.774452175587,173.618036687985,209.300531822085
25,4,"medSBP","Cancer",0,0,0
25,4,"medBMI","Cancer",37.7136630740673,76.2942035970496,92.0999435310574
25,4,"direct","CMD",20.6824013228094,26.2297240604953,40.6143722384903
25,4,"medSBP","CMD",0,0,0
25,4,"medBMI","CMD",21.7477007857035,28.1544388967459,38.0026390599578
35,1,"direct","Cancer",1388.32419186792,1215.13362768829,1478.34463146924
35,1,"medBMI","Cancer",568.518177180104,716.140899825078,636.494901114194
35,1,"medSBP","Cancer",0,0,0
35,1,"direct","CMD",726.209238147782,975.116770320465,773.102948316296
35,1,"medBMI","CMD",852.403928501291,970.783540030111,766.529425907294
35,1,"medSBP","CMD",0,0,0
35,2,"medSBP","Cancer",0,0,0
35,2,"direct","Cancer",362.258773915635,469.008751624618,457.34854309993
35,2,"medBMI","Cancer",217.006658092136,192.500346692744,199.187377149956
35,2,"medSBP","CMD",0,0,0
35,2,"direct","CMD",667.316330150396,409.313694337672,423.751275353262
35,2,"medBMI","CMD",667.264230578708,617.582059280212,469.155019936802
35,3,"medBMI","Cancer",82.0857339252064,40.5674060137765,47.4129834552974
35,3,"medSBP","Cancer",0,0,0
35,3,"direct","Cancer",431.854892203303,440.576551774252,500.232089647471
35,3,"medBMI","CMD",92.3773528774515,14.3180131866973,31.8867520323799
35,3,"medSBP","CMD",0,0,0
35,3,"direct","CMD",81.6486388137665,23.2888642698921,39.7534854689553
35,4,"medBMI","Cancer",111.620487194224,148.703311637429,122.366233766179
35,4,"direct","Cancer",396.621596052024,364.069865158095,350.80849378123
35,4,"medSBP","Cancer",0,0,0
35,4,"medBMI","CMD",20.6641508323924,72.712996434672,31.1630168607536
35,4,"direct","CMD",25.322762343699,51.2924533729543,26.6025051910392
35,4,"medSBP","CMD",0,0,0
45,1,"direct","Cancer",5611.72362915833,5119.14235831631,4085.46214082182
45,1,"medBMI","Cancer",3026.80979706862,3008.08561031263,2695.86966463197
45,1,"medSBP","Cancer",0,0,0
45,1,"direct","CMD",2150.304175547,3430.5022589669,2354.94924688769
45,1,"medBMI","CMD",2963.32365066671,3085.11588180256,2530.98396012517
45,1,"medSBP","CMD",0,0,0
45,2,"direct","Cancer",1246.52862356274,1196.08610901124,1196.01513569022
45,2,"medSBP","Cancer",0,0,0
45,2,"medBMI","Cancer",542.107239463601,526.99273882993,474.439449272946
45,2,"direct","CMD",1244.70338880217,1129.57944445938,795.307373598431
45,2,"medSBP","CMD",0,0,0
45,2,"medBMI","CMD",1221.92661506978,1101.30485829881,830.129309594947
45,3,"medSBP","Cancer",0,0,0
45,3,"direct","Cancer",1103.14841748169,1134.45515447707,894.011676510765
45,3,"medBMI","Cancer",231.369578961264,146.170658079792,275.669154191988
45,3,"medSBP","CMD",0,0,0
45,3,"direct","CMD",145.201507838024,23.5232957999861,133.551093242515
45,3,"medBMI","CMD",175.104105272761,47.2972888863605,126.258726008553
45,4,"medBMI","Cancer",331.923168797654,430.412174940563,448.197079360495
45,4,"medSBP","Cancer",0,0,0
45,4,"direct","Cancer",1219.14780689861,1053.66598491117,1166.85640185767
45,4,"medBMI","CMD",163.505063359384,207.489286781645,198.04538887562
45,4,"medSBP","CMD",0,0,0
45,4,"direct","CMD",164.698265722079,219.499242277532,204.071052211953
55,1,"medBMI","Cancer",7791.30106705642,6884.15325143447,8260.73040184222
55,1,"medSBP","Cancer",0,0,0
55,1,"direct","Cancer",16800.941433898,17807.3896269214,19181.4731088588
55,1,"medBMI","CMD",6053.60126729701,4855.91394889678,5032.94498098192
55,1,"medSBP","CMD",0,0,0
55,1,"direct","CMD",5449.02797213383,4085.83440302445,4580.5748063519
55,2,"direct","Cancer",3807.10216070126,4271.97686964117,5199.76485114794
55,2,"medBMI","Cancer",1295.20521636919,1164.77691104791,1629.6277743572
55,2,"medSBP","Cancer",0,0,0
55,2,"direct","CMD",1295.8025299741,1605.3206266994,1677.00590424415
55,2,"medBMI","CMD",1809.13678247074,1492.10479303645,1687.28609787006
55,2,"medSBP","CMD",0,0,0
55,3,"medSBP","Cancer",0,0,0
55,3,"direct","Cancer",2415.5441652139,2050.23472402976,2699.83295203983
55,3,"medBMI","Cancer",636.00503337633,506.43175028939,786.175798650818
55,3,"medSBP","CMD",0,0,0
55,3,"direct","CMD",298.283394913865,275.994224048907,441.844734945677
55,3,"medBMI","CMD",389.203172535891,285.54350895479,437.8231720858
55,4,"medSBP","Cancer",0,0,0
55,4,"medBMI","Cancer",585.001947307049,384.767049619611,546.779891584683
55,4,"direct","Cancer",2696.87355212358,2364.21446305944,2565.76844587921
55,4,"medSBP","CMD",0,0,0
55,4,"medBMI","CMD",127.04285203618,87.9631239702688,153.719743240343
55,4,"direct","CMD",111.6081915794,99.7508531392805,190.159425784699
65,1,"medSBP","Cancer",0,0,0
65,1,"direct","Cancer",22590.4516738231,20412.170203346,22525.4853039998
65,1,"medBMI","Cancer",11385.2792768252,9099.71753602888,11082.0986300808
65,1,"medSBP","CMD",0,0,0
65,1,"direct","CMD",9724.53876019248,9953.99758154719,7321.08450140967
65,1,"medBMI","CMD",10604.9151755884,10212.2697281799,9144.83729254394
65,2,"medBMI","Cancer",1144.0582813031,1061.0754075365,931.126994608502
65,2,"medSBP","Cancer",0,0,0
65,2,"direct","Cancer",2744.59075749057,3737.80502579557,3602.63507271949
65,2,"medBMI","CMD",1576.73585330168,1466.16557171549,1441.50412649751
65,2,"medSBP","CMD",0,0,0
65,2,"direct","CMD",1419.26452050356,1167.26599872657,1711.83701350941
65,3,"direct","Cancer",1590.65555369974,2045.76724077535,2058.16592348604
65,3,"medBMI","Cancer",217.826528587173,223.602211504323,145.77720543251
65,3,"medSBP","Cancer",0,0,0
65,3,"direct","CMD",128.435148487589,76.9780754814299,174.684768816072
65,3,"medBMI","CMD",186.363181849119,107.302799295423,174.902368881007
65,3,"medSBP","CMD",0,0,0
65,4,"direct","Cancer",1450.37674717616,1499.57456421338,1619.72036157035
65,4,"medSBP","Cancer",0,0,0
65,4,"medBMI","Cancer",408.008843792016,322.864440500891,495.365199202644
65,4,"direct","CMD",155.270623986439,136.992327138166,127.870735038778
65,4,"medSBP","CMD",0,0,0
65,4,"medBMI","CMD",168.494448440499,149.688973566322,148.100275115207
75,1,"direct","Cancer",19992.2850778095,16314.9025630241,15749.5070271655
75,1,"medBMI","Cancer",10210.1303041634,9991.22006154381,8196.33331015764
75,1,"medSBP","Cancer",0,0,0
75,1,"direct","CMD",18312.7890737137,19219.5294088712,16947.7997440283
75,1,"medBMI","CMD",24793.5402492101,24393.0698465162,21990.5042710294
75,1,"medSBP","CMD",0,0,0
75,2,"medSBP","Cancer",0,0,0
75,2,"medBMI","Cancer",152.66399107715,514.285386288916,1041.92127005585
75,2,"direct","Cancer",3260.97830575388,2555.66698668262,2852.68583163486
75,2,"medSBP","CMD",0,0,0
75,2,"medBMI","CMD",376.862786292179,1017.16568739453,2712.0626767602
75,2,"direct","CMD",344.745337895368,813.342785755904,2214.75001746885
75,3,"medBMI","Cancer",137.279792760399,292.716317009803,118.26096069422
75,3,"medSBP","Cancer",0,0,0
75,3,"direct","Cancer",978.501129518113,1152.91631937481,1101.54402913455
75,3,"medBMI","CMD",405.866690517404,1190.28340226838,349.208857704077
75,3,"medSBP","CMD",0,0,0
75,3,"direct","CMD",319.783590425731,815.584905013824,248.503685214284
75,4,"direct","Cancer",1271.66504245381,1362.88186548553,1180.29694010325
75,4,"medBMI","Cancer",178.307655474397,400.685717411605,371.269968348117
