"female","race","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"All_HD",4373.87631277234,296.667065969843,4461.39729519119,4064.19974615401,4609.16004433465,0.0234087405809157,0.0015863205892249,0.0237453121896426,0.0217843516241442,0.0247470436702692,2.37453121896426,2.17843516241442,2.47470436702692,5.96233200838183,0.404407307563657,6.0816378866384,5.54019055458659,6.28306346565898
0,1,"All_STK",3058.70083123887,174.52563720924,3145.40496345882,2872.18211822607,3171.52103186471,0.0670580324488926,0.0039872614058528,0.0692285602547839,0.062795006317377,0.0694761099454005,6.92285602547839,6.2795006317377,6.94761099454005,4.16952574010952,0.237907914765959,4.28771811360769,3.91526923781408,4.32331872493153
0,1,"Cancer",38885.7279982938,1758.82783321917,39567.662962258,37022.0280273482,40169.7832498697,0.127296738575556,0.00522361035890429,0.129541987256029,0.121736697731693,0.130948318041017,12.9541987256029,12.1736697731693,13.0948318041017,53.0078136952393,2.39757934091844,53.9374062059844,50.4672759213794,54.7581978349658
0,1,"DIAB",398.943801478468,79.794898070803,376.532401455958,334.940103292466,481.997189683603,0.0141527568412333,0.0027288712246395,0.0133964366506043,0.0119575493248555,0.0169908365196457,1.33964366506043,1.19575493248555,1.69908365196457,0.543827769009984,0.108773920625925,0.513277246281058,0.456579920406024,0.65704356193353
0,1,"Other_CVD",1479.12648912862,116.952672060743,1509.29959353649,1358.00660594326,1574.5992335673,0.0357654754782166,0.00286892480376599,0.0365857923625167,0.0327762441241337,0.0380574374806443,3.65857923625167,3.27762441241337,3.80574374806443,2.01629917719076,0.159426241217043,2.05743021367617,1.85119232351527,2.14644464985366
0,2,"All_HD",529.788796246888,90.9433362952878,526.455240503258,444.852930008801,617.55818486706,0.0189026181986747,0.00337924195039931,0.0186369851930975,0.0158126797563532,0.0222183446957369,1.86369851930975,1.58126797563532,2.22183446957369,4.17002176003109,0.715824294450439,4.14378300208134,3.50148287636837,4.86086358795111
0,2,"All_STK",595.794069154785,62.2804690387144,627.999211901913,529.204775643929,635.008991330583,0.0678316635648122,0.00705986143965452,0.0718355604095737,0.0602878355828895,0.0719721792286877,7.18355604095737,6.02878355828895,7.19721792286877,4.6895560088725,0.490215936909608,4.94304597882243,4.1654248741779,4.99822066910967
0,2,"Cancer",6477.97362775026,345.469057937459,6547.05733857179,6125.37640479153,6771.8496965107,0.146495140679913,0.00623061355711586,0.147096021596023,0.140341363872777,0.152138168708355,14.7096021596023,14.0341363872777,15.2138168708355,50.9887924772906,2.71922226219617,51.5325574255686,48.2134636997087,53.3019210488362
0,2,"DIAB",82.285140262766,17.2130074524997,77.1488928708354,68.67111793521,100.264972873463,0.0120688695332982,0.00245895591359403,0.0113102225769898,0.0101402143563732,0.0146423746230853,1.13102225769898,1.01402143563732,1.46423746230853,0.647674748604993,0.135485340839581,0.607246820455164,0.540517387502548,0.789195848634793
0,2,"Other_CVD",238.474147461491,25.7217632922955,238.647498479736,213.965214359253,262.835732198222,0.0384473009338655,0.00466945462196579,0.0379142840660052,0.0342595800035904,0.0430880862018219,3.79142840660052,3.42595800035904,4.30880862018219,1.8770543868879,0.202458627655192,1.8784188504691,1.68414206961071,2.06880691012108
0,3,"All_HD",54.3884064868089,19.2035115416019,64.8514773104395,33.8568931075347,66.0263096659972,0.00323969866987783,0.00114404235945526,0.00387945011321831,0.00201691576505175,0.00391869284786449,0.387945011321831,0.201691576505175,0.391869284786449,0.284462076008511,0.10043814688894,0.339185996788133,0.177078218000438,0.345330601353905
0,3,"All_STK",59.3690672228702,34.7002181955738,71.3410056178275,22.8216510857332,85.7403357242934,0.0114157702226584,0.00654052604503372,0.0142819288856924,0.00444898842593714,0.0159463171558008,1.42819288856924,0.444898842593714,1.59463171558008,0.310511912442268,0.181488974277179,0.373127507743843,0.119361729183297,0.448438839694901
0,3,"Cancer",2992.35372387757,158.348481163686,2907.6824158697,2895.00925023021,3161.66880933161,0.0887227346934861,0.00479087822857022,0.086285612574474,0.0856726455251693,0.0938443776629632,8.6285612574474,8.56726455251693,9.38443776629632,15.6505992256357,0.828193738228779,15.207751611409,15.1414684595339,16.5361504638301
0,3,"DIAB",10.0151558970612,5.83097646835023,11.820946131912,3.91121197455035,14.584178119949,0.00240729622854663,0.0013817487074982,0.00283626057816247,0.000960657480159853,0.00348931527975995,0.283626057816247,0.0960657480159853,0.348931527975995,0.0523812375109369,0.0304971551565125,0.0618258760326801,0.0204564088168272,0.0762781234615648
0,3,"Other_CVD",22.2044154326649,9.44054316340926,23.022042001159,12.9136708481952,30.8001774339147,0.00740267997227159,0.0033033355543348,0.00768310769912385,0.00415382184457514,0.0104131745321436,0.768310769912385,0.415382184457514,1.04131745321436,0.116133465172641,0.0493758997620692,0.120409813131649,0.0675410414765349,0.161090993103592
0,4,"All_HD",76.8832801419414,22.3410798930502,70.2566598589304,59.1877368228339,100.211450701608,0.00939676702988244,0.00264640968004322,0.00849960851726372,0.00737476327206391,0.0121813555234269,0.849960851726372,0.737476327206391,1.21813555234269,0.606137496376902,0.176134085430917,0.553894108472936,0.466628199886551,0.790053672585623
