"age","female","race","pathway","V1","V2","V3"
25,0,1,"direct",889.14826452746,780.501668128348,811.13694482211
25,0,1,"medSBP",0,0,0
25,0,1,"medBMI",718.999511155729,674.546682260632,678.132802891388
25,0,2,"medSBP",0,0,0
25,0,2,"medBMI",324.182165978418,244.384568788942,170.354366037248
25,0,2,"direct",270.244049418117,263.020959715014,243.438683245109
25,0,3,"medBMI",67.9133587688657,123.806306607312,108.202060440898
25,0,3,"medSBP",0,0,0
25,0,3,"direct",172.312625643041,180.454198824006,169.114848742043
25,0,4,"direct",104.194394867972,111.706137458482,140.358371033761
25,0,4,"medSBP",0,0,0
25,0,4,"medBMI",69.7077307395726,64.8867315937351,121.868089046671
25,1,1,"direct",1537.72394437816,1250.50482407966,1421.97462854194
25,1,1,"medBMI",1288.55934508058,1343.30143142113,867.880058541815
25,1,1,"medSBP",0,0,0
25,1,2,"medSBP",0,0,0
25,1,2,"direct",314.439072449267,324.951160551896,370.170517945509
25,1,2,"medBMI",310.054046872582,242.659462048048,285.846160874132
25,1,3,"medSBP",0,0,0
25,1,3,"medBMI",248.824793600921,329.705468932112,321.807057989455
25,1,3,"direct",309.568892073112,397.18585271081,423.51459810334
25,1,4,"direct",195.249916196277,302.076290980498,433.736933026236
25,1,4,"medBMI",131.903904891378,305.440826939525,285.408177258091
25,1,4,"medSBP",0,0,0
35,0,1,"direct",1997.0886112201,2361.33000300938,1878.24544408948
35,0,1,"medBMI",1743.165417027,1824.88356879693,1462.81873202078
35,0,1,"medSBP",0,0,0
35,0,2,"medSBP",0,0,0
35,0,2,"direct",996.149106355478,865.14390069075,751.101688179485
35,0,2,"medBMI",909.752924695099,939.630984695407,638.871094424124
35,0,3,"medBMI",289.787426819886,6.93518273455772,57.5949052376231
35,0,3,"medSBP",0,0,0
35,0,3,"direct",426.88264525683,249.153828796529,326.064787911508
35,0,4,"medBMI",10.399840106438,211.569523897467,0
35,0,4,"direct",203.54454266812,259.184060088258,163.452274894755
35,0,4,"medSBP",0,0,0
35,1,1,"medBMI",1874.81196067489,2297.50600018693,1958.70876619502
35,1,1,"direct",2294.76596441332,2552.26411985066,2807.34667916675
35,1,1,"medSBP",0,0,0
35,1,2,"direct",918.110048708681,782.687848107492,943.764806944401
35,1,2,"medBMI",796.73561151524,578.477142446497,609.242021191807
35,1,2,"medSBP",0,0,0
35,1,3,"medSBP",0,0,0
35,1,3,"direct",426.875119184495,503.003302369731,529.745534082192
35,1,3,"medBMI",158.436801043399,169.781366830456,198.77842678258
35,1,4,"medBMI",364.666934341542,520.481877376428,566.646201057939
35,1,4,"medSBP",0,0,0
35,1,4,"direct",555.434336009104,566.652350353113,607.752760208973
45,0,1,"direct",6148.74111785511,8632.97507201385,4921.7800155591
45,0,1,"medBMI",6223.73154946956,7074.62661173649,4650.61341454885
45,0,1,"medSBP",0,0,0
45,0,2,"direct",2618.34337910352,2298.17184408976,1771.40740376396
45,0,2,"medSBP",0,0,0
45,0,2,"medBMI",2008.1710738189,1890.39609428611,1018.43674430394
45,0,3,"medSBP",0,0,0
45,0,3,"direct",845.081135726278,716.920013356794,487.013882755741
45,0,3,"medBMI",373.423625387657,0,50.1634576108842
45,0,4,"medBMI",825.043685744465,1047.60709914752,990.666167198965
45,0,4,"medSBP",0,0,0
45,0,4,"direct",1246.21040738458,1313.01232230723,1451.86733860633
45,1,1,"medSBP",0,0,0
45,1,1,"medBMI",8279.98217623859,7316.26119029006,8739.12339263054
45,1,1,"direct",9733.80013372105,9090.49006880491,9897.05159353695
45,1,2,"medBMI",1556.5032278325,1414.36607125401,1761.18609417499
45,1,2,"medSBP",0,0,0
45,1,2,"direct",2048.26322798666,2141.69641306361,2117.65134129848
45,1,3,"direct",1202.13893451172,969.258349488557,1567.9849056161
45,1,3,"medBMI",696.713949089359,535.336522814094,1126.31703482428
45,1,3,"medSBP",0,0,0
45,1,4,"medSBP",0,0,0
45,1,4,"direct",1169.17685210877,1459.13120473139,1155.76331056233
45,1,4,"medBMI",639.538513509082,925.832682964208,834.106503204449
55,0,1,"medBMI",16496.8772005216,14497.8100371268,14986.3611785134
55,0,1,"medSBP",0,0,0
55,0,1,"direct",20035.952248099,20014.2627177046,19311.2943398747
55,0,2,"direct",4421.22296353667,4719.08108329894,5676.30429654549
55,0,2,"medBMI",3576.86661580372,2117.7424618865,3610.94845801278
55,0,2,"medSBP",0,0,0
55,0,3,"medSBP",0,0,0
55,0,3,"direct",1930.08033857617,1605.54375286342,2351.61355716874
55,0,3,"medBMI",785.275327679812,574.074375278646,1045.62655155938
55,0,4,"medSBP",0,0,0
55,0,4,"medBMI",365.851585204296,251.116698625214,639.664954923432
55,0,4,"direct",1252.46080614261,1098.18574353365,1707.76252279579
55,1,1,"medSBP",0,0,0
