"age","female","outcome","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"AA",0.977401503797033,0.0235162887113083,0.985544328569697,0.952628454945176,0.995253151592125,0.00870678517564614,0.000638045624285802,0.0083913416950527,0.00829307353373395,0.00938862377606276,0.83913416950527,0.829307353373395,0.938862377606276,0.00286179351608017,6.8854776972255e-05,0.0028856353897078,0.00278925899438937,0.00291406244518747
25,0,"AFF",0.101192640966581,0.0239598842877337,0.105631807764728,0.0768390192166542,0.121772970938084,0.0089358742463369,0.00178924040664649,0.0099427406169891,0.00702369046262274,0.00999222161499669,0.99427406169891,0.702369046262274,0.999222161499669,0.000296288109510959,7.01536075341522e-05,0.000309285816912043,0.000224981654030526,0.000356546513700469
25,0,"APCA",0.00879467944920414,0.00136346971647716,0.00922583006325549,0.00736566058019187,0.00985722029627277,0.00091016365160844,0.000261618394890507,0.000912135513256325,0.00066079342999557,0.00115785779082061,0.0912135513256325,0.066079342999557,0.115785779082061,2.57504787192985e-05,3.99218619863744e-06,2.70128709163156e-05,2.15663671563346e-05,2.8861556914798e-05
25,0,"BC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"CC",90.4490278466234,15.7285991049211,95.6524898639368,73.9217840716171,102.553328906913,0.069639612814744,0.0115328861015622,0.0748278645261123,0.0573440586294057,0.0775251530454192,7.48278645261123,5.73440586294057,7.75251530454192,0.264831228949054,0.0460527252726989,0.280066762969072,0.216440103203649,0.300272150777442
25,0,"CM",4.75787834334254,1.07965161141744,4.50879110765984,3.85875254640145,5.86872829061392,0.0106561250718861,0.00320693949978417,0.0095778151595536,0.00819984196781729,0.0140289716014376,0.95778151595536,0.819984196781729,1.40289716014376,0.0139308823859795,0.00316117784674655,0.0132015646662442,0.0112982770893533,0.0171834077443806
25,0,"DIAB",9.70695950598683,1.07943202148834,9.13260598205646,9.04096073976573,10.8611587675488,0.020908968418177,0.00240378063244809,0.0210987587471686,0.0185500605461104,0.0231065545106007,2.10987587471686,1.85500605461104,2.31065545106007,0.0284215991761503,0.00316053489599103,0.026739914439288,0.0264715807410603,0.0318010496375734
25,0,"ECA",0.345294682962944,0.174195177559002,0.40438495853146,0.161997859118929,0.478364772573721,0.00630167584155427,0.00151910308010169,0.00671267405229672,0.00472402671616682,0.00752997648781066,0.671267405229672,0.472402671616682,0.752997648781066,0.00101100937639391,0.000510036691916433,0.00118402340064948,0.000474323418824708,0.00140063341334588
25,0,"ENDO",0.80675386870006,0.21200135196798,0.687640698101979,0.681425238612209,1.03332869379628,0.00907672052942653,0.00186070914644819,0.00827923882085394,0.00777425046019913,0.0110570500509406,0.827923882085394,0.777425046019913,1.10570500509406,0.00236214389025317,0.000620731697368232,0.00201338516830207,0.00199518654511786,0.00302554614904692
25,0,"GC",0.0137057100065964,0.012492892211547,0.012186387206192,0.00254918332945512,0.0261536610640813,0.00437514848869121,0.000931455317315994,0.00420733089898984,0.00357242607249626,0.00532051585613234,0.420733089898984,0.357242607249626,0.532051585613234,4.01297848200339e-05,3.65787015767862e-05,3.56812668648856e-05,7.46390945296647e-06,7.65769004489775e-05
25,0,"HHD",5.30157787854817,2.39836776264281,5.08969635083983,3.11985639638007,7.66339865926835,0.0126269004934072,0.00620293607289557,0.0117354069688978,0.00715881921439034,0.0188527512682571,1.17354069688978,0.715881921439034,1.88527512682571,0.0155228134383695,0.0070223273502679,0.0149024325817643,0.00913481795513565,0.0224381326497179
25,0,"HSTK",7.10296293174195,0.982579193681901,6.81338481791619,6.32349850137587,8.12856875885993,0.0454103080920758,0.006572706024874,0.0462330416741525,0.0388533724484479,0.0512679201909385,4.62330416741525,3.88533724484479,5.12679201909385,0.0207971986783827,0.00287695359030066,0.0199493252452788,0.0185149572001661,0.0238001325747375
25,0,"IHD",15.6424213692812,2.2225623457965,14.7769686834265,14.0224838781393,17.9979936433995,0.0205113059282104,0.00190773955787621,0.0195054484896945,0.0193264076245814,0.0225511830545778,1.95054484896945,1.93264076245814,2.25511830545778,0.0458004002208888,0.00650757594046546,0.0432663884813617,0.0410572863719791,0.0526974240483966
25,0,"ISTK",3.2486212724899,0.693120283573358,3.41569425813686,2.53365770586845,3.82157280131142,0.046596698288195,0.0133030669068121,0.0476113688589284,0.0335551509195962,0.0587757756716705,4.76113688589284,3.35551509195962,5.87757756716705,0.00951183649472087,0.00202942918103571,0.0100010196862539,0.00741845103210174,0.0111894162445369
25,0,"KC",2.135680751199,0.414977694255958,2.16966672631072,1.7280007366023,2.51447268695074,0.00354952084281343,0.000436407579299813,0.00377123879631571,0.00308298955829931,0.00382759186685062,0.377123879631571,0.308298955829931,0.382759186685062,0.00625319001705538,0.00121503851807682,0.00635269962782899,0.00505951882064744,0.00736227804430574
25,0,"LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"LVC",0.513177748626761,0.0207720673430177,0.50800362679666,0.496107899463867,0.534645601345241,0.0041274610941031,0.000745912273417527,0.00380228723482029,0.00360948459959979,0.0049218353689968,0.380228723482029,0.360948459959979,0.49218353689968,0.0015025644506494,6.08198037417518e-05,0.00148741482355422,0.00145258459747231,0.00156542148685738
