"age","pathway","disease_type2","V1","V2","V3"
65,"direct","OSTK",293.452593250295,258.133285790676,304.835526151845
65,"medBMI","OSTK",63.1099194448795,62.5010858904491,62.6532565673732
65,"medSBP","Other_CVD",0,0,0
65,"direct","Other_CVD",0,0,0
65,"medBMI","Other_CVD",706.340710757804,642.839320013141,622.67373160054
75,"direct","Cancer",25503.4295555353,21386.367734567,20884.0338280381
75,"medBMI","Cancer",10678.3817434753,11198.9074822541,9727.78550925583
75,"medSBP","Cancer",0,0,0
75,"direct","DIAB",0,0,0
75,"medBMI","DIAB",268.976607473584,260.171227061022,309.50813063368
75,"medSBP","DIAB",0,0,0
75,"direct","HHD",0,0,0
75,"medBMI","HHD",270.775448438159,280.434556660763,182.38101776747
75,"medSBP","HHD",0,0,0
75,"direct","HSTK",288.222245345141,283.642308145515,307.773835105568
75,"medBMI","HSTK",68.1424577183434,83.5811528750346,79.453222745042
75,"medSBP","HSTK",0,0,0
75,"direct","IHD",908.730144849781,475.47191337875,663.449203968961
75,"medBMI","IHD",794.477515537982,897.84743188087,907.410356716676
75,"medSBP","IHD",0,0,0
75,"direct","ISTK",329.800838697248,493.255343942326,438.519730555477
75,"medBMI","ISTK",146.333480701592,95.3824473730265,103.010913199648
75,"medSBP","ISTK",0,0,0
75,"direct","OSTK",695.015309474009,854.989682778372,640.974196223697
75,"medBMI","OSTK",175.867378814033,191.746118804595,186.98585580605
75,"medSBP","OSTK",0,0,0
75,"direct","Other_CVD",0,0,0
75,"medBMI","Other_CVD",1810.57200226819,2054.126330522,1904.63168939443
75,"medSBP","Other_CVD",0,0,0
