"female","pathway","disease_type","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"direct","CMD",22857.3767351055,1088.53834805589,23384.728444547,21694.5576162009,23571.9469009848,0.0578340728285491,0.00275704218066229,0.0594151268106803,0.0548887681739961,0.0594354815982907,5.94151268106803,5.48887681739961,5.94354815982907,19.3925068672544,0.923530623596127,19.8399191738073,18.4059554353003,19.9987578386384
0,"direct","Cancer",36355.9798922155,1585.0081835989,36858.7123380557,34694.4811991483,37590.1560063186,0.087853851336119,0.0036953739207505,0.0889911405080737,0.0839868869005361,0.0907541199755403,8.89911405080737,8.39868869005361,9.07541199755403,30.8449039404739,1.3447423316031,31.2714289315667,29.435266028449,31.8919956100698
0,"medBMI","CMD",28522.5418086869,2274.07466260609,29712.6078525219,26090.9980564055,29942.5294237087,0.072170213843028,0.00579654394076698,0.0748888952823341,0.0659827774782405,0.0760467709844053,7.48888952823341,6.59827774782405,7.60467709844053,24.198909363339,1.92935563088947,25.2085774540833,22.1359548318277,25.4036460177178
0,"medBMI","Cancer",15389.8193488331,387.18942854937,15271.5807066397,15085.3371956724,15794.8043478582,0.0371903392047892,0.000894857431869627,0.0368701981325105,0.0365181160172889,0.0381346823037265,3.68701981325105,3.65181160172889,3.81346823037265,13.0569304109898,0.328496736046702,12.9566151514006,12.7986036434629,13.4005251491676
0,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","CMD",20724.7018281491,1088.07770312302,20179.9347795195,20024.7748736314,21887.6807740019,0.0592045470863598,0.00321664338252073,0.0575355466216204,0.0571839447170698,0.0626437998506782,5.75355466216204,5.71839447170698,6.26437998506782,16.3172494232598,0.856679889581387,15.8883361446143,15.7661735723439,17.2329015610245
1,"direct","Cancer",54408.1630506604,1255.99410481422,54161.410509332,53337.2352318277,55688.8305296222,0.0910156626286601,0.00209338292562621,0.0907442951277573,0.089154851816538,0.0931071358165495,9.07442951277573,8.9154851816538,9.31071358165495,42.8373626081889,0.988886076737737,42.6430860971894,41.9941853948759,43.8456748558514
1,"medBMI","CMD",23390.699368455,374.732904879339,23539.7222011933,22993.1470272397,23661.5823018428,0.0668150189637654,0.000941712573549004,0.0672271008184564,0.0658119854849137,0.0674677828661297,6.72271008184564,6.58119854849137,6.74677828661297,18.4162782627428,0.295039722487772,18.5336089125014,18.1032720364433,18.6295534367474
1,"medBMI","Cancer",23091.0379093633,1298.60091418756,23707.5270493206,21704.4450031591,23953.6150466038,0.0386284360729954,0.00219741798355833,0.0397205835498351,0.0362800001321124,0.0400485466585647,3.97205835498351,3.62800001321124,4.00485466585647,18.1803447949862,1.02243183973297,18.6657272698139,17.0886339232608,18.8594805631079
1,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
