"female","race","outcome","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"AA",23.9726637444176,2.90372181796098,24.4268963295945,21.0465101399616,26.5127196514733,0.00534276251040213,0.000708895577230501,0.00547342280674994,0.00462241590141184,0.00595204786749676,0.547342280674994,0.462241590141184,0.595204786749676,0.0326787888244876,0.00395826317450018,0.033297984542012,0.0286899473370539,0.0361413139520256
0,1,"AFF",50.799881407643,1.34783284502488,50.047176049306,49.9990511781549,52.2405111917177,0.0054790852525725,0.000153623751442685,0.00541102068077325,0.00537324098130748,0.00564278440986688,0.541102068077325,0.537324098130748,0.564278440986688,0.0692488166741985,0.00183732376939268,0.0682227521652895,0.0681571498393101,0.0712126383416594
0,1,"APCA",20.0089378069947,4.59133002813381,18.8668798022891,16.2349538947211,24.7536710232681,0.000557187025778278,0.000132993722718603,0.000519087591384326,0.000450985305830553,0.000695773264960862,0.0519087591384326,0.0450985305830553,0.0695773264960862,0.0272755610376985,0.00625875814271379,0.0257187431238035,0.0221309836719513,0.0337434336302566
0,1,"BC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"CC",3715.58324840055,405.112328925879,3924.3830306402,3282.45296144695,3971.23372045043,0.0710058428819297,0.00627909701832118,0.0740474549444377,0.0642982822225114,0.0751280332882162,7.40474549444377,6.42982822225114,7.51280332882162,5.0649673990676,0.552236513568416,5.3495967612092,4.47453767745845,5.41346216285639
0,1,"CM",45.0304276946912,5.17039089026116,46.3466593684067,39.6800150071237,49.2620434596005,0.00493764613423958,0.000517289382825349,0.00503166705783117,0.00441238845187978,0.00538298603154652,0.503166705783117,0.441238845187978,0.538298603154652,0.0613840770053699,0.00704811588083297,0.0631783230419401,0.0540905610154502,0.0671524838642049
0,1,"DIAB",398.943801478468,79.794898070803,376.532401455958,334.940103292466,481.997189683603,0.0141527568412333,0.0027288712246395,0.0133964366506043,0.0119575493248555,0.0169908365196457,1.33964366506043,1.19575493248555,1.69908365196457,0.543827769009984,0.108773920625925,0.513277246281058,0.456579920406024,0.65704356193353
0,1,"ECA",59.7580209188673,11.8269791894508,57.7341536206705,49.5065993574704,71.7297296837314,0.00721332252056928,0.00136840737145394,0.00687415940361689,0.00608778019891607,0.00862715349163202,0.687415940361689,0.608778019891607,0.862715349163202,0.0814602735430983,0.0161221697965739,0.0787014006555594,0.0674858548499025,0.0977797341907021
0,1,"ENDO",5.15173292604047,0.727534242280792,5.04679304612708,4.51058845204171,5.88207629796562,0.00655886647047087,0.000726448704994273,0.00640502547351428,0.00594582820453434,0.0073026695838205,0.640502547351428,0.594582820453434,0.73026695838205,0.0070226819249254,0.000991752027206986,0.00687963114794383,0.00614869374008417,0.00801826327020097
0,1,"GC",3.02645259683302,0.613265616322605,3.37655167750534,2.37124036400194,3.38408061109262,0.00385759076696668,0.00097406607823264,0.00381589921296491,0.00295058283684761,0.00480003651798726,0.381589921296491,0.295058283684761,0.480003651798726,0.0041255659510203,0.000835984594068834,0.00460281011741387,0.00323240103534031,0.00461307332526577
