sex_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,added_sugar,CED,MJ,-43594557.18991407,-42573094.84241055,-41900746.48044134,-42695590.97768574,897769.09990136,0,0,0,0,0,-43594557.18991407,-42573094.84241055,-41900746.48044134,-42695590.97768574,897769.09990136,-1741525518.542878,-1700660346.1078215,-1674758345.14442,-1705910581.711911,35433553.79011012,-28896326.483865067,-28218628.809076402,-27773216.589933362,-28300132.47772399,595309.7717370451,-14698230.706048986,-14354466.033334155,-14127529.890507996,-14395458.499961758,302459.4732547373,77564439.1257264,78236787.4876956,79258249.83519913,78359283.6229708,897769.099901364,35663692.64528508,35663692.64528508,35663692.64528508,35663692.64528508,0,51413636.316972665,51859048.53611571,52536746.21090439,51940552.2047633,595309.7717370525,23640419.727039315,23640419.727039315,23640419.727039315,23640419.72703932,0,26150802.80875372,26377738.95157987,26721503.624294735,26418731.418207485,302459.47325475095,12023272.918245738,12023272.918245738,12023272.918245738,12023272.918245738,0,0,0,0,0,0,-14698230.706048986,-14354466.033334155,-14127529.890507996,-14395458.499961758,302459.4732547373,0,0,0,0,0,0,0,0,0,0,26150802.80875372,26377738.95157987,26721503.624294735,26418731.418207485,302459.47325475095,12023272.918245738,12023272.918245738,12023272.918245738,12023272.918245738,0
Female,added_sugar,FL,mrh-eq,-2047458.7030655998,-2000819.2356611378,-1972182.1763383946,-2007135.870075776,39995.09795109632,0,0,0,0,0,-2047458.7030655998,-2000819.2356611378,-1972182.1763383946,-2007135.870075776,39995.09795109632,-1741525518.542878,-1700660346.1078215,-1674758345.14442,-1705910581.711911,35433553.79011012,-1357210.7435904497,-1326266.8426930783,-1307296.7324192387,-1330468.1727364229,26521.29790240328,-690247.9594751493,-674552.3929680593,-664885.4439191576,-676667.6973393534,13473.806929405971,3656278.980916301,3684916.040239042,3731555.5076435,3691232.6746536796,39995.09795109302,1684096.8045779045,1684096.8045779045,1684096.8045779045,1684096.8045779045,0,2423690.2210146924,2442660.3312885314,2473604.232185903,2446861.661331876,26521.297902403086,1116393.4885954533,1116393.4885954533,1116393.4885954533,1116393.4885954533,0,1232588.7599016086,1242255.7089505107,1257951.2754576001,1244371.0133218046,13473.806929405935,567703.3159824514,567703.3159824514,567703.3159824514,567703.3159824514,0,0,0,0,0,0,-690247.9594751493,-674552.3929680593,-664885.4439191576,-676667.6973393534,13473.806929405971,0,0,0,0,0,0,0,0,0,0,1232588.7599016086,1242255.7089505107,1257951.2754576001,1244371.0133218046,13473.806929405935,567703.3159824514,567703.3159824514,567703.3159824514,567703.3159824514,0
Female,added_sugar,Food_price,USD,-75274571.81861067,-73940789.61867677,-72826724.04540975,-74017883.17189322,1290069.7354342025,0,0,0,0,0,-75274571.81861067,-73940789.61867677,-72826724.04540975,-74017883.17189322,1290069.7354342025,-1741525518.542878,-1700660346.1078215,-1674758345.14442,-1705910581.711911,35433553.79011012,-49893474.71128388,-49007849.63502819,-48270123.418754205,-49059743.97186387,855576.5865449313,-25381097.107326828,-24932939.983648606,-24556600.626655575,-24958139.200029373,434493.91406562226,135007990.09678343,136122055.67005047,137455837.86998445,136199149.22326696,1290069.7354342556,62181266.051373675,62181266.051373675,62181266.051373675,62181266.05137368,0,89486553.08190663,90224279.29818067,91109904.37443627,90276173.63501632,855576.5865449072,41216429.66315241,41216429.66315241,41216429.66315241,41216429.66315241,0,45521437.01487682,45897776.37186988,46345933.4955481,45922975.58825064,434493.91406563495,20964836.38822127,20964836.38822127,20964836.38822127,20964836.38822127,0,0,0,0,0,0,-25381097.107326828,-24932939.983648606,-24556600.626655575,-24958139.200029373,434493.91406562226,0,0,0,0,0,0,0,0,0,0,45521437.01487682,45897776.37186988,46345933.4955481,45922975.58825064,434493.91406563495,20964836.38822127,20964836.38822127,20964836.38822127,20964836.38822127,0
Female,oil,CED,MJ,-3973045.9993404844,-3644336.2518744613,-3207859.9113759315,-3606523.4122139327,404058.6892974807,0,0,0,0,0,-3973045.9993404844,-3644336.2518744613,-3207859.9113759315,-3606523.4122139327,404058.6892974807,-428424453.14223903,-393106018.7389589,-346107553.8150398,-389007762.41592765,43469817.229035445,-3313465.794949697,-3039045.3458912442,-2675522.706743473,-3007781.419544115,336849.4176356775,-659580.2043907881,-605290.9059832197,-532337.2046324565,-598741.992669818,67209.7246100108,41353972.70107727,41790449.0415758,42119158.78904182,41752636.201915264,404058.68929747684,38146112.78970133,38146112.78970133,38146112.78970133,38146112.78970133,0,34498584.89821317,34862107.53736096,35136527.9864194,34830843.61101382,336849.41763568285,31823062.19146972,31823062.19146972,31823062.19146972,31823062.191469718,0,6855387.802864072,6928341.504214835,6982630.802622403,6921792.5909014335,67209.72461001023,6323050.5982316155,6323050.5982316155,6323050.5982316155,6323050.598231616,0,0,0,0,0,0,-659580.2043907881,-605290.9059832197,-532337.2046324565,-598741.992669818,67209.7246100108,0,0,0,0,0,0,0,0,0,0,6855387.802864072,6928341.504214835,6982630.802622403,6921792.5909014335,67209.72461001023,6323050.5982316155,6323050.5982316155,6323050.5982316155,6323050.598231616,0
Female,oil,FL,mrh-eq,-202000.12925927102,-183804.24009433456,-161960.40837056396,-182524.2602491296,21102.671301343868,0,0,0,0,0,-202000.12925927102,-183804.24009433456,-161960.40837056396,-182524.2602491296,21102.671301343868,-428424453.14223903,-393106018.7389589,-346107553.8150398,-389007762.41592765,43469817.229035445,-168464.68876211598,-153276.9074301507,-135082.95113459247,-152222.10919731107,17593.066892349605,-33535.44049715487,-30527.33266418402,-26877.4572359714,-30302.15105181849,3509.623874180528,2118498.281339094,2140342.113062864,2158538.002227799,2139062.133217659,21102.671301342816,1956537.872968527,1956537.872968527,1956537.872968527,1956537.8729685273,0,1767285.6073647493,1785479.5636603064,1800667.3449922728,1784424.7654274676,17593.066892349616,1632202.656230156,1632202.656230156,1632202.656230156,1632202.656230156,0,351212.6739743424,354862.5494025551,357870.6572355261,354637.3677901896,3509.6238741806155,324335.216738371,324335.216738371,324335.216738371,324335.216738371,0,0,0,0,0,0,-33535.44049715487,-30527.33266418402,-26877.4572359714,-30302.15105181849,3509.623874180528,0,0,0,0,0,0,0,0,0,0,351212.6739743424,354862.5494025551,357870.6572355261,354637.3677901896,3509.6238741806155,324335.216738371,324335.216738371,324335.216738371,324335.216738371,0
Female,oil,Food_price,USD,-3090465.612396629,-2477330.7303000186,-2290041.4574031704,-2626750.2422999353,440701.71596327197,0,0,0,0,0,-3090465.612396629,-2477330.7303000186,-2290041.4574031704,-2626750.2422999353,440701.71596327197,-428424453.14223903,-393106018.7389589,-346107553.8150398,-389007762.41592765,43469817.229035445,-2577385.608913174,-2066091.1966187786,-1910065.4767430383,-2190746.878169184,367437.8258738171,-513080.00348345464,-411239.53368124,-379975.98066013196,-436003.36413075106,73263.92912579427,30986618.20835201,31173907.48124887,31787042.36334547,31323326.99324878,440701.71596327133,28696576.750948854,28696576.750948854,28696576.750948854,28696576.750948858,0,25850081.08327165,26006106.80314738,26517401.21544178,26130762.48469779,367437.8258738161,23940015.606528625,23940015.606528625,23940015.606528625,23940015.606528625,0,5136537.125080366,5167800.678101476,5269641.14790369,5192564.508550986,73263.92912579457,4756561.144420235,4756561.144420235,4756561.144420235,4756561.144420235,0,0,0,0,0,0,-513080.00348345464,-411239.53368124,-379975.98066013196,-436003.36413075106,73263.92912579427,0,0,0,0,0,0,0,0,0,0,5136537.125080366,5167800.678101476,5269641.14790369,5192564.508550986,73263.92912579457,4756561.144420235,4756561.144420235,4756561.144420235,4756561.144420235,0
Female,sat_fat,CED,MJ,-108028862.74026728,-107089501.34730314,-104134433.58628255,-106382235.95500262,2139260.740539809,0,0,0,0,0,-108028862.74026728,-107089501.34730314,-104134433.58628255,-106382235.95500262,2139260.740539809,-2079630884.658631,-2061109434.771392,-2004961953.4292443,-2047907318.471424,40928812.50491014,-84001422.30724029,-83264764.22391437,-80960283.74474412,-82714651.10256548,1669995.8900379825,-24027440.433027066,-23824737.123388775,-23174149.84153845,-23667584.852437187,469269.34357305797,221724689.7419781,224679757.5029988,225619118.89596295,223972492.11069825,2139260.740539882,117590256.15569562,117590256.15569562,117590256.15569562,117590256.15569562,0,172362019.29860494,174666499.77777508,175403157.86110094,174116386.6564262,1669995.8900379087,91401735.55386075,91401735.55386075,91401735.55386075,91401735.55386074,0,49362670.44337329,50013257.72522362,50215961.0348619,49856105.45427203,469269.34357305063,26188520.60183485,26188520.60183485,26188520.60183485,26188520.60183485,0,0,0,0,0,0,-24027440.433027066,-23824737.123388775,-23174149.84153845,-23667584.852437187,469269.34357305797,0,0,0,0,0,0,0,0,0,0,49362670.44337329,50013257.72522362,50215961.0348619,49856105.45427203,469269.34357305063,26188520.60183485,26188520.60183485,26188520.60183485,26188520.60183485,0
Female,sat_fat,FL,mrh-eq,-2873975.859709835,-2849516.4760984452,-2771009.9359693406,-2830552.561530826,56626.491230122454,0,0,0,0,0,-2873975.859709835,-2849516.4760984452,-2771009.9359693406,-2830552.561530826,56626.491230122454,-2079630884.658631,-2061109434.771392,-2004961953.4292443,-2047907318.471424,40928812.50491014,-2234560.839540512,-2215376.4531552256,-2154160.9509315384,-2200628.6932119266,44201.16960681095,-639415.0201693246,-634140.0229432198,-616848.9850378026,-629923.8683188997,12425.449185762802,5899190.393866572,5977696.933995674,6002156.317607066,5958733.019428057,56626.491230121625,3128180.4578972305,3128180.4578972305,3128180.4578972305,3128180.4578972305,0,4585440.364620086,4646655.866843773,4665840.253229058,4631908.106900474,44201.16960681084,2431279.4136885484,2431279.4136885484,2431279.4136885484,2431279.4136885484,0,1313750.0292464858,1331041.0671519034,1336316.0643780078,1326824.9125275828,12425.4491857629,696901.0442086831,696901.0442086831,696901.0442086831,696901.0442086831,0,0,0,0,0,0,-639415.0201693246,-634140.0229432198,-616848.9850378026,-629923.8683188997,12425.449185762802,0,0,0,0,0,0,0,0,0,0,1313750.0292464858,1331041.0671519034,1336316.0643780078,1326824.9125275828,12425.4491857629,696901.0442086831,696901.0442086831,696901.0442086831,696901.0442086831,0
Female,sat_fat,Food_price,USD,-12460670.637783622,-12434445.868472213,-12020281.086562447,-12298326.565806122,260038.76475155697,0,0,0,0,0,-12460670.637783622,-12434445.868472213,-12020281.086562447,-12298326.565806122,260038.76475155697,-2079630884.658631,-2061109434.771392,-2004961953.4292443,-2047907318.471424,40928812.50491014,-9689367.609157488,-9668102.275343908,-9345293.2100715,-9562297.457288178,202953.76489093216,-2771303.028626141,-2766343.5931283073,-2674987.8764909334,-2736029.1085179425,57086.98307725733,25712604.902350582,26126769.684260327,26152994.453571774,25990650.381594256,260038.76475155688,13692323.815788126,13692323.815788126,13692323.815788126,13692323.815788126,0,19988552.110876177,20311361.17614858,20332626.50996214,20205556.358092844,202953.76489092197,10643258.900804676,10643258.900804676,10643258.900804676,10643258.900804676,0,5724052.791474395,5815408.508111767,5820367.943609597,5785094.023501401,57086.983077254976,3049064.914983458,3049064.914983458,3049064.914983458,3049064.9149834574,0,0,0,0,0,0,-2771303.028626141,-2766343.5931283073,-2674987.8764909334,-2736029.1085179425,57086.98307725733,0,0,0,0,0,0,0,0,0,0,5724052.791474395,5815408.508111767,5820367.943609597,5785094.023501401,57086.983077254976,3049064.914983458,3049064.914983458,3049064.914983458,3049064.9149834574,0
Male,added_sugar,CED,MJ,-34394201.8818614,-33832236.4839372,-32916948.09672199,-33708263.5052386,784879.8140016756,0,0,0,0,0,-34394201.8818614,-33832236.4839372,-32916948.09672199,-33708263.5052386,784879.8140016756,-1333705839.6675496,-1311759549.7712717,-1276452537.0534773,-1307071576.8514414,30405585.357914627,-22797917.528535124,-22425894.667786792,-21817046.62670473,-22342798.113283727,521239.4972569929,-11596284.353326268,-11406341.816150408,-11099901.470017266,-11365465.391954869,263641.5975684615,67019502.80099085,67934791.18820606,68496756.58613026,67810818.20950747,784879.8140016707,34102554.704268835,34102554.704268835,34102554.704268835,34102554.704268835,0,44422981.26296388,45031829.30404595,45403852.164794296,44948732.74954289,521239.49725700374,22605934.636259172,22605934.636259172,22605934.636259172,22605934.636259172,0,22596521.538026936,22902961.884160068,23092904.421335947,22862085.459964544,263641.5975684657,11496620.068009676,11496620.068009676,11496620.068009676,11496620.068009676,0,0,0,0,0,0,-11596284.353326268,-11406341.816150408,-11099901.470017266,-11365465.391954869,263641.5975684615,0,0,0,0,0,0,0,0,0,0,22596521.538026936,22902961.884160068,23092904.421335947,22862085.459964544,263641.5975684657,11496620.068009676,11496620.068009676,11496620.068009676,11496620.068009676,0
