age_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,HIS,added_sugar,CED,MJ,-4328322.627658534,-4215179.084630743,-4118895.6036071656,-4221094.895860292,110343.74934437512,0,0,0,0,0,-4328322.627658534,-4215179.084630743,-4118895.6036071656,-4221094.895860292,110343.74934437512,-168075499.5448109,-163708840.80818957,-159833006.87381122,-163881060.03704676,4340717.11230133,-2863935.5150544425,-2789146.733889811,-2725054.8662327733,-2792900.036874932,73167.31468444267,-1464387.1126040902,-1426032.350740923,-1393840.7373743975,-1428194.8589853588,37176.87201586956,8015096.8491552,8111380.33017876,8224523.873206559,8117296.141408317,110343.74934437031,3896201.245548024,3896201.245548024,3896201.245548024,3896201.2455480234,0,5302541.773865275,5366633.641522311,5441422.422686936,5370386.94450743,73167.31468443843,2577486.907632499,2577486.907632499,2577486.907632499,2577486.907632499,0,2712555.0752899265,2744746.688656451,2783101.450519618,2746909.196900887,37176.87201586888,1318714.337915528,1318714.337915528,1318714.337915528,1318714.337915528,0,0,0,0,0,0,-1464387.1126040902,-1426032.350740923,-1393840.7373743975,-1428194.8589853588,37176.87201586956,0,0,0,0,0,0,0,0,0,0,2712555.0752899265,2744746.688656451,2783101.450519618,2746909.196900887,37176.87201586888,1318714.337915528,1318714.337915528,1318714.337915528,1318714.337915528,0
20-34,HIS,added_sugar,FL,mrh-eq,-174562.87444199173,-170271.954788169,-165001.55412487153,-169928.27724098487,5041.067923064883,0,0,0,0,0,-174562.87444199173,-170271.954788169,-165001.55412487153,-169928.27724098487,5041.067923064883,-168075499.5448109,-163708840.80818957,-159833006.87381122,-163881060.03704676,4340717.11230133,-115517.14739638043,-112680.5866463493,-109177.8117465677,-112446.82729555965,3342.6283709455315,-59045.72704561128,-57591.3681418197,-55823.742378303985,-57481.449945425265,1698.4510817370294,320236.9497415793,325507.3504048764,329798.2700586991,325163.6728576924,5041.067923064673,155235.3956167077,155235.3956167077,155235.3956167077,155235.3956167077,0,211884.32634485813,215387.1012446397,218223.66199467093,215153.3418938501,3342.6283709455806,102706.5145982904,102706.5145982904,102706.5145982904,102706.51459829039,0,108352.62339672117,110120.249160237,111574.60806402858,110010.33096384253,1698.4510817370895,52528.881018417305,52528.881018417305,52528.881018417305,52528.881018417305,0,0,0,0,0,0,-59045.72704561128,-57591.3681418197,-55823.742378303985,-57481.449945425265,1698.4510817370294,0,0,0,0,0,0,0,0,0,0,108352.62339672117,110120.249160237,111574.60806402858,110010.33096384253,1698.4510817370895,52528.881018417305,52528.881018417305,52528.881018417305,52528.881018417305,0
20-34,HIS,added_sugar,Food_price,USD,-7188670.439635315,-6837995.1088873595,-6770331.894800505,-6937297.60596143,236377.17962820697,0,0,0,0,0,-7188670.439635315,-6837995.1088873595,-6770331.894800505,-6937297.60596143,236377.17962820697,-168075499.5448109,-163708840.80818957,-159833006.87381122,-163881060.03704676,4340717.11230133,-4755997.776507809,-4524168.678913845,-4478704.244673726,-4589559.788862563,156545.9632479813,-2432672.66312751,-2313826.429973509,-2291627.6501267767,-2347737.8170988667,79832.35973547105,13289512.622152986,13357175.83623984,13707851.166987795,13456478.333313912,236377.17962820712,6519180.7273524795,6519180.7273524795,6519180.7273524795,6519180.72735248,0,8790844.654644229,8836309.08888436,9068138.186478307,8901700.198833069,156545.96324797644,4312140.409970501,4312140.409970501,4312140.409970501,4312140.409970501,0,4498667.967508756,4520866.7473554835,4639712.980509482,4554778.134480841,79832.35973546816,2207040.3173819743,2207040.3173819743,2207040.3173819743,2207040.3173819743,0,0,0,0,0,0,-2432672.66312751,-2313826.429973509,-2291627.6501267767,-2347737.8170988667,79832.35973547105,0,0,0,0,0,0,0,0,0,0,4498667.967508756,4520866.7473554835,4639712.980509482,4554778.134480841,79832.35973546816,2207040.3173819743,2207040.3173819743,2207040.3173819743,2207040.3173819743,0
20-34,HIS,oil,CED,MJ,188056.31687562514,195365.1446223933,204558.81791931702,196026.49393823734,8704.390507816526,0,0,0,0,0,188056.31687562514,195365.1446223933,204558.81791931702,196026.49393823734,8704.390507816526,20505979.93543908,21351703.13169393,22256967.3287253,21372594.710913762,921749.895730084,157421.2056859189,163588.41495224688,171186.65081999198,164090.52954923533,7258.009084957856,30635.111189705847,31776.729670146466,33372.16709932459,31935.964389001732,1447.141187756402,3845107.718612349,3854301.3919092724,3861610.2196560344,3853640.0425934265,8704.390507812894,4049666.536531664,4049666.536531664,4049666.536531664,4049666.536531664,0,3211456.019054138,3219054.2549218843,3225221.464188212,3218552.1403248957,7258.009084958399,3382642.66987413,3382642.66987413,3382642.66987413,3382642.66987413,0,633651.6995582082,635247.136987385,636388.7554678268,635087.9022685307,1447.141187756201,667023.8666575319,667023.8666575319,667023.8666575319,667023.8666575319,0,0,0,0,0,0,30635.111189705847,31776.729670146466,33372.16709932459,31935.964389001732,1447.141187756402,0,0,0,0,0,0,0,0,0,0,633651.6995582082,635247.136987385,636388.7554678268,635087.9022685307,1447.141187756201,667023.8666575319,667023.8666575319,667023.8666575319,667023.8666575319,0
20-34,HIS,oil,FL,mrh-eq,9885.950473867886,10285.376579631271,10738.352620752858,10304.16603063415,448.92771142453995,0,0,0,0,0,9885.950473867886,10285.376579631271,10738.352620752858,10304.16603063415,448.92771142453995,20505979.93543908,21351703.13169393,22256967.3287253,21372594.710913762,921749.895730084,8275.387278153103,8612.262729981341,8986.41392340944,8625.341937560239,374.3959310367141,1610.563195714798,1673.113849649927,1751.93869734342,1678.8240930739146,74.57230886072769,199878.79606021335,200331.7721013351,200731.1982070985,200312.98265033215,448.9277114246146,210617.1486809663,210617.1486809663,210617.1486809663,210617.14868096626,0,166941.76228259064,167315.91347601858,167652.78892784685,167302.83426843976,374.39593103664953,175928.17620599997,175928.17620599997,175928.17620599997,175928.176206,0,32937.03377762284,33015.85862531632,33078.409279251464,33010.14838189234,74.57230886072789,34688.97247496625,34688.97247496625,34688.97247496625,34688.97247496625,0,0,0,0,0,0,1610.563195714798,1673.113849649927,1751.93869734342,1678.8240930739146,74.57230886072769,0,0,0,0,0,0,0,0,0,0,32937.03377762284,33015.85862531632,33078.409279251464,33010.14838189234,74.57230886072789,34688.97247496625,34688.97247496625,34688.97247496625,34688.97247496625,0
20-34,HIS,oil,Food_price,USD,66917.91329458564,94323.64384402166,112717.31397040198,91161.51737979159,24260.003866737123,0,0,0,0,0,66917.91329458564,94323.64384402166,112717.31397040198,91161.51737979159,24260.003866737123,20505979.93543908,21351703.13169393,22256967.3287253,21372594.710913762,921749.895730084,56053.63634800306,78959.81070388315,94419.54205206374,76347.02368363772,20318.965470647676,10864.276946582584,15363.833140138262,18297.77191833806,14814.49369615374,3941.1846344548617,2293238.9070034306,2311632.5771298157,2339038.307679248,2314794.7035940425,24260.003866737366,2405956.22097384,2405956.22097384,2405956.22097384,2405956.22097384,0,1914831.6198890859,1930291.351237266,1953197.5255931474,1932904.138257512,20318.965470648174,2009251.1619411511,2009251.1619411511,2009251.1619411511,2009251.1619411511,0,378407.28711434983,381341.2258925496,385840.78208610445,381890.5653365338,3941.184634454354,396705.0590326871,396705.0590326871,396705.0590326871,396705.05903268716,0,0,0,0,0,0,10864.276946582584,15363.833140138262,18297.77191833806,14814.49369615374,3941.1846344548617,0,0,0,0,0,0,0,0,0,0,378407.28711434983,381341.2258925496,385840.78208610445,381890.5653365338,3941.184634454354,396705.0590326871,396705.0590326871,396705.0590326871,396705.05903268716,0
20-34,HIS,sat_fat,CED,MJ,-9864692.53751395,-9710530.86975659,-9646962.636352815,-9742318.039705217,117854.82560922368,0,0,0,0,0,-9864692.53751395,-9710530.86975659,-9646962.636352815,-9742318.039705217,117854.82560922368,-189845510.6358452,-186895081.3521585,-185681989.13108793,-187504673.30395365,2254022.2390217185,-7540182.093416207,-7422192.94326296,-7373507.399220421,-7446509.998038647,90215.88495401172,-2324510.4440977545,-2288337.926493625,-2273455.2371324124,-2295808.0416665785,27638.945152528126,22329760.843433876,22393329.07683764,22547490.744595,22425116.246786267,117854.82560921877,12682798.20708105,12682798.20708105,12682798.20708105,12682798.20708105,0,17066664.63202924,17115350.17607177,17233339.326225005,17139667.23084746,90215.88495400253,9693157.23280882,9693157.23280882,9693157.23280882,9693157.23280882,0,5263096.211404644,5277978.9007658595,5314151.418369993,5285449.015938813,27638.945152532004,2989640.974272233,2989640.974272233,2989640.974272233,2989640.974272233,0,0,0,0,0,0,-2324510.4440977545,-2288337.926493625,-2273455.2371324124,-2295808.0416665785,27638.945152528126,0,0,0,0,0,0,0,0,0,0,5263096.211404644,5277978.9007658595,5314151.418369993,5285449.015938813,27638.945152532004,2989640.974272233,2989640.974272233,2989640.974272233,2989640.974272233,0
20-34,HIS,sat_fat,FL,mrh-eq,-270973.9305184428,-266748.3592892473,-265007.90307923843,-267620.32947141805,3229.5417156225108,0,0,0,0,0,-270973.9305184428,-266748.3592892473,-265007.90307923843,-267620.32947141805,3229.5417156225108,-189845510.6358452,-186895081.3521585,-185681989.13108793,-187504673.30395365,2254022.2390217185,-207120.21914972083,-203886.15106040312,-202553.17388615131,-204553.2005042859,2472.15058816146,-63853.711368722055,-62862.2082288442,-62454.72919308714,-63067.12896713221,757.3912519525919,613456.0487264806,615196.504936489,619422.0761656838,616068.4751186597,3229.541715621978,348448.1456472412,348448.1456472412,348448.1456472412,348448.1456472412,0,468861.6784756693,470194.655649921,473428.7237392389,470861.7050938038,2472.1505881615276,266308.504589518,266308.504589518,266308.504589518,266308.504589518,0,144594.37025081043,145001.8492865674,145993.35242644514,145206.7700248554,757.3912519524879,82139.6410577232,82139.6410577232,82139.6410577232,82139.6410577232,0,0,0,0,0,0,-63853.711368722055,-62862.2082288442,-62454.72919308714,-63067.12896713221,757.3912519525919,0,0,0,0,0,0,0,0,0,0,144594.37025081043,145001.8492865674,145993.35242644514,145206.7700248554,757.3912519524879,82139.6410577232,82139.6410577232,82139.6410577232,82139.6410577232,0
20-34,HIS,sat_fat,Food_price,USD,-1270979.9198043805,-1237349.811148026,-1231375.249477783,-1247053.5118449072,22474.812030816483,0,0,0,0,0,-1270979.9198043805,-1237349.811148026,-1231375.249477783,-1247053.5118449072,22474.812030816483,-189845510.6358452,-186895081.3521585,-185681989.13108793,-187504673.30395365,2254022.2390217185,-971837.6076540636,-946087.359857696,-941509.5154026696,-953516.2733107982,17209.93668735032,-299142.31215031695,-291262.4512903294,-289865.73407511355,-293537.23853410897,5264.875630873606,2841005.2164435983,2846979.778113835,2880609.886770191,2856683.4788107187,22474.812030815578,1609629.9669658109,1609629.9669658109,1609629.9669658109,1609629.9669658106,0,2172129.4787752535,2176707.323230281,2202457.571026655,2184136.236683385,17209.936687354675,1230619.9633725856,1230619.9633725856,1230619.9633725856,1230619.9633725856,0,668875.737668337,670272.4548835543,678152.3157435415,672547.2421273332,5264.875630873944,379010.0035932247,379010.0035932247,379010.0035932247,379010.00359322474,0,0,0,0,0,0,-299142.31215031695,-291262.4512903294,-289865.73407511355,-293537.23853410897,5264.875630873606,0,0,0,0,0,0,0,0,0,0,668875.737668337,670272.4548835543,678152.3157435415,672547.2421273332,5264.875630873944,379010.0035932247,379010.0035932247,379010.0035932247,379010.00359322474,0
20-34,NHB,added_sugar,CED,MJ,-3608406.2196378107,-3466223.725932761,-3385702.3504206617,-3487859.2060004626,118700.69655976744,0,0,0,0,0,-3608406.2196378107,-3466223.725932761,-3385702.3504206617,-3487859.2060004626,118700.69655976744,-138482430.05810213,-133081387.8809816,-129908683.89188439,-133863260.92941083,4563017.876080844,-2386930.564177931,-2292835.340438486,-2239634.453913265,-2307184.230689091,78513.8854240781,-1221475.65545988,-1173388.385494276,-1146067.8965074006,-1180674.9753113736,40186.83228033776,5960648.307190086,6041169.68270218,6183352.176407228,6062805.162769884,118700.69655976418,2574945.956769417,2574945.956769417,2574945.956769417,2574945.956769417,0,3942967.863793061,3996168.7503182786,4090263.9740577233,4010517.6405688846,78513.88542407642,1703333.409879795,1703333.409879795,1703333.409879795,1703333.409879795,0,2017680.4433970212,2045000.932383896,2093088.2023494998,2052287.5222009942,40186.83228033732,871612.5468896211,871612.5468896211,871612.5468896211,871612.5468896212,0,0,0,0,0,0,-1221475.65545988,-1173388.385494276,-1146067.8965074006,-1180674.9753113736,40186.83228033776,0,0,0,0,0,0,0,0,0,0,2017680.4433970212,2045000.932383896,2093088.2023494998,2052287.5222009942,40186.83228033732,871612.5468896211,871612.5468896211,871612.5468896211,871612.5468896212,0
