age_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,CED,MJ,-72042280.19329584,-72042040.3007808,-70942066.0291927,-71656168.58882535,668568.1096137449,0,0,0,0,0,-72042280.19329584,-72042040.3007808,-70942066.0291927,-71656168.58882535,668568.1096137449,-1817725009.9407225,-1796441962.5040188,-1753236221.523246,-1788749789.330661,34589020.91898268,-53439057.44316804,-53369084.576127335,-52606604.96076491,-53126099.752154805,486046.9564205303,-18669512.834692705,-18599300.075136945,-18331778.285951987,-18530068.83667056,187594.16949786502,172607383.91130224,173707358.1828903,173707598.0754054,173321486.47093487,668568.1096137364,101665317.88210945,101665317.88210945,101665317.88210945,101665317.88210945,0,130159086.09252931,130921565.70789176,130991538.57493247,130678580.88391922,486046.9564205456,77552481.13176444,77552481.13176444,77552481.13176444,77552481.13176444,0,42444615.03629695,42712136.82548192,42782349.585037686,42642905.58701553,187594.16949787346,24112836.750344973,24112836.750344973,24112836.750344973,24112836.750344973,0,0,0,0,0,0,-18669512.834692705,-18599300.075136945,-18331778.285951987,-18530068.83667056,187594.16949786502,0,0,0,0,0,0,0,0,0,0,42444615.03629695,42712136.82548192,42782349.585037686,42642905.58701553,187594.16949787346,24112836.750344973,24112836.750344973,24112836.750344973,24112836.750344973,0
20-34,FL,mrh-eq,-2242443.0082971016,-2242438.5415754253,-2197550.887996094,-2226690.054958704,27281.250952659393,0,0,0,0,0,-2242443.0082971016,-2242438.5415754253,-2197550.887996094,-2226690.054958704,27281.250952659393,-1817725009.9407225,-1796441962.5040188,-1753236221.523246,-1788749789.330661,34589020.91898268,-1639847.424028114,-1636377.557849998,-1605322.912105833,-1626698.6878268227,20010.952296938525,-605878.5942803511,-602413.194823912,-592045.5864451869,-599991.3671318818,7576.6127331925045,5736136.239217851,5781023.89279718,5781028.359518858,5765275.40618046,27281.250952658316,3538585.351221756,3538585.351221756,3538585.351221756,3538585.3512217565,0,4311156.241981561,4342210.887725725,4345680.753903842,4332532.017702551,20010.952296938012,2705833.329875728,2705833.329875728,2705833.329875728,2705833.329875728,0,1424797.6077912147,1435165.2161699398,1438630.6156263782,1432743.3884779094,7576.612733192159,832752.0213460276,832752.0213460276,832752.0213460276,832752.0213460276,0,0,0,0,0,0,-605878.5942803511,-602413.194823912,-592045.5864451869,-599991.3671318818,7576.6127331925045,0,0,0,0,0,0,0,0,0,0,1424797.6077912147,1435165.2161699398,1438630.6156263782,1432743.3884779094,7576.612733192159,832752.0213460276,832752.0213460276,832752.0213460276,832752.0213460276,0
20-34,Food_price,USD,-45057734.21943583,-44027812.93199339,-42625472.01206067,-43897139.37673364,1285130.3406718343,0,0,0,0,0,-45057734.21943583,-44027812.93199339,-42625472.01206067,-43897139.37673364,1285130.3406718343,-1817725009.9407225,-1796441962.5040188,-1753236221.523246,-1788749789.330661,34589020.91898268,-30530416.551824618,-29860674.988419816,-28882108.16554987,-29752315.24825661,872591.5091256707,-14527317.667611197,-14167137.943573583,-13743363.846510807,-14144824.128477035,413059.5508315523,101145620.30739179,102547961.22732446,103577882.51476705,102417287.67206478,1285130.3406718767,58520148.29533114,58520148.29533114,58520148.29533114,58520148.29533114,0,70795441.15186097,71774007.97473088,72443749.53813575,71665648.2345677,872591.5091256918,41913332.98631109,41913332.98631109,41913332.98631109,41913332.98631109,0,30350179.155530866,30773953.252593648,31134132.97663127,30751639.437497098,413059.5508315607,16606815.309020061,16606815.309020061,16606815.309020061,16606815.309020063,0,0,0,0,0,0,-14527317.667611197,-14167137.943573583,-13743363.846510807,-14144824.128477035,413059.5508315523,0,0,0,0,0,0,0,0,0,0,30350179.155530866,30773953.252593648,31134132.97663127,30751639.437497098,413059.5508315607,16606815.309020061,16606815.309020061,16606815.309020061,16606815.309020063,0
35-44,CED,MJ,-46543080.43232515,-45990465.61260245,-44095585.81419146,-45519495.44464164,1351185.8267982416,0,0,0,0,0,-46543080.43232515,-45990465.61260245,-44095585.81419146,-45519495.44464164,1351185.8267982416,-1209450788.8107946,-1196798806.4941623,-1112386403.312639,-1171619711.4538496,55545679.50308858,-34375563.041125104,-34004903.512715355,-32523568.509255353,-33615192.81971527,1031509.6310897368,-12167517.391200041,-11985562.099887123,-11572017.304936111,-11904302.624926388,321224.39414805925,106080063.55676156,107974943.35517257,108527558.17489523,107503973.18721175,1351185.826798237,61984477.742570035,61984477.742570035,61984477.742570035,61984477.742570035,0,79713783.51092964,81195118.51438962,81565778.04279938,80805407.82138954,1031509.6310897248,47190215.00167431,47190215.00167431,47190215.00167431,47190215.00167432,0,26366280.04583185,26779824.840782825,26961780.13209579,26698565.36582212,321224.3941480581,14794262.740895739,14794262.740895739,14794262.740895739,14794262.740895739,0,0,0,0,0,0,-12167517.391200041,-11985562.099887123,-11572017.304936111,-11904302.624926388,321224.39414805925,0,0,0,0,0,0,0,0,0,0,26366280.04583185,26779824.840782825,26961780.13209579,26698565.36582212,321224.3941480581,14794262.740895739,14794262.740895739,14794262.740895739,14794262.740895739,0
35-44,FL,mrh-eq,-1505412.067833009,-1490647.3729061466,-1422793.076654795,-1472019.442616852,46379.73942223565,0,0,0,0,0,-1505412.067833009,-1490647.3729061466,-1422793.076654795,-1472019.442616852,46379.73942223565,-1209450788.8107946,-1196798806.4941623,-1112386403.312639,-1171619711.4538496,55545679.50308858,-1094300.6669359128,-1085418.213903539,-1032124.9866355434,-1069835.4861015666,35397.44335918129,-411111.40089709486,-405229.1590026087,-390668.09001925285,-402183.95651528594,11078.11981150079,3594955.354201782,3662809.650453134,3677574.345379995,3644181.720163839,46379.739422235216,2172162.2775469865,2172162.2775469865,2172162.2775469865,2172162.2775469865,0,2685313.9601664944,2738607.1874344903,2747489.6404668665,2723024.4596325182,35397.443359182274,1653188.9735309533,1653188.9735309533,1653188.9735309533,1653188.973530953,0,909641.3940352865,924202.4630186425,930084.7049131289,921157.2605313199,11078.119811500936,518973.3040160339,518973.3040160339,518973.3040160339,518973.3040160339,0,0,0,0,0,0,-411111.40089709486,-405229.1590026087,-390668.09001925285,-402183.95651528594,11078.11981150079,0,0,0,0,0,0,0,0,0,0,909641.3940352865,924202.4630186425,930084.7049131289,921157.2605313199,11078.119811500936,518973.3040160339,518973.3040160339,518973.3040160339,518973.3040160339,0
35-44,Food_price,USD,-26685399.220416773,-26540722.78726677,-25502891.987266067,-26227335.290126175,678974.2135577936,0,0,0,0,0,-26685399.220416773,-26540722.78726677,-25502891.987266067,-26227335.290126175,678974.2135577936,-1209450788.8107946,-1196798806.4941623,-1112386403.312639,-1171619711.4538496,55545679.50308858,-18097419.100991122,-17998456.231782038,-17240411.266607903,-17767199.356004823,493520.0128883944,-8587980.119425654,-8542266.555484714,-8262480.720658156,-8460135.934121339,185494.1253127335,57007938.8391809,58045769.63918159,58190446.0723316,57732382.142041005,678974.2135577898,31505046.851914823,31505046.851914823,31505046.851914823,31505046.851914823,0,39765350.22195593,40523395.187130064,40622358.05633917,40292138.31135286,493520.0128883973,22524938.955348052,22524938.955348052,22524938.955348052,22524938.955348056,0,17242588.617224943,17522374.452051513,17568088.015992444,17440243.83068813,185494.12531273873,8980107.896566784,8980107.896566784,8980107.896566784,8980107.896566784,0,0,0,0,0,0,-8587980.119425654,-8542266.555484714,-8262480.720658156,-8460135.934121339,185494.1253127335,0,0,0,0,0,0,0,0,0,0,17242588.617224943,17522374.452051513,17568088.015992444,17440243.83068813,185494.12531273873,8980107.896566784,8980107.896566784,8980107.896566784,8980107.896566784,0
45-54,CED,MJ,-44821927.44106454,-43414189.505227685,-43065440.30128713,-43785764.498875506,978871.8302724727,0,0,0,0,0,-44821927.44106454,-43414189.505227685,-43065440.30128713,-43785764.498875506,978871.8302724727,-1151552765.7860193,-1113420778.1525924,-1106425507.3117816,-1124345941.9394753,25566352.225073814,-33016258.169065293,-32121544.026393395,-31810970.141219117,-32326505.52025221,658727.7204291658,-11805669.271999262,-11292645.478834324,-11254470.160068039,-11459258.978623325,324007.46326744405,102574690.3646302,102923439.56857069,104331177.50440769,103295014.56221859,978871.8302725333,59509250.0633431,59509250.0633431,59509250.0633431,59509250.0633431,0,77174953.80061792,77485527.68579221,78380241.82846406,77690489.179651,658727.720429148,45363983.659398824,45363983.659398824,45363983.659398824,45363983.659398824,0,25399736.564012315,25437911.882778607,25950935.675943553,25604525.382567603,324007.4632674513,14145266.403944291,14145266.403944291,14145266.403944291,14145266.403944291,0,0,0,0,0,0,-11805669.271999262,-11292645.478834324,-11254470.160068039,-11459258.978623325,324007.46326744405,0,0,0,0,0,0,0,0,0,0,25399736.564012315,25437911.882778607,25950935.675943553,25604525.382567603,324007.4632674513,14145266.403944291,14145266.403944291,14145266.403944291,14145266.403944291,0
45-54,FL,mrh-eq,-1468607.7894483032,-1406776.4854911095,-1406104.3676802518,-1428235.8490512276,37783.07042488662,0,0,0,0,0,-1468607.7894483032,-1406776.4854911095,-1406104.3676802518,-1428235.8490512276,37783.07042488662,-1151552765.7860193,-1113420778.1525924,-1106425507.3117816,-1124345941.9394753,25566352.225073814,-1063466.4599695252,-1023945.9141569977,-1022628.244656301,-1037350.432161149,24428.347459338467,-405210.68050513056,-384217.5918611615,-382227.80454960646,-390885.4168900787,13403.887279117173,3523984.918800043,3524657.0366109028,3586488.3405680945,3546116.400171019,37783.07042488616,2117880.551119792,2117880.551119792,2117880.551119792,2117880.551119792,0,2638327.9667301495,2639645.6362308445,2679166.182043373,2653050.1542349965,24428.347459338478,1615699.7220738472,1615699.7220738472,1615699.7220738472,1615699.7220738472,0,884408.6335955507,886398.4209071057,907391.509551075,893066.2459360231,13403.887279117322,502180.82904594444,502180.82904594444,502180.82904594444,502180.82904594444,0,0,0,0,0,0,-405210.68050513056,-384217.5918611615,-382227.80454960646,-390885.4168900787,13403.887279117173,0,0,0,0,0,0,0,0,0,0,884408.6335955507,886398.4209071057,907391.509551075,893066.2459360231,13403.887279117322,502180.82904594444,502180.82904594444,502180.82904594444,502180.82904594444,0
45-54,Food_price,USD,-26510042.518271558,-24046169.062761787,-23835844.534600355,-24836887.984638397,1565217.7147324,0,0,0,0,0,-26510042.518271558,-24046169.062761787,-23835844.534600355,-24836887.984638397,1565217.7147324,-1151552765.7860193,-1113420778.1525924,-1106425507.3117816,-1124345941.9394753,25566352.225073814,-17973385.86098678,-16357261.689405032,-16215056.707306895,-16874426.317294016,1028118.1661379816,-8536656.657284781,-7688907.373356761,-7620787.827293467,-7962461.667344384,537106.0298448156,54413185.16653646,54623509.69469792,57087383.15020769,55414228.616574526,1565217.7147324118,30577340.63193611,30577340.63193611,30577340.63193611,30577340.631936114,0,38360356.31687528,38502561.29897339,40118685.47055517,39019725.9268624,1028118.1661379924,22145299.609568372,22145299.609568372,22145299.609568372,22145299.609568372,0,16052828.849661203,16120948.3957245,16968697.679652534,16394502.689712128,537106.0298448254,8432041.022367744,8432041.022367744,8432041.022367744,8432041.022367744,0,0,0,0,0,0,-8536656.657284781,-7688907.373356761,-7620787.827293467,-7962461.667344384,537106.0298448156,0,0,0,0,0,0,0,0,0,0,16052828.849661203,16120948.3957245,16968697.679652534,16394502.689712128,537106.0298448254,8432041.022367744,8432041.022367744,8432041.022367744,8432041.022367744,0
55-64,CED,MJ,-56890984.835772276,-54987544.16318699,-53583539.01980063,-55162784.69974802,1747363.911550706,0,0,0,0,0,-56890984.835772276,-54987544.16318699,-53583539.01980063,-55162784.69974802,1747363.911550706,-1479941718.564032,-1400492426.054766,-1395091162.1609578,-1426474190.4812424,50006427.387043476,-41933478.258011274,-40530124.289964914,-39590425.56302262,-40692810.33947512,1241207.8224280206,-14957506.577761022,-14457419.873222051,-13993113.456777995,-14469974.3602729,507691.7605876952,126330795.26886538,127734800.4122517,129638241.08483699,127910040.94881274,1747363.9115506846,72747256.2490648,72747256.2490648,72747256.2490648,72747256.2490648,0,94809608.33731663,95749307.0642589,97152661.0323053,95911993.11376913,1241207.82242803,55219182.774294004,55219182.774294004,55219182.774294004,55219182.774294,0,31521186.931548756,31985493.3479928,32485580.05253179,31998047.835043658,507691.7605876991,17528073.47477077,17528073.47477077,17528073.47477077,17528073.47477077,0,0,0,0,0,0,-14957506.577761022,-14457419.873222051,-13993113.456777995,-14469974.3602729,507691.7605876952,0,0,0,0,0,0,0,0,0,0,31521186.931548756,31985493.3479928,32485580.05253179,31998047.835043658,507691.7605876991,17528073.47477077,17528073.47477077,17528073.47477077,17528073.47477077,0
