age_gp,sex_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,CED,MJ,-38834865.51757082,-38102153.09182512,-37971911.09019783,-38313546.22309474,489694.5024549165,0,0,0,0,0,-38834865.51757082,-38102153.09182512,-37971911.09019783,-38313546.22309474,489694.5024549165,-1068562264.4147826,-1058067662.4444354,-1025720369.0571558,-1050400051.4209503,23505807.843378305,-28944931.286376532,-28457061.96295874,-28348976.013003036,-28590319.286980525,334217.22252488806,-9889934.23119431,-9645091.128866391,-9622935.077194814,-9723226.93611423,155969.30328692257,87742353.9772489,87872595.97887617,88605308.40462188,88083989.1101458,489694.50245492236,49770442.88705104,49770442.88705104,49770442.88705104,49770442.88705104,0,66534168.47243403,66642254.422389716,67130123.7458075,66775511.7464115,334217.22252487345,38185192.45943099,38185192.45943099,38185192.45943099,38185192.45943099,0,21208185.50481483,21230341.556486398,21475184.65881433,21308477.363734245,155969.30328692537,11585250.427620018,11585250.427620018,11585250.427620018,11585250.427620018,0,0,0,0,0,0,-9889934.23119431,-9645091.128866391,-9622935.077194814,-9723226.93611423,155969.30328692257,0,0,0,0,0,0,0,0,0,0,21208185.50481483,21230341.556486398,21475184.65881433,21308477.363734245,155969.30328692537,11585250.427620018,11585250.427620018,11585250.427620018,11585250.427620018,0
20-34,Female,FL,mrh-eq,-1251667.0611006422,-1223851.776023267,-1214420.7746282504,-1230302.4018767262,20383.75925153966,0,0,0,0,0,-1251667.0611006422,-1223851.776023267,-1214420.7746282504,-1230302.4018767262,20383.75925153966,-1068562264.4147826,-1058067662.4444354,-1025720369.0571558,-1050400051.4209503,23505807.843378305,-918042.4653369103,-899880.4795479071,-892579.3496394224,-903691.3061726504,13802.01978316775,-333624.5957637319,-323971.2964753598,-321841.42498882825,-326611.0957040758,6609.621868099261,2960804.968303893,2970235.96969891,2998051.254776284,2976686.5955523686,20383.759251539326,1746384.1936756421,1746384.1936756421,1746384.1936756421,1746384.1936756421,0,2232109.717468058,2239410.847376543,2257572.8331655464,2243221.6740012863,13802.019783167945,1339530.3678286367,1339530.3678286367,1339530.3678286367,1339530.3678286367,0,728695.2508358342,730825.1223223656,740478.421610738,733464.9215510817,6609.621868099383,406853.8258470057,406853.8258470057,406853.8258470057,406853.8258470057,0,0,0,0,0,0,-333624.5957637319,-323971.2964753598,-321841.42498882825,-326611.0957040758,6609.621868099261,0,0,0,0,0,0,0,0,0,0,728695.2508358342,730825.1223223656,740478.421610738,733464.9215510817,6609.621868099383,406853.8258470057,406853.8258470057,406853.8258470057,406853.8258470057,0
20-34,Female,Food_price,USD,-26139811.875805873,-25295396.654710386,-24119790.00962469,-25179189.13752084,1067921.963582734,0,0,0,0,0,-26139811.875805873,-25295396.654710386,-24119790.00962469,-25179189.13752084,1067921.963582734,-1068562264.4147826,-1058067662.4444354,-1025720369.0571558,-1050400051.4209503,23505807.843378305,-17811841.088452116,-17260827.973088793,-16443270.906710763,-17167303.779750302,724839.5055823933,-8327970.787353745,-8034568.681621591,-7676519.102913941,-8011885.35777054,343431.5972355071,53459191.64101182,54634798.286097474,55479213.50719301,54518590.768907964,1067921.9635827334,29339401.631387122,29339401.631387122,29339401.631387122,29339401.631387126,0,37541327.50733182,38358884.57370986,38909897.689073205,38265360.38037137,724839.5055824153,21098056.600621063,21098056.600621063,21098056.600621063,21098056.600621063,0,15917864.133680018,16275913.712387674,16569315.81811984,16253230.388536625,343431.5972355167,8241345.030766077,8241345.030766077,8241345.030766077,8241345.030766077,0,0,0,0,0,0,-8327970.787353745,-8034568.681621591,-7676519.102913941,-8011885.35777054,343431.5972355071,0,0,0,0,0,0,0,0,0,0,15917864.133680018,16275913.712387674,16569315.81811984,16253230.388536625,343431.5972355167,8241345.030766077,8241345.030766077,8241345.030766077,8241345.030766077,0
20-34,Male,CED,MJ,-34031578.02462346,-33168863.489765525,-32801361.751408074,-33342622.36573061,664738.5749911218,0,0,0,0,0,-34031578.02462346,-33168863.489765525,-32801361.751408074,-33342622.36573061,664738.5749911218,-759105000.0241638,-727327350.6171124,-726963504.9939668,-738349737.9097109,19423962.54647009,-25064404.097353537,-24398475.956939347,-24123865.66499471,-24535780.465174276,509101.58286640974,-8967173.927269919,-8770387.532826178,-8677496.086413372,-8806841.9005563315,155696.36699637864,84696236.74646652,85063738.48482399,85926453.01968187,85237497.36078905,664738.5749910936,51894874.9950584,51894874.9950584,51894874.9950584,51894874.995058395,0,63491154.33732812,63765764.62927283,64431692.76968702,63903069.13750774,509101.58286643995,39367288.67233347,39367288.67233347,39367288.67233347,39367288.67233347,0,21205082.40913833,21297973.855551127,21494760.249994874,21334428.223281283,155696.3669963787,12527586.322724953,12527586.322724953,12527586.322724953,12527586.322724953,0,0,0,0,0,0,-8967173.927269919,-8770387.532826178,-8677496.086413372,-8806841.9005563315,155696.36699637864,0,0,0,0,0,0,0,0,0,0,21205082.40913833,21297973.855551127,21494760.249994874,21334428.223281283,155696.3669963787,12527586.322724953,12527586.322724953,12527586.322724953,12527586.322724953,0
20-34,Male,FL,mrh-eq,-1017127.269901341,-989307.5181022902,-981666.1509953501,-996387.6530819781,19645.14387418008,0,0,0,0,0,-1017127.269901341,-989307.5181022902,-981666.1509953501,-996387.6530819781,19645.14387418008,-759105000.0241638,-727327350.6171124,-726963504.9939668,-738349737.9097109,19423962.54647009,-739011.0504913116,-717379.1985241927,-711787.6684775152,-723007.3816541722,15134.452853303008,-278116.21941002936,-271928.3195780963,-269878.4825178358,-273380.271427806,4514.309768788609,2773867.3085414637,2781508.6756484034,2809328.4274474527,2788588.810628091,19645.143874178957,1792201.1575461135,1792201.1575461135,1792201.1575461135,1792201.1575461135,0,2078090.6305246083,2083682.1605712841,2105314.012538404,2089310.3437012646,15134.452853303157,1366302.9620470917,1366302.9620470917,1366302.9620470917,1366302.9620470917,0,695776.6780168575,697826.5150771175,704014.4149090517,699278.4669268277,4514.309768789038,425898.19549902173,425898.19549902173,425898.19549902173,425898.19549902173,0,0,0,0,0,0,-278116.21941002936,-271928.3195780963,-269878.4825178358,-273380.271427806,4514.309768788609,0,0,0,0,0,0,0,0,0,0,695776.6780168575,697826.5150771175,704014.4149090517,699278.4669268277,4514.309768789038,425898.19549902173,425898.19549902173,425898.19549902173,425898.19549902173,0
20-34,Male,Food_price,USD,-18917922.34362994,-18732416.277282998,-18505682.00243598,-18717950.239212796,217329.9872353869,0,0,0,0,0,-18917922.34362994,-18732416.277282998,-18505682.00243598,-18717950.239212796,217329.9872353869,-759105000.0241638,-727327350.6171124,-726963504.9939668,-738349737.9097109,19423962.54647009,-12718575.463372506,-12599847.01533102,-12438837.258839116,-12585011.468506312,147790.1541541589,-6199346.880257453,-6132569.261951989,-6066844.743596867,-6132938.770706494,69738.70085465132,47686428.666379996,47913162.941227004,48098669.007574014,47898696.903156824,217329.9872354153,29180746.663944013,29180746.663944013,29180746.663944013,29180746.663944017,0,33254113.64452916,33415123.401021045,33533851.849062525,33400287.85419634,147790.15415414554,20815276.38569003,20815276.38569003,20815276.38569003,20815276.38569003,0,14432315.021850849,14498039.54020598,14564817.158511434,14498409.048960479,69738.70085465036,8365470.278253986,8365470.278253986,8365470.278253986,8365470.278253985,0,0,0,0,0,0,-6199346.880257453,-6132569.261951989,-6066844.743596867,-6132938.770706494,69738.70085465132,0,0,0,0,0,0,0,0,0,0,14432315.021850849,14498039.54020598,14564817.158511434,14498409.048960479,69738.70085465036,8365470.278253986,8365470.278253986,8365470.278253986,8365470.278253985,0
35-44,Female,CED,MJ,-25563274.552618355,-25310076.19149077,-23757084.427625846,-24854008.33088118,1029411.9376892542,0,0,0,0,0,-25563274.552618355,-25310076.19149077,-23757084.427625846,-24854008.33088118,1029411.9376892542,-725051197.0448998,-717133198.4674358,-655721270.092654,-698363398.5385524,39946313.04660909,-19094893.990488756,-18967921.698688254,-17748361.273298673,-18584557.441288576,782613.4629653085,-6468380.562129607,-6342154.492802533,-6008723.154327175,-6269450.889592609,249984.08466529145,55381874.228452876,56934865.99231782,57188064.3534454,56478798.13170821,1029411.9376892692,31624789.800827004,31624789.800827004,31624789.800827004,31624789.800827008,0,42001489.91281346,43221050.33820304,43348022.63000354,42837686.080803365,782613.4629653062,24253128.63951481,24253128.63951481,24253128.63951481,24253128.639514815,0,13380384.315639382,13713815.654114723,13840041.723441822,13641112.050904812,249984.0846652927,7371661.161312205,7371661.161312205,7371661.161312205,7371661.161312205,0,0,0,0,0,0,-6468380.562129607,-6342154.492802533,-6008723.154327175,-6269450.889592609,249984.08466529145,0,0,0,0,0,0,0,0,0,0,13380384.315639382,13713815.654114723,13840041.723441822,13641112.050904812,249984.0846652927,7371661.161312205,7371661.161312205,7371661.161312205,7371661.161312205,0
35-44,Female,FL,mrh-eq,-844878.1233988107,-833606.2859260222,-780898.9653378192,-819067.5199206136,35950.228829181724,0,0,0,0,0,-844878.1233988107,-833606.2859260222,-780898.9653378192,-819067.5199206136,35950.228829181724,-725051197.0448998,-717133198.4674358,-655721270.092654,-698363398.5385524,39946313.04660909,-620477.346274697,-614962.9802974343,-573415.5987443714,-602319.8169375045,27081.496058105182,-224400.77712411378,-218643.30562858898,-207483.366593448,-216747.70298310963,9053.97273167091,1893265.1687290715,1945972.489317275,1957244.326790063,1931433.723311866,35950.22882918178,1112366.203391252,1112366.203391252,1112366.203391252,1112366.203391252,0,1423660.1006869841,1465207.4822400468,1470721.84821731,1452564.3188801173,27081.496058105236,850244.5019426127,850244.5019426127,850244.5019426127,850244.5019426127,0,469605.06804208737,480765.0070772284,486522.47857275326,478869.4044317491,9053.972731670965,262121.70144863933,262121.70144863933,262121.70144863933,262121.7014486393,0,0,0,0,0,0,-224400.77712411378,-218643.30562858898,-207483.366593448,-216747.70298310963,9053.97273167091,0,0,0,0,0,0,0,0,0,0,469605.06804208737,480765.0070772284,486522.47857275326,478869.4044317491,9053.972731670965,262121.70144863933,262121.70144863933,262121.70144863933,262121.7014486393,0
35-44,Female,Food_price,USD,-14159476.187452236,-14052279.733318107,-13227662.331439557,-13800553.084986731,536697.9513229167,0,0,0,0,0,-14159476.187452236,-14052279.733318107,-13227662.331439557,-13800553.084986731,536697.9513229167,-725051197.0448998,-717133198.4674358,-655721270.092654,-698363398.5385524,39946313.04660909,-9694507.48511672,-9639811.175595073,-9036900.648216244,-9447455.309680274,384111.86963056837,-4464968.702335508,-4412468.557723041,-4190761.6832233067,-4353097.775306456,153205.028447144,28736505.03933762,29561122.441216175,29668318.89535029,29309395.792884793,536697.9513229133,15508842.707898058,15508842.707898058,15508842.707898058,15508842.707898058,0,20138252.693942487,20741163.221321322,20795859.530842964,20548807.355406515,384111.8696305692,11101352.045726247,11101352.045726247,11101352.045726247,11101352.045726247,0,8598252.345395116,8819959.219894854,8872459.364507325,8760588.437478269,153205.02844714836,4407490.662171812,4407490.662171812,4407490.662171812,4407490.662171812,0,0,0,0,0,0,-4464968.702335508,-4412468.557723041,-4190761.6832233067,-4353097.775306456,153205.028447144,0,0,0,0,0,0,0,0,0,0,8598252.345395116,8819959.219894854,8872459.364507325,8760588.437478269,153205.02844714836,4407490.662171812,4407490.662171812,4407490.662171812,4407490.662171812,0
35-44,Male,CED,MJ,-20979805.87970679,-20680389.421111695,-20338501.38656561,-20665487.113760468,337775.3237009587,0,0,0,0,0,-20979805.87970679,-20680389.421111695,-20338501.38656561,-20665487.113760468,337775.3237009587,-484399591.76589465,-479665608.0267263,-456665133.219985,-473256312.9152972,15616790.418508863,-15280669.05063635,-15036981.8140271,-14775207.235956687,-15030635.378426692,266089.3028710319,-5699136.829070435,-5643407.607084588,-5563294.150608937,-5634851.735333779,71879.07330233797,50698189.32830869,51040077.36285474,51339493.82144979,51025175.05550351,337775.3237009161,30359687.941743035,30359687.941743035,30359687.941743035,30359687.941743035,0,37712293.598116174,37974068.176186584,38217755.41279584,37967721.740586184,266089.3028710384,22937086.362159513,22937086.362159513,22937086.362159513,22937086.36215951,0,12985895.730192471,13066009.186668107,13121738.408653976,13057453.314917311,71879.073302341,7422601.579583537,7422601.579583537,7422601.579583537,7422601.579583537,0,0,0,0,0,0,-5699136.829070435,-5643407.607084588,-5563294.150608937,-5634851.735333779,71879.07330233797,0,0,0,0,0,0,0,0,0,0,12985895.730192471,13066009.186668107,13121738.408653976,13057453.314917311,71879.073302341,7422601.579583537,7422601.579583537,7422601.579583537,7422601.579583537,0
