age_gp,sex_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,added_sugar,CED,MJ,-11392342.724452313,-10825688.669404842,-10640938.392758263,-10959689.995159542,412151.0701416337,0,0,0,0,0,-11392342.724452313,-10825688.669404842,-10640938.392758263,-10959689.995159542,412151.0701416337,-451024092.2633604,-428657281.9093882,-421241482.0421247,-433903250.50121576,16320158.807547964,-7546000.89428664,-7170558.280911915,-7048312.495932547,-7259399.273331338,273006.8979741761,-3846341.830165678,-3655130.3884929344,-3592625.8968257173,-3700290.7218282074,139144.199856764,20060513.053829648,20245263.330476254,20811917.385523707,20379264.656230938,412151.07014163304,9419574.661071405,9419574.661071405,9419574.661071405,9419574.661071405,0,13287976.18262158,13410221.967600953,13785664.580975663,13499062.960020369,273006.89797416946,6239663.686689037,6239663.686689037,6239663.686689037,6239663.686689037,0,6772536.871208069,6835041.362875288,7026252.804548029,6880201.6962105585,139144.19985676283,3179910.9743823567,3179910.9743823567,3179910.9743823567,3179910.974382357,0,0,0,0,0,0,-3846341.830165678,-3655130.3884929344,-3592625.8968257173,-3700290.7218282074,139144.199856764,0,0,0,0,0,0,0,0,0,0,6772536.871208069,6835041.362875288,7026252.804548029,6880201.6962105585,139144.19985676283,3179910.9743823567,3179910.9743823567,3179910.9743823567,3179910.974382357,0
20-34,Female,added_sugar,FL,mrh-eq,-504267.6287186907,-479015.8406370686,-470856.3284532475,-485013.1304257707,18335.870348214557,0,0,0,0,0,-504267.6287186907,-479015.8406370686,-470856.3284532475,-485013.1304257707,18335.870348214557,-451024092.2633604,-428657281.9093882,-421241482.0421247,-433903250.50121576,16320158.807547964,-334028.2710351004,-317297.3528185275,-311897.3436784054,-321273.110389212,12146.091853856538,-170239.3576835911,-161718.48781854074,-158958.98477484222,-163740.02003655894,6189.779400281092,889696.696738017,897856.2089218383,923107.997003461,903853.4987105405,18335.870348214954,418840.3682847697,418840.3682847697,418840.3682847697,418840.36828476965,0,589353.4817852533,594753.4909253762,611484.4091419484,598729.2484960603,12146.09185385656,277456.1381068484,277456.1381068484,277456.1381068484,277456.1381068484,0,300343.21495276375,303102.7179964622,311623.5878615125,305124.2502144804,6189.779400281002,141384.23017792168,141384.23017792168,141384.23017792168,141384.23017792168,0,0,0,0,0,0,-170239.3576835911,-161718.48781854074,-158958.98477484222,-163740.02003655894,6189.779400281092,0,0,0,0,0,0,0,0,0,0,300343.21495276375,303102.7179964622,311623.5878615125,305124.2502144804,6189.779400281002,141384.23017792168,141384.23017792168,141384.23017792168,141384.23017792168,0
20-34,Female,added_sugar,Food_price,USD,-22140265.52706188,-21286419.752120458,-20322427.502474528,-21247771.86625923,957342.1143920392,0,0,0,0,0,-22140265.52706188,-21286419.752120458,-20322427.502474528,-21247771.86625923,957342.1143920392,-451024092.2633604,-428657281.9093882,-421241482.0421247,-433903250.50121576,16320158.807547964,-14665597.463967636,-14100003.837361345,-13461746.471543679,-14074507.78851525,633990.400386137,-7474668.063094235,-7186415.91475912,-6860681.030930857,-7173264.07774398,323351.73089101416,38729221.38912262,39693213.638768524,40547059.41371,39654565.75290731,957342.1143920533,18406793.886648092,18406793.886648092,18406793.886648092,18406793.886648092,0,25655026.262630276,26293283.62844795,26858877.25505428,26267787.579601865,633990.4003861599,12193279.791086603,12193279.791086603,12193279.791086603,12193279.791086605,0,13074195.126492353,13399930.010320619,13688182.158655744,13386778.173305482,323351.7308910201,6213514.095561494,6213514.095561494,6213514.095561494,6213514.095561494,0,0,0,0,0,0,-7474668.063094235,-7186415.91475912,-6860681.030930857,-7173264.07774398,323351.73089101416,0,0,0,0,0,0,0,0,0,0,13074195.126492353,13399930.010320619,13688182.158655744,13386778.173305482,323351.7308910201,6213514.095561494,6213514.095561494,6213514.095561494,6213514.095561494,0
20-34,Female,oil,CED,MJ,-1105601.926897573,-906604.9608186719,-751963.4268770415,-922168.2703405212,186612.898811435,0,0,0,0,0,-1105601.926897573,-906604.9608186719,-751963.4268770415,-922168.2703405212,186612.898811435,-118379387.79431027,-97133599.06451401,-80647752.7050776,-98803754.28218412,19911359.22797964,-922504.3011984469,-756549.2701479966,-627557.9832986206,-769519.004955391,155640.72726832458,-183097.62569912683,-150055.69067067612,-124405.44357841923,-152649.2653851301,30972.173161157825,10809145.721350543,10963787.255292177,11162784.221371071,10979350.564814024,186612.89881143317,10057182.294473495,10057182.294473495,10057182.294473495,10057182.294473495,0,9017858.549308693,9146849.836158074,9312804.867208531,9159819.570965469,155640.72726833026,8390300.56601008,8390300.56601008,8390300.56601008,8390300.56601008,0,1791287.1720418385,1816937.4191340937,1849979.3541625456,1819530.9938485485,30972.17316115766,1666881.7284634183,1666881.7284634183,1666881.7284634183,1666881.728463418,0,0,0,0,0,0,-183097.62569912683,-150055.69067067612,-124405.44357841923,-152649.2653851301,30972.173161157825,0,0,0,0,0,0,0,0,0,0,1791287.1720418385,1816937.4191340937,1849979.3541625456,1819530.9938485485,30972.17316115766,1666881.7284634183,1666881.7284634183,1666881.7284634183,1666881.728463418,0
20-34,Female,oil,FL,mrh-eq,-58002.18522273338,-47443.51755654375,-39342.61863772641,-48305.892555621744,9849.180788317788,0,0,0,0,0,-58002.18522273338,-47443.51755654375,-39342.61863772641,-48305.892555621744,9849.180788317788,-118379387.79431027,-97133599.06451401,-80647752.7050776,-98803754.28218412,19911359.22797964,-48396.04276193027,-39590.56462307615,-32833.38061862776,-40309.26431935886,8214.488853864637,-9606.142460803057,-7852.952933467525,-6509.238019098671,-7996.628236262851,1634.6920165849983,567132.9075710409,575233.8064898573,585792.4741560476,576096.1814889358,9849.180788317624,527790.2889333132,527790.2889333132,527790.2889333132,527790.2889333132,0,473144.68097162805,479901.86497607554,488707.34311493015,480620.56467235874,8214.488853864445,440311.300353,440311.300353,440311.300353,440311.300353,0,93988.22659941233,95331.94151378119,97085.13104111678,95475.61681657653,1634.692016585034,87478.98858031358,87478.98858031358,87478.98858031358,87478.98858031358,0,0,0,0,0,0,-9606.142460803057,-7852.952933467525,-6509.238019098671,-7996.628236262851,1634.6920165849983,0,0,0,0,0,0,0,0,0,0,93988.22659941233,95331.94151378119,97085.13104111678,95475.61681657653,1634.692016585034,87478.98858031358,87478.98858031358,87478.98858031358,87478.98858031358,0
20-34,Female,oil,Food_price,USD,-771240.8817214449,-641955.07904048194,-504213.6122837242,-638988.1793647645,140564.15356454987,0,0,0,0,0,-771240.8817214449,-641955.07904048194,-504213.6122837242,-638988.1793647645,140564.15356454987,-118379387.79431027,-97133599.06451401,-80647752.7050776,-98803754.28218412,19911359.22797964,-643542.9308491407,-535727.9065383776,-420804.9107455664,-533233.8814569572,117250.43241668404,-127697.95087230322,-106227.1725021048,-83408.70153815778,-105754.29790780705,23313.728266329003,7662317.716993462,7800059.183750218,7929344.986431183,7797092.284074503,140564.15356455,7158104.104709743,7158104.104709743,7158104.104709743,7158104.104709742,0,6392645.614926419,6507568.610719224,6615383.635029993,6505074.585637808,117250.43241668401,5971840.704180854,5971840.704180854,5971840.704180854,5971840.704180854,0,1269672.10206705,1292490.573030997,1313961.3514011963,1292017.6984366996,23313.72826632947,1186263.4005288929,1186263.4005288929,1186263.4005288929,1186263.4005288929,0,0,0,0,0,0,-127697.95087230322,-106227.1725021048,-83408.70153815778,-105754.29790780705,23313.728266329003,0,0,0,0,0,0,0,0,0,0,1269672.10206705,1292490.573030997,1313961.3514011963,1292017.6984366996,23313.72826632947,1186263.4005288929,1186263.4005288929,1186263.4005288929,1186263.4005288929,0
20-34,Female,sat_fat,CED,MJ,-26717991.186437093,-26544657.74654711,-26049360.408142705,-26431687.95759468,365257.3568721656,0,0,0,0,0,-26717991.186437093,-26544657.74654711,-26049360.408142705,-26431687.95759468,365257.3568721656,-523206281.2371311,-519779720.01408577,-510406139.6679145,-517693046.63755035,6975077.047445501,-20787108.678992998,-20648298.317207314,-20261830.626158092,-20561401.008693792,286521.6705457717,-5930882.507444107,-5896359.429339806,-5787529.781984601,-5870286.948900893,78755.01591778797,56343046.33964885,56838343.6780533,57011677.11794327,56725373.88910085,365257.35687218246,30293685.931506142,30293685.931506142,30293685.931506142,30293685.931506142,0,43817058.832889974,44203526.523939185,44342336.885724865,44116629.21542567,286521.67054576246,23555228.20673187,23555228.20673187,23555228.20673187,23555228.20673187,0,12525987.506758848,12634817.154114056,12669340.232218346,12608744.673675137,78755.01591778452,6738457.724774241,6738457.724774241,6738457.724774241,6738457.724774241,0,0,0,0,0,0,-5930882.507444107,-5896359.429339806,-5787529.781984601,-5870286.948900893,78755.01591778797,0,0,0,0,0,0,0,0,0,0,12525987.506758848,12634817.154114056,12669340.232218346,12608744.673675137,78755.01591778452,6738457.724774241,6738457.724774241,6738457.724774241,6738457.724774241,0
20-34,Female,sat_fat,FL,mrh-eq,-704356.7484317898,-700090.8357199208,-686968.6710579783,-696983.3788953335,9539.096316195459,0,0,0,0,0,-704356.7484317898,-700090.8357199208,-686968.6710579783,-696983.3788953335,9539.096316195459,-523206281.2371311,-519779720.01408577,-510406139.6679145,-517693046.63755035,6975077.047445501,-547923.9446883067,-544498.9490246511,-534262.4033133665,-542108.9314640794,7482.268064535147,-156432.80374348338,-155591.8866952692,-152706.26774461195,-154874.44743125408,2057.3947775710026,1486722.2075155368,1499844.3721774789,1504110.2848893488,1496736.9153528921,9539.096316195484,799753.5364575591,799753.5364575591,799753.5364575591,799753.5364575591,0,1156025.3326821546,1166261.8783934398,1169686.8740570939,1163871.8608328674,7482.268064534774,621762.9293687883,621762.9293687883,621762.9293687883,621762.9293687883,0,330696.87483338267,333582.4937840402,334423.4108322539,332865.05452002486,2057.3947775709576,177990.60708877046,177990.60708877046,177990.60708877046,177990.60708877046,0,0,0,0,0,0,-156432.80374348338,-155591.8866952692,-152706.26774461195,-154874.44743125408,2057.3947775710026,0,0,0,0,0,0,0,0,0,0,330696.87483338267,333582.4937840402,334423.4108322539,332865.05452002486,2057.3947775709576,177990.60708877046,177990.60708877046,177990.60708877046,177990.60708877046,0
20-34,Female,sat_fat,Food_price,USD,-3353703.22082546,-3289260.8459883905,-3233847.9719904317,-3292429.0918968506,63141.35302772663,0,0,0,0,0,-3353703.22082546,-3289260.8459883905,-3233847.9719904317,-3292429.0918968506,63141.35302772663,-523206281.2371311,-519779720.01408577,-510406139.6679145,-517693046.63755035,6975077.047445501,-2607127.4703267594,-2557331.2768021734,-2513892.9572589668,-2559562.109778096,49108.81302161834,-746575.7504986986,-731929.5691862202,-719955.0147314603,-732866.9821187529,14034.413279083321,7008351.612019721,7063764.486017685,7128206.86085474,7066932.7319261385,63141.353027721954,3774503.640029291,3774503.640029291,3774503.640029291,3774503.640029291,0,5446829.062612567,5490267.382155766,5540063.575680357,5492498.215131693,49108.813021617345,2932936.1053536036,2932936.1053536036,2932936.1053536036,2932936.1053536036,0,1561522.5494071501,1573497.1038619098,1588143.2851743896,1574434.5167944431,14034.413279083934,841567.5346756901,841567.5346756901,841567.5346756901,841567.53467569,0,0,0,0,0,0,-746575.7504986986,-731929.5691862202,-719955.0147314603,-732866.9821187529,14034.413279083321,0,0,0,0,0,0,0,0,0,0,1561522.5494071501,1573497.1038619098,1588143.2851743896,1574434.5167944431,14034.413279083934,841567.5346756901,841567.5346756901,841567.5346756901,841567.53467569,0
20-34,Male,added_sugar,CED,MJ,-8710033.765034769,-8663789.34226352,-8653982.62296475,-8676574.501376672,31510.009279628965,0,0,0,0,0,-8710033.765034769,-8663789.34226352,-8653982.62296475,-8676574.501376672,31510.009279628965,-331767246.66296595,-329971706.63456994,-329559380.1109626,-330457044.7064256,1235714.4442911034,-5764675.423264087,-5734039.329469027,-5727786.718468208,-5742594.937467006,20780.886207136842,-2945358.341770684,-2929750.0127944895,-2926195.9044965403,-2933979.5639096634,10730.05135706428,18735797.359814886,18745604.07911366,18791848.50188491,18758389.238226812,31510.009279631395,10081814.736850131,10081814.736850131,10081814.736850131,10081814.736850131,0,12401163.080883976,12407415.691884795,12438051.785679845,12415971.29988277,20780.88620713047,6673376.362415762,6673376.362415762,6673376.362415762,6673376.362415762,0,6334634.2789309155,6338188.387228856,6353796.716205058,6342417.938344035,10730.051357065493,3408438.374434372,3408438.374434372,3408438.374434372,3408438.374434372,0,0,0,0,0,0,-2945358.341770684,-2929750.0127944895,-2926195.9044965403,-2933979.5639096634,10730.05135706428,0,0,0,0,0,0,0,0,0,0,6334634.2789309155,6338188.387228856,6353796.716205058,6342417.938344035,10730.051357065493,3408438.374434372,3408438.374434372,3408438.374434372,3408438.374434372,0
