race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
HIS,added_sugar,CED,MJ,-11626072.76569625,-11129702.98675089,-11092565.055613333,-11290836.968437837,313557.21557923534,0,0,0,0,0,-11626072.76569625,-11129702.98675089,-11092565.055613333,-11290836.968437837,313557.21557923534,-458601996.15536505,-439000029.97901744,-437166092.41071117,-445234425.98183894,12507418.846134793,-7704594.85916051,-7375690.657956822,-7350608.712630639,-7482294.958264719,207928.38701055374,-3921477.90653574,-3754012.328794059,-3741956.3429826978,-3808542.010173118,105629.2391306938,22080874.31854566,22118012.24968322,22614382.028628584,22279146.231370166,313557.215579237,10988309.26293233,10988309.26293233,10988309.26293233,10988309.26293233,0,14632154.632913224,14657236.578239413,14986140.779443093,14763840.878547305,207928.3870105507,7281545.92028259,7281545.92028259,7281545.92028259,7281545.92028259,0,7448719.685632438,7460775.671443801,7628241.249185482,7515305.35282286,105629.23913069397,3706763.342649741,3706763.342649741,3706763.342649741,3706763.342649741,0,0,0,0,0,0,-3921477.90653574,-3754012.328794059,-3741956.3429826978,-3808542.010173118,105629.2391306938,0,0,0,0,0,0,0,0,0,0,7448719.685632438,7460775.671443801,7628241.249185482,7515305.35282286,105629.23913069397,3706763.342649741,3706763.342649741,3706763.342649741,3706763.342649741,0
HIS,added_sugar,FL,mrh-eq,-519976.82087796665,-497678.2810436092,-493192.03317759756,-503928.20805004635,15100.623719414372,0,0,0,0,0,-519976.82087796665,-497678.2810436092,-493192.03317759756,-503928.20805004635,15100.623719414372,-458601996.15536505,-439000029.97901744,-437166092.41071117,-445234425.98183894,12507418.846134793,-344650.3331733061,-329872.91906652227,-326881.2058860484,-334008.2527248766,10014.432797906147,-175326.48770466042,-167805.36197708687,-166310.82729154945,-169919.95532516972,5086.202414298964,985062.0055087546,989548.2533747659,1011846.7932091234,995798.1803812031,15100.623719414245,491869.9723311571,491869.9723311571,491869.9723311571,491869.9723311571,0,652888.1329041099,655879.8460845838,670657.2601913677,660015.1797429383,10014.432797906204,326006.9270180616,326006.9270180616,326006.9270180616,326006.9270180616,0,332173.8726046449,333668.4072901825,341189.533017756,335783.0006382652,5086.202414299021,165863.0453130955,165863.0453130955,165863.0453130955,165863.0453130955,0,0,0,0,0,0,-175326.48770466042,-167805.36197708687,-166310.82729154945,-169919.95532516972,5086.202414298964,0,0,0,0,0,0,0,0,0,0,332173.8726046449,333668.4072901825,341189.533017756,335783.0006382652,5086.202414299021,165863.0453130955,165863.0453130955,165863.0453130955,165863.0453130955,0
HIS,added_sugar,Food_price,USD,-18047870.08325211,-17104463.108556014,-17068382.79367743,-17422823.34007093,584615.611016028,0,0,0,0,0,-18047870.08325211,-17104463.108556014,-17068382.79367743,-17422823.34007093,584615.611016028,-458601996.15536505,-439000029.97901744,-437166092.41071117,-445234425.98183894,12507418.846134793,-11959251.382429143,-11334016.485474955,-11309346.486123744,-11544741.010949684,387692.38443041896,-6088618.7008229755,-5770446.62308105,-5759036.307553685,-5878082.329121247,196923.81281403053,34137724.25792265,34173804.57280125,35117211.54749734,34492164.804316156,584615.6110160304,17069341.46424523,17069341.46424523,17069341.46424523,17069341.46424523,0,22619361.850676876,22644031.850028105,23269266.74698227,22854756.37550282,387692.3844304085,11310015.364553139,11310015.364553139,11310015.364553139,11310015.364553139,0,11518362.40724578,11529772.722773146,11847944.800515065,11637408.428813338,196923.8128140268,5759326.099692088,5759326.099692088,5759326.099692088,5759326.099692088,0,0,0,0,0,0,-6088618.7008229755,-5770446.62308105,-5759036.307553685,-5878082.329121247,196923.81281403053,0,0,0,0,0,0,0,0,0,0,11518362.40724578,11529772.722773146,11847944.800515065,11637408.428813338,196923.8128140268,5759326.099692088,5759326.099692088,5759326.099692088,5759326.099692088,0
HIS,oil,CED,MJ,515115.3249705678,642133.1937331142,771219.8700217507,642859.0911106896,134793.33175465954,0,0,0,0,0,515115.3249705678,642133.1937331142,771219.8700217507,642859.0911106896,134793.33175465954,55947272.48157383,69708363.25012605,83703935.77920514,69790637.5520653,14608943.914100721,430691.1486924861,536981.2539192279,644885.5389358298,537547.632792863,112734.95666169007,84424.17627808187,105151.93981388627,126334.33108591942,105311.4583178262,22058.408811628924,10785755.861614356,10914842.537902996,11041860.406665545,10914116.640525421,134793.3317546628,11556975.73163611,11556975.73163611,11556975.73163611,11556975.731636113,0,9014769.815989356,9122674.10100596,9228964.206232702,9122107.722132325,112734.95666169083,9659655.35492519,9659655.35492519,9659655.35492519,9659655.35492519,0,1770986.045625003,1792168.4368970362,1812896.2004328393,1792008.918393096,22058.40881162826,1897320.3767109218,1897320.3767109218,1897320.3767109218,1897320.3767109218,0,0,0,0,0,0,84424.17627808187,105151.93981388627,126334.33108591942,105311.4583178262,22058.408811628924,0,0,0,0,0,0,0,0,0,0,1770986.045625003,1792168.4368970362,1812896.2004328393,1792008.918393096,22058.40881162826,1897320.3767109218,1897320.3767109218,1897320.3767109218,1897320.3767109218,0
HIS,oil,FL,mrh-eq,26236.911471849387,32611.18964824793,39075.74042589383,32642.86424517683,6757.334074382672,0,0,0,0,0,26236.911471849387,32611.18964824793,39075.74042589383,32642.86424517683,6757.334074382672,55947272.48157383,69708363.25012605,83703935.77920514,69790637.5520653,14608943.914100721,21937.91700087962,27271.775744403316,32675.56131645738,27296.31147371222,5651.431690945778,4298.994470969759,5339.413903844635,6400.1791094364535,5346.552771464615,1105.9039331049246,546612.3073987893,553076.8581764351,559451.136352834,553045.1835795064,6757.334074382758,585688.047824683,585688.047824683,585688.047824683,585688.047824683,0,456852.57030980906,462256.3558818632,467590.2146253868,462231.8201525542,5651.431690945745,489528.13162626646,489528.13162626646,489528.13162626646,489528.13162626646,0,89759.73708898011,90820.50229457194,91860.9217274468,90813.36342695194,1105.9039331049269,96159.91619841654,96159.91619841654,96159.91619841654,96159.91619841654,0,0,0,0,0,0,4298.994470969759,5339.413903844635,6400.1791094364535,5346.552771464615,1105.9039331049246,0,0,0,0,0,0,0,0,0,0,89759.73708898011,90820.50229457194,91860.9217274468,90813.36342695194,1105.9039331049269,96159.91619841654,96159.91619841654,96159.91619841654,96159.91619841654,0
HIS,oil,Food_price,USD,374514.0056847688,381475.99329183734,529338.8481777585,430914.8940914348,92050.23416720521,0,0,0,0,0,374514.0056847688,381475.99329183734,529338.8481777585,430914.8940914348,92050.23416720521,55947272.48157383,69708363.25012605,83703935.77920514,69790637.5520653,14608943.914100721,313172.9894533385,319067.23478875187,442651.2080165859,360361.8761545135,76960.19482840858,61341.01623142926,62408.758503086116,86687.64016117263,70553.01793692108,15090.098829668965,7376357.286888748,7524220.141774667,7531182.129381734,7474781.24097507,92050.23416720353,7905696.135066509,7905696.135066509,7905696.135066509,7905696.135066509,0,6165401.441826973,6288985.415054807,6294879.660390221,6247690.773689046,76960.19482840906,6608052.649843561,6608052.649843561,6608052.649843561,6608052.649843561,0,1210955.845061775,1235234.7267198614,1236302.468991519,1227090.4672860268,15090.098829668992,1297643.4852229473,1297643.4852229473,1297643.4852229473,1297643.4852229473,0,0,0,0,0,0,61341.01623142926,62408.758503086116,86687.64016117263,70553.01793692108,15090.098829668965,0,0,0,0,0,0,0,0,0,0,1210955.845061775,1235234.7267198614,1236302.468991519,1227090.4672860268,15090.098829668992,1297643.4852229473,1297643.4852229473,1297643.4852229473,1297643.4852229473,0
HIS,sat_fat,CED,MJ,-27129205.475000888,-26471603.52967316,-26317866.502403464,-26648398.2377637,453639.4980425501,0,0,0,0,0,-27129205.475000888,-26471603.52967316,-26317866.502403464,-26648398.2377637,453639.4980425501,-527658284.03097355,-514607008.1245478,-511708010.16050905,-518169210.91135025,8943768.403972229,-20735432.133843556,-20236907.79940929,-20116994.750379167,-20369753.864463374,345227.4394813394,-6393773.3411573535,-6234695.73026389,-6200871.752024286,-6278644.373300333,108426.8188567053,62389863.124777764,62543600.15204745,63201202.09737517,62720394.86013799,453639.49804254173,36071996.622374296,36071996.622374296,36071996.622374296,36071996.622374296,0,47681987.88166961,47801900.93069969,48300425.26513397,47934746.995753795,345227.43948133034,27564993.131290443,27564993.131290443,27564993.131290443,27564993.131290447,0,14707875.243108155,14741699.221347757,14900776.832241226,14785647.864384202,108426.81885670692,8507003.491083866,8507003.491083866,8507003.491083866,8507003.491083866,0,0,0,0,0,0,-6393773.3411573535,-6234695.73026389,-6200871.752024286,-6278644.373300333,108426.8188567053,0,0,0,0,0,0,0,0,0,0,14707875.243108155,14741699.221347757,14900776.832241226,14785647.864384202,108426.81885670692,8507003.491083866,8507003.491083866,8507003.491083866,8507003.491083866,0
HIS,sat_fat,FL,mrh-eq,-741609.7324404418,-723509.1669633015,-719407.786539965,-728421.1617190222,12435.45250447736,0,0,0,0,0,-741609.7324404418,-723509.1669633015,-719407.786539965,-728421.1617190222,12435.45250447736,-527658284.03097355,-514607008.1245478,-511708010.16050905,-518169210.91135025,8943768.403972229,-566726.6503490263,-553008.6187647465,-549808.8805917237,-556699.2480318542,9460.357570993894,-174883.08209141533,-170500.54819855528,-169598.9059482412,-171721.9136871679,2975.494855735991,1705521.2912774428,1709622.6717007782,1727723.2371779196,1714534.6664564994,12435.452504477567,986113.5047374768,986113.5047374768,986113.5047374768,986113.5047374768,0,1303229.5374811774,1306429.2756542,1320147.3072384796,1310119.9049213077,9460.357570993718,753420.6568894535,753420.6568894535,753420.6568894535,753420.6568894535,0,402291.7537962643,403193.39604657865,407575.92993943865,404414.76153519115,2975.494855736064,232692.84784802317,232692.84784802317,232692.84784802317,232692.84784802317,0,0,0,0,0,0,-174883.08209141533,-170500.54819855528,-169598.9059482412,-171721.9136871679,2975.494855735991,0,0,0,0,0,0,0,0,0,0,402291.7537962643,403193.39604657865,407575.92993943865,404414.76153519115,2975.494855736064,232692.84784802317,232692.84784802317,232692.84784802317,232692.84784802317,0
HIS,sat_fat,Food_price,USD,-3160376.9746224573,-3089555.806639098,-3046879.804487056,-3099431.3034220166,60344.48143836414,0,0,0,0,0,-3160376.9746224573,-3089555.806639098,-3046879.804487056,-3099431.3034220166,60344.48143836414,-527658284.03097355,-514607008.1245478,-511708010.16050905,-518169210.91135025,8943768.403972229,-2415893.9209699575,-2362237.8928943775,-2329217.288102344,-2369478.3922921135,46048.20705551858,-744483.0536525,-727317.9137447213,-717662.5163847108,-729952.911129903,14299.332294726692,7207729.402673292,7250405.404825335,7321226.5728087,7260280.901608256,60344.481438367984,4160849.5981862377,4160849.5981862377,4160849.5981862377,4160849.5981862377,0,5509345.010683981,5542365.615476017,5596021.64355159,5549606.114873749,46048.20705551566,3180127.7225816343,3180127.7225816343,3180127.7225816343,3180127.7225816343,0,1698384.3919893128,1708039.7893493243,1725204.9292571014,1710674.7867345053,14299.33229472599,980721.8756046024,980721.8756046024,980721.8756046024,980721.8756046024,0,0,0,0,0,0,-744483.0536525,-727317.9137447213,-717662.5163847108,-729952.911129903,14299.332294726692,0,0,0,0,0,0,0,0,0,0,1698384.3919893128,1708039.7893493243,1725204.9292571014,1710674.7867345053,14299.33229472599,980721.8756046024,980721.8756046024,980721.8756046024,980721.8756046024,0
NHB,added_sugar,CED,MJ,-11517506.797040077,-11254241.827963779,-11253950.76568198,-11346513.374207465,160084.41351562671,0,0,0,0,0,-11517506.797040077,-11254241.827963779,-11253950.76568198,-11346513.374207465,160084.41351562671,-447669451.7130542,-437489161.01084924,-437180655.02153194,-440952945.1206344,6282784.386104437,-7626632.351457985,-7452365.14684435,-7450951.710083645,-7513015.591705027,106340.75107437934,-3890933.5179230915,-3803058.1279393286,-3801935.7534604296,-3833497.782502439,53749.437444492716,19384307.600563474,19384598.662845284,19647863.63192159,19476870.20908897,160084.41351563533,8130356.834881502,8130356.834881502,8130356.834881502,8130356.834881502,0,12834327.245146064,12835740.68190677,13010007.88652041,12896391.12676745,106340.75107438257,5383375.535062427,5383375.535062427,5383375.535062427,5383375.535062427,0,6548917.053279502,6550039.427758405,6637914.817742169,6580479.082321514,53749.43744449408,2746981.2998190755,2746981.2998190755,2746981.2998190755,2746981.2998190755,0,0,0,0,0,0,-3890933.5179230915,-3803058.1279393286,-3801935.7534604296,-3833497.782502439,53749.437444492716,0,0,0,0,0,0,0,0,0,0,6548917.053279502,6550039.427758405,6637914.817742169,6580479.082321514,53749.43744449408,2746981.2998190755,2746981.2998190755,2746981.2998190755,2746981.2998190755,0
