outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
CED,MJ,-279647507.2677504,-277108924.5851155,-273743734.31539184,-276818886.83525974,3117384.687098014,0,0,0,0,0,-279647507.2677504,-277108924.5851155,-273743734.31539184,-276818886.83525974,3117384.687098014,-7095302355.8957615,-7041922137.67889,-7008027801.886155,-7048759289.406657,46314037.99177787,-206960459.1015255,-205198413.530555,-202794218.5743484,-204973097.95678794,2201423.115300573,-72687048.16622494,-71910511.05456065,-70949515.74104351,-71845788.87847193,916206.882788189,645117332.8370557,648482523.1067791,651021105.7894138,648192485.3569235,3117384.6870977483,371373598.52166384,371373598.52166384,371373598.52166384,371373598.52166384,0,485779183.1437129,488183378.0999195,489945423.6708901,487958062.52615243,2201423.1153006013,282984964.56936485,282984964.56936485,282984964.56936485,282984964.56936485,0,159338149.69334242,160299145.00685954,161075682.11852378,160234422.83077082,916206.8827881599,88388633.95229892,88388633.95229892,88388633.95229892,88388633.95229892,0,0,0,0,0,0,-72687048.16622494,-71910511.05456065,-70949515.74104351,-71845788.87847193,916206.882788189,0,0,0,0,0,0,0,0,0,0,159338149.69334242,160299145.00685954,161075682.11852378,160234422.83077082,916206.8827881599,88388633.95229892,88388633.95229892,88388633.95229892,88388633.95229892,0
FL,mrh-eq,-9057172.136703115,-8967228.639860334,-8861893.259729275,-8961827.97905743,102884.72129998806,0,0,0,0,0,-9057172.136703115,-8967228.639860334,-8861893.259729275,-8961827.97905743,102884.72129998806,-7095302355.8957615,-7041922137.67889,-7008027801.886155,-7048759289.406657,46314037.99177787,-6591787.020857788,-6531312.530472962,-6459895.677801476,-6527473.105109222,69496.08517907656,-2465385.115845335,-2435916.1093873736,-2401997.5819278066,-2434354.873948214,33389.24664971895,21970828.776228096,22076164.15635915,22166107.65320193,22070763.49555625,102884.72129998424,13108935.516498808,13108935.516498808,13108935.516498808,13108935.51649881,0,16445011.031615077,16516427.884286553,16576902.374671377,16512588.458922816,69496.08517907083,9985115.353813596,9985115.353813596,9985115.353813596,9985115.353813596,0,5525817.744613026,5559736.272072593,5589205.278530553,5558175.036633433,33389.24664971804,3123820.162685219,3123820.162685219,3123820.162685219,3123820.162685219,0,0,0,0,0,0,-2465385.115845335,-2435916.1093873736,-2401997.5819278066,-2434354.873948214,33389.24664971895,0,0,0,0,0,0,0,0,0,0,5525817.744613026,5559736.272072593,5589205.278530553,5558175.036633433,33389.24664971804,3123820.162685219,3123820.162685219,3123820.162685219,3123820.162685219,0
Food_price,USD,-156533627.37317845,-154345384.91082394,-151934113.84576,-154267129.26075044,2421745.0540028904,0,0,0,0,0,-156533627.37317845,-154345384.91082394,-151934113.84576,-154267129.26075044,2421745.0540028904,-7095302355.8957615,-7041922137.67889,-7008027801.886155,-7048759289.406657,46314037.99177787,-106389597.9103756,-104934496.76568447,-103415880.50838242,-104912210.7612596,1565233.4183007854,-50144029.46280285,-49410888.14513947,-48518233.3373777,-49354918.49949092,857053.9243045348,349917068.46562076,352328339.53068507,354516581.99303937,352250083.88061136,2421745.054002984,197982954.61986074,197982954.61986074,197982954.61986074,197982954.61986074,0,246437934.95275486,247956551.21005663,249411652.35474804,247934265.20563194,1565233.4183007907,143022054.4443724,143022054.4443724,143022054.4443724,143022054.4443724,0,103479133.51286617,104371788.32062787,105104929.63829124,104315818.67497933,857053.9243045006,54960900.17548835,54960900.17548835,54960900.17548835,54960900.17548835,0,0,0,0,0,0,-50144029.46280285,-49410888.14513947,-48518233.3373777,-49354918.49949092,857053.9243045348,0,0,0,0,0,0,0,0,0,0,103479133.51286617,104371788.32062787,105104929.63829124,104315818.67497933,857053.9243045006,54960900.17548835,54960900.17548835,54960900.17548835,54960900.17548835,0
