age_gp,sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,HIS,CED,MJ,-7557059.968864517,-7308632.844230875,-7128310.601265642,-7332529.2939390885,226604.53541688592,0,0,0,0,0,-7557059.968864517,-7308632.844230875,-7128310.601265642,-7332529.2939390885,226604.53541688592,-197754404.69256487,-189338124.88221025,-182087126.02064383,-189746995.39055696,8253535.254410617,-5544334.152964853,-5353856.211986771,-5243528.480106212,-5381979.092371866,160181.16892485932,-2012725.815899667,-1954776.6322441092,-1884782.1211594266,-1950550.2015672233,67438.18823303207,17235391.30600018,17415713.548965413,17664140.673599068,17439609.998673633,226604.53541689177,10107080.704734536,10107080.704734536,10107080.704734536,10107080.704734536,0,12926776.341414414,13037104.073294966,13227582.01427304,13065226.953680063,160181.16892485102,7683247.8613081975,7683247.8613081975,7683247.8613081975,7683247.8613081975,0,4308614.964585764,4378609.475670447,4436558.659326013,4374383.044993564,67438.188233036,2423832.843426341,2423832.843426341,2423832.843426341,2423832.843426341,0,0,0,0,0,0,-2012725.815899667,-1954776.6322441092,-1884782.1211594266,-1950550.2015672233,67438.18823303207,0,0,0,0,0,0,0,0,0,0,4308614.964585764,4378609.475670447,4436558.659326013,4374383.044993564,67438.188233036,2423832.843426341,2423832.843426341,2423832.843426341,2423832.843426341,0
20-34,Female,HIS,FL,mrh-eq,-246733.1856092592,-238672.91729034722,-229992.9896419914,-238455.4929642266,8812.641285231979,0,0,0,0,0,-246733.1856092592,-238672.91729034722,-229992.9896419914,-238455.4929642266,8812.641285231979,-197754404.69256487,-189338124.88221025,-182087126.02064383,-189746995.39055696,8253535.254410617,-178444.48690267102,-172241.361861227,-166806.4432444424,-172510.9079751426,6129.7325861259305,-68288.69870658827,-66431.55542912011,-63186.54639754901,-65944.58498908399,2718.2575128762237,585198.2636154075,593878.191263763,601938.4595826751,593660.7669376425,8812.641285231859,355205.273973416,355205.273973416,355205.273973416,355205.273973416,0,437476.7585807846,442911.6771975689,449114.8022390134,443181.2233114848,6129.732586126042,270670.3153363422,270670.3153363422,270670.3153363422,270670.3153363422,0,147721.5050346227,150966.51406619407,152823.657343662,150479.54362615777,2718.2575128762537,84534.95863707384,84534.95863707384,84534.95863707384,84534.95863707384,0,0,0,0,0,0,-68288.69870658827,-66431.55542912011,-63186.54639754901,-65944.58498908399,2718.2575128762237,0,0,0,0,0,0,0,0,0,0,147721.5050346227,150966.51406619407,152823.657343662,150479.54362615777,2718.2575128762537,84534.95863707384,84534.95863707384,84534.95863707384,84534.95863707384,0
20-34,Female,HIS,Food_price,USD,-4505960.988465773,-4361086.642519025,-3951932.5430448432,-4268356.904439223,302450.18868006277,0,0,0,0,0,-4505960.988465773,-4361086.642519025,-3951932.5430448432,-4268356.904439223,302450.18868006277,-197754404.69256487,-189338124.88221025,-182087126.02064383,-189746995.39055696,8253535.254410617,-3073144.4330946957,-2969585.0404364867,-2697860.7193784886,-2910579.8024014733,204020.7656237156,-1432816.555371076,-1391501.6020825345,-1254071.8236663523,-1357777.1020377483,98505.4975690669,9078520.799387854,9487674.898862038,9632549.24480878,9394945.160782235,302450.18868006143,5126588.256343014,5126588.256343014,5126588.256343014,5126588.256343014,0,6421834.556443459,6693558.877501462,6797118.2701596795,6634553.63946645,204020.7656237215,3723973.8370649787,3723973.8370649787,3723973.8370649787,3723973.837064979,0,2656686.242944385,2794116.0213605626,2835430.9746491094,2760391.52131578,98505.49756906637,1402614.4192780326,1402614.4192780326,1402614.4192780326,1402614.4192780324,0,0,0,0,0,0,-1432816.555371076,-1391501.6020825345,-1254071.8236663523,-1357777.1020377483,98505.4975690669,0,0,0,0,0,0,0,0,0,0,2656686.242944385,2794116.0213605626,2835430.9746491094,2760391.52131578,98505.49756906637,1402614.4192780326,1402614.4192780326,1402614.4192780326,1402614.4192780324,0
20-34,Female,NHB,CED,MJ,-5804382.131366598,-5642028.791491837,-5490929.603985328,-5645977.616884206,165010.45511257346,0,0,0,0,0,-5804382.131366598,-5642028.791491837,-5490929.603985328,-5645977.616884206,165010.45511257346,-174882889.04363012,-174714649.31962752,-169098275.31221026,-172803023.25527152,3465533.1698020403,-4288815.881098069,-4164819.2530921726,-4065479.3264489565,-4173470.727254516,117784.09706999622,-1515566.2502685275,-1477209.5383996638,-1425450.2775363768,-1472506.8896296907,47603.98924127648,12161808.790845329,12312907.978351817,12475261.318226583,12316856.803744195,165010.45511256432,6670879.186859984,6670879.186859984,6670879.186859984,6670879.186859984,0,9163234.96984844,9262574.89649165,9386571.524497548,9271226.370653996,117784.09706999472,5097755.643399483,5097755.643399483,5097755.643399483,5097755.643399483,0,2998573.820996879,3050333.081860167,3088689.7937290296,3045630.433090193,47603.98924127631,1573123.5434605028,1573123.5434605028,1573123.5434605028,1573123.5434605025,0,0,0,0,0,0,-1515566.2502685275,-1477209.5383996638,-1425450.2775363768,-1472506.8896296907,47603.98924127648,0,0,0,0,0,0,0,0,0,0,2998573.820996879,3050333.081860167,3088689.7937290296,3045630.433090193,47603.98924127631,1573123.5434605028,1573123.5434605028,1573123.5434605028,1573123.5434605025,0
20-34,Female,NHB,FL,mrh-eq,-183048.1323006877,-179762.67731030355,-173866.59791184906,-178846.66874606835,4897.066800673422,0,0,0,0,0,-183048.1323006877,-179762.67731030355,-173866.59791184906,-178846.66874606835,4897.066800673422,-174882889.04363012,-174714649.31962752,-169098275.31221026,-172803023.25527152,3465533.1698020403,-133827.82537980276,-131377.6868378339,-127508.89484789506,-130879.91369819532,3353.5751076220017,-49220.30692088502,-48384.99047246978,-46357.703063953886,-47966.75504787306,1549.5597711257403,400971.47977232037,406867.5591707749,410153.0141611587,405951.55060653953,4897.066800673292,227104.8818604714,227104.8818604714,227104.8818604714,227104.88186047142,0,301734.99555110314,305603.78754104185,308053.9260830106,305106.01440140326,3353.5751076219285,174226.100703208,174226.100703208,174226.100703208,174226.100703208,0,99236.48422121714,101263.771629733,102099.08807814826,100845.53620513629,1549.5597711257344,52878.78115726325,52878.78115726325,52878.78115726325,52878.78115726324,0,0,0,0,0,0,-49220.30692088502,-48384.99047246978,-46357.703063953886,-47966.75504787306,1549.5597711257403,0,0,0,0,0,0,0,0,0,0,99236.48422121714,101263.771629733,102099.08807814826,100845.53620513629,1549.5597711257344,52878.78115726325,52878.78115726325,52878.78115726325,52878.78115726324,0
20-34,Female,NHB,Food_price,USD,-4136882.9636972607,-4038372.974999161,-3629317.867926648,-3929409.775569543,283316.53579234827,0,0,0,0,0,-4136882.9636972607,-4038372.974999161,-3629317.867926648,-3929409.775569543,283316.53579234827,-174882889.04363012,-174714649.31962752,-169098275.31221026,-172803023.25527152,3465533.1698020403,-2811534.37230985,-2743296.0713757128,-2475641.767643625,-2673325.5440781866,186882.44382449327,-1325348.5913874032,-1295076.903623449,-1153676.100283023,-1256084.2314913536,96458.05471291138,7554943.7508750595,7963998.857947558,8062508.8466456635,7855035.6585179465,283316.5357923417,3925625.882948403,3925625.882948403,3925625.882948403,3925625.882948403,0,5300436.112523463,5568090.416255552,5636328.717189689,5498119.888958025,186882.44382449397,2824794.3448798354,2824794.3448798354,2824794.3448798354,2824794.3448798354,0,2254507.6383516,2395908.4416920254,2426180.129455978,2356915.7695599296,96458.0547129106,1100831.5380685728,1100831.5380685728,1100831.5380685728,1100831.5380685728,0,0,0,0,0,0,-1325348.5913874032,-1295076.903623449,-1153676.100283023,-1256084.2314913536,96458.05471291138,0,0,0,0,0,0,0,0,0,0,2254507.6383516,2395908.4416920254,2426180.129455978,2356915.7695599296,96458.0547129106,1100831.5380685728,1100831.5380685728,1100831.5380685728,1100831.5380685728,0
20-34,Female,NHW,CED,MJ,-21944860.381606393,-21786418.681592576,-21531660.23808962,-21752623.332999896,219434.34181502485,0,0,0,0,0,-21944860.381606393,-21786418.681592576,-21531660.23808962,-21752623.332999896,219434.34181502485,-593797712.4196341,-589796961.2274938,-570334509.0926237,-584371803.0019746,13212622.770451955,-16473280.206541307,-16399201.413780978,-16183915.413364226,-16349655.025129601,158226.38447135795,-5471580.175065094,-5387217.267811598,-5347744.824725399,-5402968.307870299,66588.64484845371,48747202.90088049,49001961.34438343,49160403.044397265,48968165.99579076,219434.34181502543,27215542.66279086,27215542.66279086,27215542.66279086,27215542.66279086,0,37154231.80675633,37369517.80717306,37443596.5999334,37319971.418521695,158226.38447134756,20970316.39339209,20970316.39339209,20970316.39339209,20970316.39339209,0,11592971.094124136,11632443.537210327,11716806.444463823,11648194.57726903,66588.6448484497,6245226.269398732,6245226.269398732,6245226.269398732,6245226.269398731,0,0,0,0,0,0,-5471580.175065094,-5387217.267811598,-5347744.824725399,-5402968.307870299,66588.64484845371,0,0,0,0,0,0,0,0,0,0,11592971.094124136,11632443.537210327,11716806.444463823,11648194.57726903,66588.6448484497,6245226.269398732,6245226.269398732,6245226.269398732,6245226.269398731,0
20-34,Female,NHW,FL,mrh-eq,-704063.8602218408,-694281.6636475793,-688752.5570189803,-695773.9759092153,8161.554308745051,0,0,0,0,0,-704063.8602218408,-694281.6636475793,-688752.5570189803,-695773.9759092153,8161.554308745051,-593797712.4196341,-589796961.2274938,-570334509.0926237,-584371803.0019746,13212622.770451955,-518908.1106751885,-512886.21826416394,-509192.7602751708,-513703.21279821004,5162.061573638408,-185155.7495466523,-181395.44538341498,-179559.79674380994,-182070.76311100528,3002.7436238388186,1649481.6659402486,1655010.772568847,1664792.969143108,1656503.0848304827,8161.55430874459,960729.1089212671,960729.1089212671,960729.1089212671,960729.1089212671,0,1248029.9695719087,1251723.427560903,1257745.3199719265,1252540.4220949484,5162.061573638419,738837.2092967388,738837.2092967388,738837.2092967388,738837.2092967388,0,401451.6963683386,403287.3450079439,407047.6491711813,403962.66273553413,3002.7436238390214,221891.8996245286,221891.8996245286,221891.8996245286,221891.8996245286,0,0,0,0,0,0,-185155.7495466523,-181395.44538341498,-179559.79674380994,-182070.76311100528,3002.7436238388186,0,0,0,0,0,0,0,0,0,0,401451.6963683386,403287.3450079439,407047.6491711813,403962.66273553413,3002.7436238390214,221891.8996245286,221891.8996245286,221891.8996245286,221891.8996245286,0
20-34,Female,NHW,Food_price,USD,-15042536.686676364,-15036063.189266125,-13915139.981762227,-14645028.20326835,683202.2359492515,0,0,0,0,0,-15042536.686676364,-15036063.189266125,-13915139.981762227,-14645028.20326835,683202.2359492515,-593797712.4196341,-589796961.2274938,-570334509.0926237,-584371803.0019746,13212622.770451955,-10253700.619207855,-10233483.27481388,-9480779.178252479,-9976470.379316537,463711.74060161633,-4801856.554084679,-4788112.707100946,-4433637.443142196,-4668557.823951817,219723.2035905334,30648454.872146893,31769378.07965082,31775851.57706101,31378343.09365302,683202.2359492528,16733314.890384674,16733314.890384674,16733314.890384674,16733314.890384674,0,21462705.430386573,22215409.526948,22235626.871341966,21958396.63145065,463711.7406016318,11981926.252134101,11981926.252134101,11981926.252134101,11981926.252134101,0,9185026.081392778,9539501.34535153,9553245.19233527,9419946.462202404,219723.2035905368,4751388.638250582,4751388.638250582,4751388.638250582,4751388.638250582,0,0,0,0,0,0,-4801856.554084679,-4788112.707100946,-4433637.443142196,-4668557.823951817,219723.2035905334,0,0,0,0,0,0,0,0,0,0,9185026.081392778,9539501.34535153,9553245.19233527,9419946.462202404,219723.2035905368,4751388.638250582,4751388.638250582,4751388.638250582,4751388.638250582,0
20-34,Female,OTH,CED,MJ,-3698868.964424204,-3524124.550832478,-3515510.708292115,-3582415.979271553,108910.54421032743,0,0,0,0,0,-3698868.964424204,-3524124.550832478,-3515510.708292115,-3582415.979271553,108910.54421032743,-107409320.33736897,-106405634.55193815,-97058845.14695323,-103478229.77314723,6008645.57179616,-2767726.090969944,-2643753.4279337865,-2637944.6556262737,-2685214.4422245384,77168.47774033734,-931142.8734542672,-880371.122898692,-877566.0526658423,-897201.5370470168,31742.60166900662,9292451.040957777,9301064.88349813,9475809.297089875,9359356.311937215,108910.54421033458,5776940.3326656595,5776940.3326656595,5776940.3326656595,5776940.3326656595,0,7071817.216957492,7077625.989265007,7201598.652301159,7119087.003555757,77168.47774033484,4433872.561331218,4433872.561331218,4433872.561331218,4433872.561331218,0,2220633.8240002836,2223438.8942331327,2274210.644788709,2240269.3083814583,31742.60166900715,1343067.7713344418,1343067.7713344418,1343067.7713344418,1343067.7713344418,0,0,0,0,0,0,-931142.8734542672,-880371.122898692,-877566.0526658423,-897201.5370470168,31742.60166900662,0,0,0,0,0,0,0,0,0,0,2220633.8240002836,2223438.8942331327,2274210.644788709,2240269.3083814583,31742.60166900715,1343067.7713344418,1343067.7713344418,1343067.7713344418,1343067.7713344418,0
