age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,HIS,added_sugar,CED,MJ,-2400054.583329226,-2377521.7341998,-2119230.251755554,-2294799.406720916,164249.05328345863,0,0,0,0,0,-2400054.583329226,-2377521.7341998,-2119230.251755554,-2294799.406720916,164249.05328345863,-93912730.26698633,-93031033.0767902,-82924238.63572466,-89794156.84841496,6426969.263432367,-1590054.051462475,-1575125.8709543692,-1404005.8385303537,-1520321.7123873832,108816.22211273134,-810000.531866749,-802395.863245423,-715224.4132252038,-774477.6943335306,55432.831170722784,3999056.8833571863,4257348.36580142,4279881.214930855,4174626.0383225433,164249.0532834547,1879826.631601631,1879826.631601631,1879826.631601631,1879826.631601631,0,2649404.994194151,2820525.0266181603,2835453.2071262575,2765720.8680511736,108816.2221127249,1245399.155663792,1245399.155663792,1245399.155663792,1245399.155663792,0,1349651.8891630427,1436823.3391832612,1444428.007804587,1408905.170271369,55432.83117072217,634427.475937838,634427.475937838,634427.475937838,634427.475937838,0,0,0,0,0,0,-810000.531866749,-802395.863245423,-715224.4132252038,-774477.6943335306,55432.831170722784,0,0,0,0,0,0,0,0,0,0,1349651.8891630427,1436823.3391832612,1444428.007804587,1408905.170271369,55432.83117072217,634427.475937838,634427.475937838,634427.475937838,634427.475937838,0
20-34,Female,HIS,added_sugar,FL,mrh-eq,-104034.08085878054,-103057.3596356082,-91861.31553045129,-99471.63230859609,7119.629448829521,0,0,0,0,0,-104034.08085878054,-103057.3596356082,-91861.31553045129,-99471.63230859609,7119.629448829521,-93912730.26698633,-93031033.0767902,-82924238.63572466,-89794156.84841496,6426969.263432367,-68923.35403898082,-68276.2689481491,-60858.80627316992,-65900.6978659921,4716.807579567466,-35110.726819799704,-34781.090687459,-31002.509257281356,-33570.93444260393,2402.821869262032,173345.31058245324,184541.3546876098,185518.07591078212,180955.6273605978,7119.62944882929,81483.9950520019,81483.9950520019,81483.9950520019,81483.9950520019,0,114842.56037682031,122260.0230517995,122907.10814263132,119884.45196964254,4716.807579567503,53983.7541036504,53983.7541036504,53983.7541036504,53983.7541036504,0,58502.75020563285,62281.331635810595,62610.96776815121,61071.17539095547,2402.82186926206,27500.240948351602,27500.240948351602,27500.240948351602,27500.240948351606,0,0,0,0,0,0,-35110.726819799704,-34781.090687459,-31002.509257281356,-33570.93444260393,2402.821869262032,0,0,0,0,0,0,0,0,0,0,58502.75020563285,62281.331635810595,62610.96776815121,61071.17539095547,2402.82186926206,27500.240948351602,27500.240948351602,27500.240948351602,27500.240948351606,0
20-34,Female,HIS,added_sugar,Food_price,USD,-3690500.123438153,-3604684.31014431,-3196789.016382153,-3491673.96612034,277667.8970890947,0,0,0,0,0,-3690500.123438153,-3604684.31014431,-3196789.016382153,-3491673.96612034,277667.8970890947,-93912730.26698633,-93031033.0767902,-82924238.63572466,-89794156.84841496,6426969.263432367,-2444983.8407656956,-2388130.224787449,-2117896.552218503,-2313260.0294924662,183957.05155802998,-1245516.2826724558,-1216554.0853568572,-1078892.464163648,-1178413.9366278711,93710.84553106473,6049330.204291344,6457225.4980535,6543041.311347342,6344215.1540295305,277667.89708909456,2852541.18790919,2852541.18790919,2852541.18790919,2852541.18790919,0,4007726.35205035,4277960.0246193,4334813.640597547,4203089.829324316,183957.0515580329,1889829.7998318519,1889829.7998318519,1889829.7998318519,1889829.7998318516,0,2041603.852240984,2179265.4734341903,2208227.6707497924,2141125.3247052063,93710.84553106438,962711.3880773361,962711.3880773361,962711.3880773361,962711.388077336,0,0,0,0,0,0,-1245516.2826724558,-1216554.0853568572,-1078892.464163648,-1178413.9366278711,93710.84553106473,0,0,0,0,0,0,0,0,0,0,2041603.852240984,2179265.4734341903,2208227.6707497924,2141125.3247052063,93710.84553106438,962711.3880773361,962711.3880773361,962711.3880773361,962711.388077336,0
20-34,Female,HIS,oil,CED,MJ,-63730.38245465989,-42364.8130313236,-26619.935717427175,-44336.9857013025,19606.347434752668,0,0,0,0,0,-63730.38245465989,-42364.8130313236,-26619.935717427175,-44336.9857013025,19606.347434752668,-6754821.428062202,-4490271.92114253,-2821462.939213352,-4699303.6842970895,2078088.5141011095,-53152.96082762956,-35333.4651510339,-22201.78737243671,-36978.313536296526,16352.254247237794,-10577.421627030364,-7031.34788028964,-4418.148344990459,-7358.672165005971,3254.0931875149013,2027193.1933639876,2042938.070677877,2064303.640101219,2044910.2433478602,19606.347434752377,2000573.257646555,2000573.257646555,2000573.257646555,2000573.257646555,0,1690737.0746373818,1703868.752415979,1721688.248092575,1705513.6008012418,16352.254247238046,1668535.287264945,1668535.287264945,1668535.287264945,1668535.287264945,0,336456.1187266033,339069.31826190196,342615.39200864226,339396.64254661836,3254.0931875144024,332037.97038161196,332037.97038161196,332037.97038161196,332037.97038161196,0,0,0,0,0,0,-10577.421627030364,-7031.34788028964,-4418.148344990459,-7358.672165005971,3254.0931875149013,0,0,0,0,0,0,0,0,0,0,336456.1187266033,339069.31826190196,342615.39200864226,339396.64254661836,3254.0931875144024,332037.97038161196,332037.97038161196,332037.97038161196,332037.97038161196,0
20-34,Female,HIS,oil,FL,mrh-eq,-3289.5980354662934,-2186.7624255964092,-1374.0524513968992,-2288.560894252681,1012.0291063672424,0,0,0,0,0,-3289.5980354662934,-2186.7624255964092,-1374.0524513968992,-2288.560894252681,1012.0291063672424,-6754821.428062202,-4490271.92114253,-2821462.939213352,-4699303.6842970895,2078088.5141011095,-2743.6188013179258,-1823.8223759248658,-1145.9990245024458,-1908.7252088970201,844.0612055863404,-545.9792341483673,-362.94004967154603,-228.05342689445314,-379.83568535566127,167.96790078090166,104638.48622193861,105451.19619613819,106554.03180600808,105552.99466479443,1012.0291063672788,103264.4337705417,103264.4337705417,103264.4337705417,103264.4337705417,0,87271.48880950255,87949.3121609248,88869.10858631792,88034.21499389703,844.0612055862863,86125.489785,86125.489785,86125.489785,86125.489785,0,17366.99741243619,17501.88403521327,17684.9232196901,17518.77967089739,167.96790078089907,17138.94398554173,17138.94398554173,17138.94398554173,17138.94398554173,0,0,0,0,0,0,-545.9792341483673,-362.94004967154603,-228.05342689445314,-379.83568535566127,167.96790078090166,0,0,0,0,0,0,0,0,0,0,17366.99741243619,17501.88403521327,17684.9232196901,17518.77967089739,167.96790078089907,17138.94398554173,17138.94398554173,17138.94398554173,17138.94398554173,0
20-34,Female,HIS,oil,Food_price,USD,-52291.12250415717,-30698.865817010403,-22965.846993655243,-35561.75629553377,15998.597080304302,0,0,0,0,0,-52291.12250415717,-30698.865817010403,-22965.846993655243,-35561.75629553377,15998.597080304302,-6754821.428062202,-4490271.92114253,-2821462.939213352,-4699303.6842970895,2078088.5141011095,-43612.29101478607,-25603.73167986384,-19154.17291737649,-29659.521354402397,13343.287316868486,-8678.831489371094,-5095.134137146561,-3811.6740762787954,-5902.234941131392,2655.3097634357914,1379333.0785072336,1387066.097330585,1408658.3540177306,1391928.9878091093,15998.597080301954,1356367.23151358,1356367.23151358,1356367.23151358,1356367.23151358,0,1150403.2184697478,1156852.777232236,1174861.3365671576,1160908.566906774,13343.287316868546,1131249.045552372,1131249.045552372,1131249.045552372,1131249.045552372,0,228929.86003748595,230213.3200983536,233797.01745057822,231020.4209023385,2655.309763435789,225118.18596120708,225118.18596120708,225118.18596120708,225118.18596120705,0,0,0,0,0,0,-8678.831489371094,-5095.134137146561,-3811.6740762787954,-5902.234941131392,2655.3097634357914,0,0,0,0,0,0,0,0,0,0,228929.86003748595,230213.3200983536,233797.01745057822,231020.4209023385,2655.309763435789,225118.18596120708,225118.18596120708,225118.18596120708,225118.18596120705,0
20-34,Female,HIS,sat_fat,CED,MJ,-5097378.6472637365,-4970819.18066187,-4908594.818496753,-4993392.901516871,101264.8574075265,0,0,0,0,0,-5097378.6472637365,-4970819.18066187,-4908594.818496753,-4993392.901516871,101264.8574075265,-97237158.02801627,-94822920.4942766,-93635933.89670667,-95253534.85784493,1931719.7374979362,-3904326.7354401927,-3807388.77119027,-3759728.1484254096,-3824679.066448187,77563.61014086529,-1193051.9118235474,-1163430.409471593,-1148866.6700713553,-1168713.8350686866,23701.24726665872,11135275.633983111,11197499.996148221,11324059.462750098,11220073.717003226,101264.85740752835,6226680.81548635,6226680.81548635,6226680.81548635,6226680.81548635,0,8529041.56680487,8576702.18956973,8673640.153819652,8593992.484827647,77563.61014086538,4769313.41837946,4769313.41837946,4769313.41837946,4769313.41837946,0,2606234.0671782424,2620797.8065784797,2650419.308930443,2626081.2321755765,23701.247266663708,1457367.397106891,1457367.397106891,1457367.397106891,1457367.3971068908,0,0,0,0,0,0,-1193051.9118235474,-1163430.409471593,-1148866.6700713553,-1168713.8350686866,23701.24726665872,0,0,0,0,0,0,0,0,0,0,2606234.0671782424,2620797.8065784797,2650419.308930443,2626081.2321755765,23701.247266663708,1457367.397106891,1457367.397106891,1457367.397106891,1457367.3971068908,0
20-34,Female,HIS,sat_fat,FL,mrh-eq,-139541.9338969493,-136077.3388678806,-134373.932385279,-136695.29976137783,2772.149180251716,0,0,0,0,0,-139541.9338969493,-136077.3388678806,-134373.932385279,-136695.29976137783,2772.149180251716,-97237158.02801627,-94822920.4942766,-93635933.89670667,-95253534.85784493,1931719.7374979362,-106881.85848648779,-104228.15901946311,-102923.43831269095,-104701.48490025348,2123.3219872523373,-32660.075410461606,-31849.179848417498,-31450.494072588062,-31993.8148611244,648.8271929994379,304830.77753615147,306534.184018753,309998.7790478219,307152.1449122503,2772.1491802517735,170456.84515087242,170456.84515087242,170456.84515087242,170456.84515087242,0,233484.50976038235,234789.230467155,237442.92993417973,235262.5563479452,2123.3219872525683,130561.07144769181,130561.07144769181,130561.07144769181,130561.07144769181,0,71346.26777576866,71744.953551598,72555.84911364209,71889.58856430493,648.8271929993899,39895.7737031805,39895.7737031805,39895.7737031805,39895.7737031805,0,0,0,0,0,0,-32660.075410461606,-31849.179848417498,-31450.494072588062,-31993.8148611244,648.8271929994379,0,0,0,0,0,0,0,0,0,0,71346.26777576866,71744.953551598,72555.84911364209,71889.58856430493,648.8271929993899,39895.7737031805,39895.7737031805,39895.7737031805,39895.7737031805,0
20-34,Female,HIS,sat_fat,Food_price,USD,-763510.4905819544,-732518.4277275259,-726044.2146161958,-741121.1820233498,21079.56711148929,0,0,0,0,0,-763510.4905819544,-732518.4277275259,-726044.2146161958,-741121.1820233498,21079.56711148929,-97237158.02801627,-94822920.4942766,-93635933.89670667,-95253534.85784493,1931719.7374979362,-584809.2965917632,-561070.9895201584,-556112.0792467232,-567660.2515546038,16145.85125809195,-178701.193990191,-171447.4382073674,-169932.1353694725,-173460.9304687459,4933.7158533973015,1643724.0515364427,1650198.2646477679,1681190.3275021976,1658801.018943594,21079.567111487995,917679.836920244,917679.836920244,917679.836920244,917679.836920244,0,1259007.070927475,1263965.981200911,1287704.2882725226,1270555.2432353587,16145.85125809632,702894.9916807546,702894.9916807546,702894.9916807546,702894.9916807547,0,384716.9806089609,386232.2834468568,393486.0392296804,388245.7757082349,4933.715853397701,214784.84523948928,214784.84523948928,214784.84523948928,214784.84523948925,0,0,0,0,0,0,-178701.193990191,-171447.4382073674,-169932.1353694725,-173460.9304687459,4933.7158533973015,0,0,0,0,0,0,0,0,0,0,384716.9806089609,386232.2834468568,393486.0392296804,388245.7757082349,4933.715853397701,214784.84523948928,214784.84523948928,214784.84523948928,214784.84523948925,0
20-34,Female,NHB,added_sugar,CED,MJ,-1937449.5518365768,-1932962.0395047609,-1783137.9265314692,-1881966.7410340675,92447.46485426597,0,0,0,0,0,-1937449.5518365768,-1932962.0395047609,-1783137.9265314692,-1881966.7410340675,92447.46485426597,-75049126.08727038,-74875297.6237167,-69071704.5780102,-72899941.62997887,3581048.827681398,-1281073.629028996,-1278106.411790858,-1179040.2348466387,-1244387.4785606542,61127.78997683671,-656375.9228075808,-654855.6277139031,-604097.6916848344,-637579.262473415,31319.674877427005,3118275.348001383,3268099.46097467,3272586.9733064813,3217104.1625039764,92447.4648542616,1335137.4214699091,1335137.4214699091,1335137.4214699091,1335137.4214699091,0,2061855.1397062317,2160921.31665045,2163888.5338885873,2127202.383420246,61127.78997683603,882814.904859595,882814.904859595,882814.904859595,882814.904859595,0,1056420.2082951483,1107178.144324217,1108698.4394178947,1089901.779083729,31319.674877427107,452322.516610314,452322.516610314,452322.516610314,452322.51661031396,0,0,0,0,0,0,-656375.9228075808,-654855.6277139031,-604097.6916848344,-637579.262473415,31319.674877427005,0,0,0,0,0,0,0,0,0,0,1056420.2082951483,1107178.144324217,1108698.4394178947,1089901.779083729,31319.674877427107,452322.516610314,452322.516610314,452322.516610314,452322.51661031396,0
