age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-0.501180455518732,-0.484673321731864,-0.513271297093716
20-34,Food_price,USD,-0.424841985256528,-0.395185830588923,-0.425710490291434
20-34,FL,mrh-eq,-0.0157954782862407,-0.0150929109730726,-0.0160432328621551
35-44,CED,MJ,-0.458182939508751,-0.478642345391668,-0.461167305194332
35-44,Food_price,USD,-0.389047131492736,-0.39077529027427,-0.382753472740916
35-44,FL,mrh-eq,-0.01479467358433,-0.0153146228562374,-0.0148414759944684
45-54,CED,MJ,-0.418258008832691,-0.438416288143733,-0.402763543517764
45-54,Food_price,USD,-0.312556437837504,-0.329678025377898,-0.290193604421075
45-54,FL,mrh-eq,-0.0135878394721457,-0.014242278370252,-0.0128886282721539
55-64,CED,MJ,-0.402445861698782,-0.40312467450214,-0.393173654954508
55-64,Food_price,USD,-0.294267213132273,-0.270205186514744,-0.263685947344369
55-64,FL,mrh-eq,-0.0132946650157198,-0.0130743196723233,-0.0128245088443219
65-74,CED,MJ,-0.355036593935874,-0.351904750026276,-0.353855728960471
65-74,Food_price,USD,-0.21294135207806,-0.218555195941615,-0.221265475799511
65-74,FL,mrh-eq,-0.0113123077670835,-0.0113670365744262,-0.0114285119346562
75+,CED,MJ,-0.35938591920889,-0.345421866761344,-0.34843706485153
75+,Food_price,USD,-0.234799375971971,-0.220343291944016,-0.226504834919402
75+,FL,mrh-eq,-0.0119487646420837,-0.0113969693591949,-0.0115689242487222
