outcome,outcome_unit,X1,X2,X3
CED,MJ,-0.432172629939318,-0.432853484060034,-0.430654063799211
Food_price,USD,-0.334243645818205,-0.323867584987169,-0.324187909468311
FL,mrh-eq,-0.0139305774590152,-0.0138458393491477,-0.0137851266018203
