race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,-0.381920960759761,-0.395096273215939,-0.385462919441237
HIS,Food_price,USD,-0.294425131715903,-0.280633663580894,-0.277973902674721
HIS,FL,mrh-eq,-0.0122800513169969,-0.0124967722389906,-0.0122129766585516
NHB,CED,MJ,-0.493753234735229,-0.485848395335703,-0.500332617025834
NHB,Food_price,USD,-0.451377884895699,-0.450238763805356,-0.4578842150146
NHB,FL,mrh-eq,-0.016010979416342,-0.015737363824338,-0.0162129816267713
NHW,CED,MJ,-0.452772756981802,-0.455001133188542,-0.451270402616923
NHW,Food_price,USD,-0.343939313138046,-0.335620375120798,-0.33240983364612
NHW,FL,mrh-eq,-0.0145931219125415,-0.0145567245057534,-0.0144161252966522
OTH,CED,MJ,-0.317582790500358,-0.299597216874513,-0.299440222383647
OTH,Food_price,USD,-0.207961745749269,-0.180334581689723,-0.198170988649095
OTH,FL,mrh-eq,-0.0101873544739615,-0.00956656696036732,-0.00973036329275347
