"age","female","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,1,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","medBMI",1.32910290153302,0.284779465952974,1.46927407998303,1.02479979757509,1.51426050380845,0.0258704658587505,0.00544220137222904,0.0281586090421543,0.0200828209116644,0.0297131890999433,2.81586090421543,2.00828209116644,2.97131890999433,0.00688821597582201,0.00147589961973655,0.00761466789285227,0.00531113304284702,0.00784781477932128
25,0,1,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","medBMI",0.176978734592276,0.0697821392144893,0.191423556340051,0.105620560773829,0.236058809925113,0.0286430187439022,0.00890665495806788,0.0320746522361302,0.0192081705483914,0.0351609784710192,3.20746522361302,1.92081705483914,3.51609784710192,0.000917210959056047,0.000361653296828905,0.000992072771347755,0.000547389696658107,0.00122339968100604
25,0,1,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","medBMI",0.0187730373276111,0.0061332101226049,0.0201745441344702,0.0124660793878668,0.0238887144815252,0.00321677269971539,0.000814741769525153,0.00336598110702879,0.00238915111995403,0.00391756713326036,0.336598110702879,0.238915111995403,0.391756713326036,9.72932460576236e-05,3.17860083676529e-05,0.000104556702909682,6.46067713013988e-05,0.000123805782489599
25,0,1,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"BC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"BC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"BC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"CC","direct",57.3326040199783,11.1852745614807,60.6599001232824,45.6511524355953,66.1858539165527,0.069217513473718,0.0134936379291807,0.0758306991982614,0.0547998845157109,0.0780139345658633,7.58306991982614,5.47998845157109,7.80139345658633,0.29713226755459,0.0579688651943195,0.314376330560272,0.236591912604248,0.343015168950102
25,0,1,"CC","medBMI",1.4942678754516,1.37912759492763,1.76381805569493,0.0884427310903323,2.67097536660603,0.00175543344154043,0.00164190989156705,0.00201200675302871,0.000100924687902265,0.00319185488041355,0.201200675302871,0.0100924687902265,0.319185488041355,0.00774420087411688,0.00714747422575051,0.00914117311433712,0.00045836378247243,0.0138426115615741
25,0,1,"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CM","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CM","medBMI",7.94961612850988,0.806543896793821,7.84076498280089,7.23491266765536,8.75684306321706,0.0371522006673156,0.00847337063570527,0.0337180269404072,0.0310741555724668,0.0461492934300365,3.37180269404072,3.10741555724668,4.61492934300365,0.041199724080727,0.00417999881626089,0.0406355915368928,0.037495698010695,0.045383262813018
25,0,1,"CM","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"DIAB","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"DIAB","medBMI",14.4758798479147,4.48498550236049,12.455779399066,11.4111996599191,19.2576454174316,0.0581752441834882,0.0169046417794323,0.0553811593955828,0.0434686955658808,0.0752567648708153,5.53811593955828,4.34686955658808,7.52567648708153,0.0750227741715667,0.023243910424886,0.064553390523036,0.0591397458466815,0.0998047785977031
25,0,1,"DIAB","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"ECA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"ECA","medBMI",0.914388960750505,0.54871102321653,1.05896646539595,0.345420484098923,1.36046655845346,0.0228687284385318,0.00708843316903826,0.0260915207173675,0.0153089994548744,0.0276890839851787,2.60915207173675,1.53089994548744,2.76890839851787,0.00473891723529612,0.00284375275373352,0.00548820540259645,0.0017901780924577,0.00705076143592926
25,0,1,"ECA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"ENDO","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"ENDO","medBMI",1.63895462667363,0.613312046074507,1.42728164741863,1.17290378203865,2.28492750367537,0.0271746414464438,0.00756563093742001,0.027285733096939,0.0199406592569442,0.0343141957330225,2.7285733096939,1.99406592569442,3.43141957330225,0.00849405522332331,0.00317855436856071,0.00739703768188809,0.00607869756376418,0.0118418777931024
25,0,1,"ENDO","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"GC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"GC","medBMI",0.0411284817140491,0.0380155684168592,0.0351479180470833,0.00789218090739656,0.0794482616376225,0.0131675563331773,0.00218496018535184,0.0127962264116206,0.0112722642676498,0.0153784788320279,1.27962264116206,1.12722642676498,1.53784788320279,0.000213152694556041,0.000197019693055315,0.000182157792545295,4.09020599892625e-05,0.000411748995831954
25,0,1,"GC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"HHD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"HHD","medBMI",9.850823262581,0.761800659966999,10.2769727958237,9.03659498714281,10.3028244347629,0.0555179833173677,0.00438369817328355,0.057461133154989,0.0508467051392871,0.0585375841334702,5.7461133154989,5.08467051392871,5.85375841334702,0.0510529305850167,0.00394811227206253,0.0532614954896494,0.0468331066659128,0.0533954743351827
25,0,1,"HHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"HSTK","direct",8.50925815316436,0.750129569082223,8.58198342546624,7.76824308881347,9.18845673605866,0.122061303446527,0.0192331917300094,0.121069119759771,0.104229692717902,0.140736270308896,12.1069119759771,10.4229692717902,14.0736270308896,0.0441001279023724,0.00388762561253071,0.0444770342968569,0.0402597391719745,0.0476201461974584
