"","age","female","race","pathway","disease_type3","V1","V2","V3"
"80",25,1,2,"direct","All_STK",22.3263290281671,23.4476482990493,25.7991727470824
"81",25,1,2,"medBMI","All_STK",5.4465241638161,6.55834632402396,6.48831296725031
"82",25,1,2,"medSBP","Cancer",0,0,0
"83",25,1,2,"direct","Cancer",102.121063813596,132.945609829309,136.279145695554
"84",25,1,2,"medBMI","Cancer",128.214652490978,97.4865224023192,126.441327747303
"85",25,1,2,"medSBP","DIAB",0,0,0
"86",25,1,2,"direct","DIAB",0,0,0
"87",25,1,2,"medBMI","DIAB",3.04525089873196,7.18054738953215,8.33165308025367
"88",25,1,2,"medSBP","Other_CVD",0,0,0
"89",25,1,2,"direct","Other_CVD",0,0,0
"90",25,1,2,"medBMI","Other_CVD",38.4945123428,35.976152027389,24.3950767729635
"91",25,1,3,"medSBP","All_HD",0,0,0
"92",25,1,3,"medBMI","All_HD",2.35380959075745,1.46687698182625,2.89730253477692
"93",25,1,3,"direct","All_HD",1.15184500931193,1.06457427205411,0.802020502968822
"94",25,1,3,"medSBP","All_STK",0,0,0
"95",25,1,3,"medBMI","All_STK",3.11576846964529,3.63232128590226,4.4584727413138
"96",25,1,3,"direct","All_STK",8.53641770650558,13.4779931237019,13.4307420942731
"97",25,1,3,"medSBP","Cancer",0,0,0
"98",25,1,3,"medBMI","Cancer",236.47669694417,281.206237430277,210.983003507718
"99",25,1,3,"direct","Cancer",247.804783222482,209.478708653666,275.977022184672
"100",25,1,3,"medSBP","DIAB",0,0,0
"101",25,1,3,"medBMI","DIAB",2.79472041455285,3.89680174263999,2.48133680987059
"102",25,1,3,"direct","DIAB",0,0,0
"103",25,1,3,"medSBP","Other_CVD",0,0,0
"104",25,1,3,"medBMI","Other_CVD",15.6710725971264,18.3632105279284,15.9313297982514
"105",25,1,3,"direct","Other_CVD",0,0,0
"106",25,1,4,"direct","All_HD",0.314686258075271,1.07740113007659,0.456486513267942
"107",25,1,4,"medBMI","All_HD",0.805424044367289,2.48436508042939,0.821681388846831
"108",25,1,4,"medSBP","All_HD",0,0,0
"109",25,1,4,"direct","All_STK",3.30264011042601,5.03031142198879,8.09791327887907
"110",25,1,4,"medBMI","All_STK",1.2976842031219,2.04205466380265,1.71559762395291
"111",25,1,4,"medSBP","All_STK",0,0,0
"112",25,1,4,"direct","Cancer",153.241266997854,163.70195253827,207.835706196178
"113",25,1,4,"medBMI","Cancer",113.164385111808,176.085595218893,180.12118796822
"114",25,1,4,"medSBP","Cancer",0,0,0
"115",25,1,4,"direct","DIAB",0,0,0
"116",25,1,4,"medBMI","DIAB",0.488570815687545,0.361427494467813,0.826342038904667
"117",25,1,4,"medSBP","DIAB",0,0,0
"118",25,1,4,"direct","Other_CVD",0,0,0
"119",25,1,4,"medBMI","Other_CVD",6.05043366833307,6.57233791086038,6.35542135865601
"120",25,1,4,"medSBP","Other_CVD",0,0,0
"121",35,0,1,"direct","All_HD",68.2261037667902,125.428014147517,92.0091082201026
"122",35,0,1,"medBMI","All_HD",175.864220213607,129.409901268656,116.978495745599
"123",35,0,1,"medSBP","All_HD",0,0,0
"124",35,0,1,"direct","All_STK",99.1924186338686,124.262716671653,112.564087540287
"125",35,0,1,"medBMI","All_STK",37.3975024382573,39.601388511309,29.2123508356353
"126",35,0,1,"medSBP","All_STK",0,0,0
"127",35,0,1,"direct","Cancer",740.165092698733,859.751099456043,683.861884382802
"128",35,0,1,"medBMI","Cancer",736.729901819371,669.479756966309,652.161519056963
"129",35,0,1,"medSBP","Cancer",0,0,0
"130",35,0,1,"direct","DIAB",0,0,0
"131",35,0,1,"medBMI","DIAB",45.4203709707304,42.1924287398768,41.1254949325566
"132",35,0,1,"medSBP","DIAB",0,0,0
"133",35,0,1,"direct","Other_CVD",0,0,0
"134",35,0,1,"medBMI","Other_CVD",142.450954911737,162.021446466151,145.175809629195
"135",35,0,1,"medSBP","Other_CVD",0,0,0
"136",35,0,2,"medSBP","All_HD",0,0,0
"137",35,0,2,"direct","All_HD",56.7462652319279,42.9524239717269,39.5153976692346
"138",35,0,2,"medBMI","All_HD",73.7598683427044,118.331570886909,35.657418618727
"139",35,0,2,"medSBP","All_STK",0,0,0
"140",35,0,2,"direct","All_STK",100.437684008511,66.4864426701274,61.9271642672202
"141",35,0,2,"medBMI","All_STK",22.2759522924444,26.2291880723031,23.4893865709104
"142",35,0,2,"medSBP","Cancer",0,0,0
"143",35,0,2,"direct","Cancer",158.226653161145,222.628116213879,188.552619120145
"144",35,0,2,"medBMI","Cancer",193.288464889253,222.819003658384,143.586230227118
"145",35,0,2,"medSBP","DIAB",0,0,0
"146",35,0,2,"direct","DIAB",0,0,0
"147",35,0,2,"medBMI","DIAB",40.8956113325505,34.1068414905222,40.0659851928044
"148",35,0,2,"medSBP","Other_CVD",0,0,0
"149",35,0,2,"direct","Other_CVD",0,0,0
"150",35,0,2,"medBMI","Other_CVD",99.3082281822252,100.014465404511,84.3008619071049
"151",35,0,3,"medBMI","All_HD",12.1044922146929,21.76279466054,39.7961395144599
"152",35,0,3,"medSBP","All_HD",0,0,0
"153",35,0,3,"direct","All_HD",17.4162680673778,11.3944953212544,15.2645693176031
"154",35,0,3,"medBMI","All_STK",16.239297548677,15.0691644446072,9.96253806432269
"155",35,0,3,"medSBP","All_STK",0,0,0
"156",35,0,3,"direct","All_STK",48.5595486137277,54.0662986855114,58.2135206935629
"157",35,0,3,"medBMI","Cancer",232.94939004193,162.184772466728,161.49761094603
"158",35,0,3,"medSBP","Cancer",0,0,0
