"race","disease_type1","V1","V2","V3"
1,"Cancer",174132.52184479,162823.928617131,174262.933435709
1,"CMD",208461.206715544,208468.327620376,198579.308663576
2,"Cancer",25761.6773097198,27252.9415470396,28563.0693216439
2,"CMD",36097.3009256007,36137.5722346471,39477.5833666823
3,"Cancer",17007.6232559802,16941.9922141721,18002.0997562551
3,"CMD",15896.2758273265,16531.1751803962,16510.5157223303
4,"Cancer",15840.5898284239,15616.8171272492,16100.6840624825
4,"CMD",7388.24082931721,8464.19304643564,8515.27220549028
