"age","race","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"direct",4549.79856610224,436.182847188313,4779.69575040271,4083.40420282199,4820.7803227271,0.403124526599558,0.0477594057889722,0.423617592023418,0.352292499324393,0.436537448264441,42.3617592023418,35.2292499324393,43.6537448264441,12.1366970725344,1.16352823265652,12.7499533394099,10.892578894283,12.8595474239416
25,1,"medBMI",4720.79860578235,461.221450372587,4853.69950887818,4240.01734762045,5088.61409631279,0.416850611883413,0.0284282350623453,0.426319083518461,0.386967560606261,0.438685462270773,42.6319083518461,38.6967560606261,43.8685462270773,12.592843789985,1.2303193086903,12.9473601445237,11.3103482237116,13.5740004549003
25,1,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct",1122.11309287282,83.700394614221,1116.07423328785,1045.31960136832,1204.03961502456,0.425424954914571,0.0311253579347562,0.414510821655791,0.401890728577379,0.458236194521727,41.4510821655791,40.1890728577378,45.8236194521727,12.7759703535459,0.952982161034792,12.707214101153,11.9016276718336,13.708755849792
25,2,"medBMI",1184.21840042557,76.7268376095091,1152.47332793755,1129.65931164729,1265.76080081866,0.449292309021552,0.0351569593911868,0.429974926425733,0.42812674583872,0.48687764741083,42.9974926425733,42.812674583872,48.687764741083,13.4830787307062,0.873583784777668,13.1216409152543,12.8618888478191,14.4114907567276
25,2,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct",1388.57946304468,80.6375556666359,1424.89261487918,1302.6065120735,1443.68623495652,0.360606215025107,0.0206348222320869,0.372333526284133,0.338557809156017,0.372686406324026,37.2333526284133,33.8557809156016,37.2686406324026,10.3346559574798,0.600153910702042,10.6049205991003,9.69479277817837,10.7447941914037
25,3,"medBMI",1526.14043463299,96.9348171359195,1525.24056403165,1434.43777942314,1618.60797985399,0.396287960994428,0.0237716116514024,0.398555085279641,0.372818561615367,0.417830304731058,39.8555085279641,37.2818561615367,41.7830304731058,11.3584686757125,0.721448078458804,11.3517712894133,10.6759615400364,12.0466685897428
25,3,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,"direct",856.342695829177,174.246110737648,834.150809121888,701.250409359902,1030.29808599965,0.398625096944003,0.076430150606334,0.367524449765834,0.343892099128963,0.479793644860487,36.7524449765834,34.3892099128963,47.9793644860487,11.1737050125742,2.27359286235939,10.884141503774,9.15003450405736,13.4435045035712
25,4,"medBMI",864.194159876719,119.651021692965,918.962559975351,736.561554604343,945.27362506526,0.401601412030218,0.0375440127425516,0.417094978958227,0.361705428381334,0.428327863790294,41.7094978958227,36.1705428381334,42.8327863790294,11.2761522496574,1.5612268632195,11.9907796408798,9.61078032759182,12.334090889184
25,4,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"direct",9098.128673533,548.388530607944,9200.60365128223,8540.47481316492,9568.67880281423,0.408217371984063,0.0313385892785986,0.41148094342905,0.377180018520724,0.436480689719164,41.148094342905,37.7180018520724,43.6480689719164,42.3401429675497,2.55204664836736,42.8170328164612,39.7449780691815,44.5299514943431
35,1,"medBMI",9230.01880690483,381.603343298721,9306.00659017235,8840.63202199673,9554.81597603553,0.413951905894335,0.0214814946706435,0.410692439733281,0.395106717142175,0.43556764088339,41.0692439733281,39.5106717142175,43.556764088339,42.9539227131822,1.77587509387121,43.3075485765637,41.1418256617693,44.4654377807207
35,1,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,"direct",3074.26686151108,333.193973094758,2932.70757220305,2840.09976680797,3428.759352126,0.423179851727806,0.0496790909476385,0.408944693783293,0.383510879407252,0.474948708301197,40.8944693783293,38.3510879407252,47.4948708301197,58.9460928117334,6.38867207926771,56.2318303934693,54.4561653201953,65.7431433587959
35,2,"medBMI",3259.40160609555,347.363237932585,3347.44416786246,2900.03638100307,3543.93065368616,0.448169904370894,0.0456176518988718,0.451216390831,0.403610919412598,0.4901393758381,45.1216390831,40.3610919412598,49.01393758381,62.4958724270231,6.66035402420923,64.1840033704585,55.6053919105728,67.9514416415534
35,2,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,"direct",2833.86216078983,205.843537328555,2930.30132911334,2614.14373276067,2971.60729574401,0.367610740419875,0.028856011100729,0.383727230604366,0.336768071610662,0.384754392572271,38.3727230604366,33.6768071610662,38.4754392572271,30.8594498299362,2.24154103219922,31.9096278229585,28.4668176475055,32.3594307182979
35,3,"medBMI",2605.14766595557,156.407898262311,2676.37333839524,2438.33227883959,2711.42123149784,0.337701094675973,0.016689796034906,0.345350658867251,0.319897269615334,0.349002790174024,34.5350658867251,31.9897269615334,34.9002790174024,28.3688546357262,1.70320975953408,29.144469305934,26.5523121303094,29.5261246714663
