"disease_type3","V1","V2","V3"
"All_HD",26027.07122478,23479.1904244748,23319.3805582767
"All_STK",26220.8922738809,27539.7930180217,26949.4376693525
"Cancer",232742.412238914,222635.679505592,236928.786576091
"DIAB",2574.1080336699,2745.61151808422,2647.04582072253
"Other_CVD",10067.0927984536,10281.7900500474,9969.89836764073
