"race","pathway","disease_type2","V1","V2","V3"
1,"direct","Cancer",86685.91225608,79425.9730768267,85640.2715772728
1,"medSBP","Cancer",0,0,0
1,"medBMI","Cancer",87446.6095887097,83397.9555403045,88622.6618584363
1,"direct","DIAB",0,0,0
1,"medSBP","DIAB",0,0,0
1,"medBMI","DIAB",1745.85749196942,1935.90800663624,1874.87161767817
1,"direct","HHD",0,0,0
1,"medSBP","HHD",0,0,0
1,"medBMI","HHD",1251.58862371425,1025.74371606413,876.978262341904
1,"direct","HSTK",1384.08193023444,1293.25328884479,1364.73606371631
1,"medSBP","HSTK",0,0,0
1,"medBMI","HSTK",335.281268329766,379.70078729245,331.932787636695
1,"direct","IHD",4702.69387769466,4065.09623648894,4396.49287324088
1,"medSBP","IHD",0,0,0
1,"medBMI","IHD",4382.12502074888,4193.63229936125,4389.76813668071
1,"direct","ISTK",1316.53849898064,1598.93828519389,1360.8912180679
1,"medSBP","ISTK",0,0,0
1,"medBMI","ISTK",518.83158022305,316.639320621264,384.723693457486
1,"direct","OSTK",2672.55710986126,3036.39028238891,2498.33148330998
1,"medSBP","OSTK",0,0,0
1,"medBMI","OSTK",662.820466584857,671.426941093422,693.291127730112
1,"direct","Other_CVD",0,0,0
1,"medSBP","Other_CVD",0,0,0
1,"medBMI","Other_CVD",7933.99660782358,8134.83323614028,7897.94439114273
2,"medSBP","Cancer",0,0,0
2,"medBMI","Cancer",11609.8353392874,11917.1697890525,12611.7694302606
2,"direct","Cancer",14151.8419704325,15335.7717579871,15951.2998913833
2,"medSBP","DIAB",0,0,0
2,"medBMI","DIAB",496.083818841521,476.115781912359,455.958588601977
2,"direct","DIAB",0,0,0
2,"medSBP","HHD",0,0,0
2,"medBMI","HHD",300.986551250289,256.101607627712,282.003185303003
2,"direct","HHD",0,0,0
2,"medSBP","HSTK",0,0,0
2,"medBMI","HSTK",75.9249071387972,81.7533570529906,96.3652221565569
2,"direct","HSTK",315.172848064881,319.845300308303,334.276761335796
2,"medSBP","IHD",0,0,0
2,"medBMI","IHD",480.774736293946,578.851924753319,661.238479010387
2,"direct","IHD",672.784974918906,606.246804406843,862.895676506445
2,"medSBP","ISTK",0,0,0
2,"medBMI","ISTK",63.6664538286524,68.866090082491,71.0272847377882
2,"direct","ISTK",257.643248109241,269.205954716249,332.134124535002
2,"medSBP","OSTK",0,0,0
2,"medBMI","OSTK",118.446691007422,114.226068862995,120.358519734359
2,"direct","OSTK",405.324405657601,487.76199929833,551.363504351792
2,"medSBP","Other_CVD",0,0,0
2,"medBMI","Other_CVD",1362.49861896845,1329.80378205047,1307.922056265
2,"direct","Other_CVD",0,0,0
3,"medBMI","Cancer",8469.87330764172,7859.3106000211,8165.22753763516
3,"medSBP","Cancer",0,0,0
3,"direct","Cancer",8537.74994833851,9082.68161415097,9836.87221861999
3,"medBMI","DIAB",227.60845146041,225.728679157168,227.726771804569
3,"medSBP","DIAB",0,0,0
3,"direct","DIAB",0,0,0
3,"medBMI","HHD",86.8155711258088,98.4843614708502,89.5831680501447
3,"medSBP","HHD",0,0,0
3,"direct","HHD",0,0,0
3,"medBMI","HSTK",37.6260575275685,39.1437366715588,40.984204948135
3,"medSBP","HSTK",0,0,0
3,"direct","HSTK",142.313276025645,155.481918548336,204.863814868127
3,"medBMI","IHD",312.156362822519,309.453429600436,249.87887942854
3,"medSBP","IHD",0,0,0
3,"direct","IHD",367.43326011296,287.052659326216,279.983450309606
3,"medBMI","ISTK",35.2784383409333,44.0483457945124,44.7861535430851
3,"medSBP","ISTK",0,0,0
3,"direct","ISTK",131.489534034005,179.495551969794,146.193594979034
3,"medBMI","OSTK",39.3309579844402,45.1074705057383,53.4124150397976
3,"medSBP","OSTK",0,0,0
3,"direct","OSTK",149.718280688227,169.692734699038,165.282122654709
3,"medBMI","Other_CVD",522.460574513526,531.984994115359,488.601556037383
3,"medSBP","Other_CVD",0,0,0
3,"direct","Other_CVD",0,0,0
4,"direct","Cancer",9098.3592384194,8721.53579490615,8829.08853803583
4,"medSBP","Cancer",0,0,0
4,"medBMI","Cancer",6742.23059000445,6895.28133234306,7271.59552444672
4,"direct","DIAB",0,0,0
4,"medSBP","DIAB",0,0,0
4,"medBMI","DIAB",104.558271398547,107.859050378446,88.4888426378165
4,"direct","HHD",0,0,0
4,"medSBP","HHD",0,0,0
4,"medBMI","HHD",30.0307640687677,31.8230452138804,31.7232597098998
4,"direct","HSTK",95.4618836857701,107.391743203117,115.451879602189
4,"medSBP","HSTK",0,0,0
4,"medBMI","HSTK",24.4080717688414,26.9207428603393,24.5055794623527
4,"direct","IHD",155.74959098011,182.498723515174,209.135011728649
4,"medSBP","IHD",0,0,0
4,"medBMI","IHD",135.461499235376,145.459402818601,142.061359148578
4,"direct","ISTK",60.7041975749687,66.8431198613828,77.1460843727413
4,"medSBP","ISTK",0,0,0
4,"medBMI","ISTK",10.9308564039938,14.9033148028731,14.1556861945864
4,"direct","OSTK",93.4217032124328,104.380783899356,126.225436283654
4,"medSBP","OSTK",0,0,0
4,"medBMI","OSTK",20.3791743898763,32.7092496899418,29.2225390974804
4,"direct","Other_CVD",0,0,0
4,"medSBP","Other_CVD",0,0,0
4,"medBMI","Other_CVD",248.136997148063,285.168037741269,275.43036419561
