"female","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"AA","medBMI",88.3683806109094,5.01539918928502,87.2216696042086,84.1854397000997,93.5260258774149,0.0153278761027516,0.000851595430260133,0.0152605421037786,0.014549376285924,0.0161636098187063,1.52605421037786,1.4549376285924,1.61636098187063,0.0749729265831826,0.00425513235168641,0.0740000414909905,0.0714240630684288,0.0793487424262996
0,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"AFF","medBMI",154.571526066447,8.77094269556704,151.371681662849,148.025873950292,163.837045925661,0.0146498256137423,0.000805855858544889,0.0143817711327392,0.014030638156154,0.0154968593801833,1.43817711327392,1.4030638156154,1.54968593801833,0.13114056855535,0.00744138614099337,0.128425777383552,0.125587148970755,0.139001560635973
0,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"APCA","medBMI",102.511360138879,14.5875177162564,101.711226237088,89.0089190801939,116.693915014087,0.00209388801354499,0.00031187019223802,0.00205085239304573,0.00181802469499326,0.0024063316095211,0.205085239304573,0.181802469499326,0.24063316095211,0.0869720212648727,0.0123762468793815,0.0862931768653152,0.0755163680641668,0.0990046922052024
0,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"BC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"BC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"BC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"CC","direct",5706.34280337737,422.218268927165,5878.20390809993,5257.94231469769,6008.66135304287,0.076156182582322,0.00458760984880203,0.0782163365979848,0.0712654774208394,0.0792957568304912,7.82163365979848,7.12654774208394,7.92957568304912,4.84133823770974,0.35821567691427,4.98714751810837,4.46090921224569,5.09782937483496
