"age","female","disease_type1","V1","V2","V3"
25,0,"Cancer",1027.86769018561,941.737352070309,871.607491041253
25,0,"CMD",2029.1343943837,1917.72617379439,2000.35664131083
25,1,"Cancer",2289.66146756418,2586.99872269179,2344.21794976758
25,1,"CMD",1137.17012594777,1117.20839232007,1136.95083291911
35,0,"Cancer",2537.19323997743,2622.13814283139,2290.77940261632
35,0,"CMD",5543.39720208221,5528.9955897011,4972.41407317057
35,1,"Cancer",3849.96284374139,4059.52431789663,4533.6129605183
35,1,"CMD",2822.02737178934,2841.2269894659,2698.95100277641
45,0,"Cancer",8614.52701905061,8457.69421594198,7661.72236669505
45,0,"CMD",14843.3480089003,16579.8491867071,13928.8750132713
45,1,"Cancer",14645.2896460272,13601.1448127071,13171.5218894561
45,1,"CMD",7070.66809903806,6893.06060572915,7703.33556344597
55,0,"Cancer",24428.6980882662,26983.5256153194,29789.4265729513
55,0,"CMD",30079.0875878514,27992.0100322852,29194.1074191907
55,1,"Cancer",39141.7683457631,37199.2691619034,44191.9017458576
55,1,"CMD",14348.0448656024,13673.2897413458,14726.5406712259
65,0,"Cancer",31673.1412966455,29386.1044864278,32620.9840596751
65,0,"CMD",40482.8131308407,40193.8176908769,36195.9957031599
65,1,"Cancer",41635.2239298861,37805.8248929196,43327.2377508325
65,1,"CMD",22496.4448815076,22570.211099259,19657.2227866787
75,0,"Cancer",24073.4999721091,21882.7813846419,21206.9870679629
75,0,"CMD",54247.0358016453,54743.8202026678,55202.5264817699
75,1,"Cancer",38825.5786996972,37108.9364002409,34918.7873187168
75,1,"CMD",72743.8528281993,75550.0523777026,75665.4037691599
