"age","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AA","medBMI",4.37284311150787,0.173419778886142,4.42246220879875,4.19214402926485,4.51136596105366,0.0276825222994443,0.000886742798724544,0.0273700087400458,0.0270131308119648,0.0286175503124125,2.73700087400458,2.70131308119648,2.86175503124125,0.00649069052189796,0.000257410130302567,0.00656434105000483,0.00622247558929635,0.00669630250560873
25,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AFF","medBMI",0.3238294526081,0.0745130307397861,0.325907294312229,0.252179635491357,0.393713104276334,0.0285657041793644,0.00517199503866773,0.0308371761116893,0.0230562050046948,0.0321444522115576,3.08371761116893,2.30562050046948,3.21444522115576,0.00048066594322201,0.000110601046058076,0.000483750121435379,0.000374314817193387,0.000584395517769269
25,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"APCA","medBMI",0.0356163709025833,0.00388679531175704,0.0360011610726076,0.031773975542935,0.0391316946177109,0.00360850613618581,0.000354283528302751,0.00350135648927924,0.00332922525540065,0.00397886421684155,0.350135648927924,0.332922525540065,0.397886421684155,5.28660267809344e-05,5.76924093713473e-06,5.34371778251883e-05,4.71626894998367e-05,5.80838856744162e-05
25,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"BC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"BC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"BC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"CC","direct",193.07279488199,15.7142390355253,200.504246856993,176.295341983177,203.53351360205,0.0716163085471317,0.00243806617565306,0.0715906839044107,0.0693111321009958,0.0739432659395804,7.15906839044107,6.93111321009958,7.39432659395804,0.286581459206469,0.0233249306608561,0.297612098465205,0.26167838088076,0.302108494162251
25,"CC","medBMI",7.0111240826283,1.58350215272576,6.84850316090139,5.58187235898959,8.57860358973488,0.0026027990091739,0.000552521285917584,0.00270741988956517,0.00204054537168585,0.00307612489832937,0.270741988956517,0.204054537168585,0.307612489832937,0.0104067389271768,0.0023504210308972,0.0101653577368621,0.00828527461220643,0.0127333772539147
25,"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"CM","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"CM","medBMI",19.7981455373605,3.05544497670148,19.5916628377429,16.9882032663607,22.7835981030354,0.0304704416991351,0.00539523827538157,0.0297067676540261,0.0257081813948149,0.035881824941798,2.97067676540261,2.57081813948149,3.5881824941798,0.0293867473205987,0.00453525252215565,0.0290802612960218,0.0252158989273733,0.0338181088347144
25,"CM","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"DIAB","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"DIAB","medBMI",49.069226153997,9.21012080121202,49.4342698559864,40.1696237522608,57.6585414090421,0.0607198069621562,0.0131200684158003,0.064572411164004,0.0470281414452741,0.0711367589074677,6.4572411164004,4.70281414452741,7.11367589074677,0.0728343443825933,0.013670749730911,0.073376185385383,0.059624502756766,0.0855836211560494
25,"DIAB","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"ECA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"ECA","medBMI",1.3025388541359,0.514541011316211,1.58463255604323,0.752445005535405,1.61285305611515,0.0200622783493792,0.00498851764060788,0.0205401960720338,0.0151364110661597,0.0245819155683424,2.05401960720338,1.51364110661597,2.45819155683424,0.00193338209932448,0.000763742576651988,0.00235209890909031,0.00111686779999615,0.00239398711035186
25,"ECA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"ENDO","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"ENDO","medBMI",5.2472504783028,0.0785996192126332,5.25613784314348,5.16916257020483,5.31778412628619,0.029094263722502,0.000535084685977654,0.029123588798467,0.0285740429826792,0.0295895581477546,2.9123588798467,2.85740429826792,2.95895581477546,0.00778858927179765,0.000116666843616145,0.00780178094898915,0.00767268197029112,0.00789328364769142
25,"ENDO","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"GC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"GC","medBMI",0.182443895007435,0.0511019762935748,0.15317134016989,0.152732660955652,0.237036800671132,0.0120267369740637,0.00172713798798414,0.0118363028456437,0.0104743877916078,0.0137409551656767,1.18363028456437,1.04743877916078,1.37409551656767,0.000270804789905798,7.58515923670048e-05,0.000227355004630909,0.00022670386509871,0.000351838032196542
25,"GC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"HHD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"HHD","medBMI",21.6159490771392,4.63061134214581,22.7108936166399,16.8447407263346,25.4564545693682,0.037323707281539,0.00857826702328483,0.0371236221570244,0.0292610525460186,0.0455564343728968,3.71236221570244,2.92610525460186,4.55564343728968,0.0320849461595333,0.00687330059245938,0.033710192243903,0.0250029548712867,0.0377854782760657
25,"HHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"HSTK","direct",30.5259679112806,3.94426163450459,28.3859411959549,28.1278398182811,34.743118712307,0.112933182321609,0.0156069745926414,0.108672581637933,0.100337629502191,0.129150245722151,10.8672581637933,10.0337629502191,12.9150245722151,0.0453102490853344,0.00585453924463728,0.0421337685294191,0.0417506639626562,0.0515698426805406
25,"HSTK","medBMI",7.80276427679999,0.819543744822699,7.52159665641037,7.17885256873193,8.66566846219923,0.028781545294377,0.00194310916801274,0.0279243629307347,0.027439915989925,0.030851779607925,2.79243629307347,2.7439915989925,3.0851779607925,0.0115817848581734,0.001216463678471,0.011164442648039,0.0106557013681435,0.0128626092268175
25,"HSTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"IHD","direct",35.4355443680199,2.90830285296104,34.7224881831175,33.0387058415836,38.4384806516232,0.0352618930290661,0.00322995915166799,0.0362831425567858,0.0318766746062572,0.0377790493533133,3.62831425567858,3.18766746062572,3.77790493533133,0.0525976226685367,0.00431684679307275,0.0515392204110337,0.0490399516729506,0.0570549355830004
