"age","female","race","pathway","disease_type3","V1","V2","V3"
25,0,1,"direct","All_HD",15.8180358179309,28.0966954590174,20.6758146522955
25,0,1,"medSBP","All_HD",0,0,0
25,0,1,"medBMI","All_HD",47.6589906385927,43.4418229611839,38.9973910729317
25,0,1,"direct","All_STK",39.6420761434797,35.2438049397196,39.9195484620056
25,0,1,"medSBP","All_STK",0,0,0
25,0,1,"medBMI","All_STK",11.0161519935787,12.6206319444306,12.1042260334409
25,0,1,"direct","Cancer",355.17387578163,275.429509552925,262.445164758348
25,0,1,"medSBP","Cancer",0,0,0
25,0,1,"medBMI","Cancer",321.98979289838,309.810789505409,270.870847875964
25,0,1,"direct","DIAB",0,0,0
25,0,1,"medSBP","DIAB",0,0,0
25,0,1,"medBMI","DIAB",11.3562217789114,19.6156383657666,12.455779399066
25,0,1,"direct","Other_CVD",0,0,0
25,0,1,"medSBP","Other_CVD",0,0,0
25,0,1,"medBMI","Other_CVD",87.9071731055113,82.6607129015259,105.840411864661
25,0,2,"medSBP","All_HD",0,0,0
25,0,2,"medBMI","All_HD",41.6366342639342,15.7411186822666,11.6126001339344
25,0,2,"direct","All_HD",15.8496508409173,9.98771670082865,15.1324200837133
25,0,2,"medSBP","All_STK",0,0,0
25,0,2,"medBMI","All_STK",6.42409587283873,7.10893782883801,5.25736155770483
25,0,2,"direct","All_STK",16.6848599274855,20.4906390561479,22.7033424762948
25,0,2,"medSBP","Cancer",0,0,0
25,0,2,"medBMI","Cancer",44.4647429135235,40.2316121003524,26.2034429716475
25,0,2,"direct","Cancer",41.7154218589868,42.1258983061239,29.2091253487661
25,0,2,"medSBP","DIAB",0,0,0
25,0,2,"medBMI","DIAB",10.4153932954935,10.6671444296576,11.5643712154853
25,0,2,"direct","DIAB",0,0,0
25,0,2,"medSBP","Other_CVD",0,0,0
25,0,2,"medBMI","Other_CVD",69.491664959531,55.1006486371315,44.602730073292
25,0,2,"direct","Other_CVD",0,0,0
25,0,3,"medBMI","All_HD",4.52424834223236,11.9204510721213,5.02085057380878
25,0,3,"medSBP","All_HD",0,0,0
25,0,3,"direct","All_HD",5.14092162686064,5.36470542370742,2.54097119590377
25,0,3,"medBMI","All_STK",7.7393868883032,3.91608766544748,4.1932673979625
25,0,3,"medSBP","All_STK",0,0,0
25,0,3,"direct","All_STK",25.9269484138398,11.8421244888934,18.584563716585
25,0,3,"medBMI","Cancer",83.0307275141561,87.4355892522361,95.7558680856837
25,0,3,"medSBP","Cancer",0,0,0
25,0,3,"direct","Cancer",88.7448304390711,87.6583121026594,80.8630408299758
25,0,3,"medBMI","DIAB",2.22026807746409,0.735279419554317,2.66838803796663
25,0,3,"medSBP","DIAB",0,0,0
25,0,3,"direct","DIAB",0,0,0
25,0,3,"medBMI","Other_CVD",20.2066209104382,28.1187394286773,20.9045478103118
25,0,3,"medSBP","Other_CVD",0,0,0
25,0,3,"direct","Other_CVD",0,0,0
25,0,4,"direct","All_HD",1.78689607690392,3.17774341525,2.60757412426818
25,0,4,"medSBP","All_HD",0,0,0
25,0,4,"medBMI","All_HD",4.88424921905295,2.16870727776803,2.15565309049211
25,0,4,"direct","All_STK",4.74887953764681,4.64197193321473,5.62295838809005
25,0,4,"medSBP","All_STK",0,0,0
25,0,4,"medBMI","All_STK",0.989162551636093,1.21286154037381,1.90366004672
25,0,4,"direct","Cancer",51.1041866273781,55.5148549244516,53.4932199567004
25,0,4,"medSBP","Cancer",0,0,0
25,0,4,"medBMI","Cancer",41.6441121524822,43.5307863261522,52.7667812141675
25,0,4,"direct","DIAB",0,0,0
25,0,4,"medSBP","DIAB",0,0,0
25,0,4,"medBMI","DIAB",1.32812535769574,0.771275343542574,0.267584805872813
25,0,4,"direct","Other_CVD",0,0,0
25,0,4,"medSBP","Other_CVD",0,0,0
25,0,4,"medBMI","Other_CVD",10.8829064860431,13.082897715718,15.4798519097186
25,1,1,"direct","All_HD",6.31856174989915,6.40773116544796,8.15394206045481
25,1,1,"medBMI","All_HD",10.4233847639925,16.0591483461239,5.20524397214657
25,1,1,"medSBP","All_HD",0,0,0
25,1,1,"direct","All_STK",34.3048417643217,21.6202361835054,30.2539325342376
25,1,1,"medBMI","All_STK",11.0779950114503,6.76881280499259,6.85323547590247
25,1,1,"medSBP","All_STK",0,0,0
25,1,1,"direct","Cancer",636.112008203747,669.438894246113,685.760331105879
25,1,1,"medBMI","Cancer",672.526610779547,856.655202372944,520.82022536205
25,1,1,"medSBP","Cancer",0,0,0
25,1,1,"direct","DIAB",0,0,0
25,1,1,"medBMI","DIAB",8.03346016089609,14.8632836214102,10.8388144685667
25,1,1,"medSBP","DIAB",0,0,0
25,1,1,"direct","Other_CVD",0,0,0
25,1,1,"medBMI","Other_CVD",79.7084551225502,74.9653918868929,67.3421930680697
25,1,1,"medSBP","Other_CVD",0,0,0
25,1,2,"medSBP","All_HD",0,0,0
25,1,2,"direct","All_HD",4.74611441105985,5.7789305192208,5.57701814692796
25,1,2,"medBMI","All_HD",12.1230396107889,8.32015474401546,17.7411307124408
25,1,2,"medSBP","All_STK",0,0,0
25,1,2,"direct","All_STK",22.3263290281671,23.4476482990493,25.7991727470824
25,1,2,"medBMI","All_STK",5.4465241638161,6.55834632402396,6.48831296725031
25,1,2,"medSBP","Cancer",0,0,0
25,1,2,"direct","Cancer",102.121063813596,132.945609829309,136.279145695554
25,1,2,"medBMI","Cancer",128.214652490978,97.4865224023192,126.441327747303
25,1,2,"medSBP","DIAB",0,0,0
25,1,2,"direct","DIAB",0,0,0
25,1,2,"medBMI","DIAB",3.04525089873196,7.18054738953215,8.33165308025367
25,1,2,"medSBP","Other_CVD",0,0,0
25,1,2,"direct","Other_CVD",0,0,0
25,1,2,"medBMI","Other_CVD",38.4945123428,35.976152027389,24.3950767729635
25,1,3,"medSBP","All_HD",0,0,0
25,1,3,"medBMI","All_HD",2.35380959075745,1.46687698182625,2.89730253477692
25,1,3,"direct","All_HD",1.15184500931193,1.06457427205411,0.802020502968822
25,1,3,"medSBP","All_STK",0,0,0
25,1,3,"medBMI","All_STK",3.11576846964529,3.63232128590226,4.4584727413138
25,1,3,"direct","All_STK",8.53641770650558,13.4779931237019,13.4307420942731
25,1,3,"medSBP","Cancer",0,0,0
25,1,3,"medBMI","Cancer",236.47669694417,281.206237430277,210.983003507718
25,1,3,"direct","Cancer",247.804783222482,209.478708653666,275.977022184672
25,1,3,"medSBP","DIAB",0,0,0
25,1,3,"medBMI","DIAB",2.79472041455285,3.89680174263999,2.48133680987059
25,1,3,"direct","DIAB",0,0,0
25,1,3,"medSBP","Other_CVD",0,0,0
25,1,3,"medBMI","Other_CVD",15.6710725971264,18.3632105279284,15.9313297982514
25,1,3,"direct","Other_CVD",0,0,0
25,1,4,"direct","All_HD",0.314686258075271,1.07740113007659,0.456486513267942
25,1,4,"medBMI","All_HD",0.805424044367289,2.48436508042939,0.821681388846831
25,1,4,"medSBP","All_HD",0,0,0
25,1,4,"direct","All_STK",3.30264011042601,5.03031142198879,8.09791327887907
25,1,4,"medBMI","All_STK",1.2976842031219,2.04205466380265,1.71559762395291
25,1,4,"medSBP","All_STK",0,0,0
25,1,4,"direct","Cancer",153.241266997854,163.70195253827,207.835706196178
25,1,4,"medBMI","Cancer",113.164385111808,176.085595218893,180.12118796822
25,1,4,"medSBP","Cancer",0,0,0
25,1,4,"direct","DIAB",0,0,0
25,1,4,"medBMI","DIAB",0.488570815687545,0.361427494467813,0.826342038904667
25,1,4,"medSBP","DIAB",0,0,0
25,1,4,"direct","Other_CVD",0,0,0
25,1,4,"medBMI","Other_CVD",6.05043366833307,6.57233791086038,6.35542135865601
25,1,4,"medSBP","Other_CVD",0,0,0
35,0,1,"direct","All_HD",68.2261037667902,125.428014147517,92.0091082201026
35,0,1,"medBMI","All_HD",175.864220213607,129.409901268656,116.978495745599
35,0,1,"medSBP","All_HD",0,0,0
35,0,1,"direct","All_STK",99.1924186338686,124.262716671653,112.564087540287
35,0,1,"medBMI","All_STK",37.3975024382573,39.601388511309,29.2123508356353
35,0,1,"medSBP","All_STK",0,0,0
35,0,1,"direct","Cancer",740.165092698733,859.751099456043,683.861884382802
35,0,1,"medBMI","Cancer",736.729901819371,669.479756966309,652.161519056963
35,0,1,"medSBP","Cancer",0,0,0
35,0,1,"direct","DIAB",0,0,0
35,0,1,"medBMI","DIAB",45.4203709707304,42.1924287398768,41.1254949325566
35,0,1,"medSBP","DIAB",0,0,0
35,0,1,"direct","Other_CVD",0,0,0
35,0,1,"medBMI","Other_CVD",142.450954911737,162.021446466151,145.175809629195
35,0,1,"medSBP","Other_CVD",0,0,0
35,0,2,"medSBP","All_HD",0,0,0
35,0,2,"direct","All_HD",56.7462652319279,42.9524239717269,39.5153976692346
35,0,2,"medBMI","All_HD",73.7598683427044,118.331570886909,35.657418618727
35,0,2,"medSBP","All_STK",0,0,0
35,0,2,"direct","All_STK",100.437684008511,66.4864426701274,61.9271642672202
35,0,2,"medBMI","All_STK",22.2759522924444,26.2291880723031,23.4893865709104
35,0,2,"medSBP","Cancer",0,0,0
35,0,2,"direct","Cancer",158.226653161145,222.628116213879,188.552619120145
35,0,2,"medBMI","Cancer",193.288464889253,222.819003658384,143.586230227118
35,0,2,"medSBP","DIAB",0,0,0
35,0,2,"direct","DIAB",0,0,0
35,0,2,"medBMI","DIAB",40.8956113325505,34.1068414905222,40.0659851928044
35,0,2,"medSBP","Other_CVD",0,0,0
35,0,2,"direct","Other_CVD",0,0,0
35,0,2,"medBMI","Other_CVD",99.3082281822252,100.014465404511,84.3008619071049
35,0,3,"medBMI","All_HD",12.1044922146929,21.76279466054,39.7961395144599
35,0,3,"medSBP","All_HD",0,0,0
35,0,3,"direct","All_HD",17.4162680673778,11.3944953212544,15.2645693176031
35,0,3,"medBMI","All_STK",16.239297548677,15.0691644446072,9.96253806432269
35,0,3,"medSBP","All_STK",0,0,0
35,0,3,"direct","All_STK",48.5595486137277,54.0662986855114,58.2135206935629
35,0,3,"medBMI","Cancer",232.94939004193,162.184772466728,161.49761094603
35,0,3,"medSBP","Cancer",0,0,0
35,0,3,"direct","Cancer",207.078266407218,194.757739542586,208.15001641745
35,0,3,"medBMI","DIAB",14.8204320695168,9.50887492856146,11.9879735229791
35,0,3,"medSBP","DIAB",0,0,0
35,0,3,"direct","DIAB",0,0,0
35,0,3,"medBMI","Other_CVD",36.8553169628799,28.2387414796629,30.1882162494237
35,0,3,"medSBP","Other_CVD",0,0,0
35,0,3,"direct","Other_CVD",0,0,0
35,0,4,"medBMI","All_HD",17.6357225048435,15.0850140433589,9.41175905708238
35,0,4,"direct","All_HD",4.08441272027135,5.26800378160475,4.44292778320351
35,0,4,"medSBP","All_HD",0,0,0
35,0,4,"medBMI","All_STK",4.25048664643881,4.15299357969792,4.64936448717767
35,0,4,"direct","All_STK",20.2285611408237,12.3780480483178,9.65490250921218
35,0,4,"medSBP","All_STK",0,0,0
35,0,4,"medBMI","Cancer",111.244247802335,139.341191176831,112.247357327519
35,0,4,"direct","Cancer",157.511223157442,151.176463350635,140.722165138296
35,0,4,"medSBP","Cancer",0,0,0
35,0,4,"medBMI","DIAB",1.58727209918623,4.74327963408348,3.27891308368252
35,0,4,"direct","DIAB",0,0,0
35,0,4,"medSBP","DIAB",0,0,0
35,0,4,"medBMI","Other_CVD",14.806120151502,16.3675514036691,12.6225804903516
35,0,4,"direct","Other_CVD",0,0,0
35,0,4,"medSBP","Other_CVD",0,0,0
35,1,1,"medBMI","All_HD",66.1199007131405,60.9778019577318,54.8015914699866
35,1,1,"direct","All_HD",31.6720898642624,39.4183295348466,34.2534690535997
35,1,1,"medSBP","All_HD",0,0,0
35,1,1,"medBMI","All_STK",37.9859542690593,33.7484456217865,35.0445248589662
35,1,1,"direct","All_STK",121.424806088949,131.301348016785,130.131227118647
35,1,1,"medSBP","All_STK",0,0,0
35,1,1,"medBMI","Cancer",924.373603717564,1208.04679037559,1158.47993233737
35,1,1,"direct","Cancer",908.753058083732,750.834858157029,1179.48319653213
35,1,1,"medSBP","Cancer",0,0,0
35,1,1,"medBMI","DIAB",23.9339498693543,38.5192456728623,13.910725017922
35,1,1,"direct","DIAB",0,0,0
35,1,1,"medSBP","DIAB",0,0,0
35,1,1,"medBMI","Other_CVD",84.6338930233916,93.8025465247411,87.313970880876
35,1,1,"direct","Other_CVD",0,0,0
35,1,1,"medSBP","Other_CVD",0,0,0
35,1,2,"direct","All_HD",14.9316911273647,13.1441734901197,18.5756039334733
35,1,2,"medBMI","All_HD",57.5559605470148,24.5404416148529,7.44040585637237
35,1,2,"medSBP","All_HD",0,0,0
35,1,2,"direct","All_STK",71.2469676722752,59.6713156769442,76.5280447829696
35,1,2,"medBMI","All_STK",20.4427374182066,18.906292154413,24.9410279034443
35,1,2,"medSBP","All_STK",0,0,0
35,1,2,"direct","Cancer",309.320362134871,354.372256841931,365.611363793559
35,1,2,"medBMI","Cancer",340.92662293529,273.376320658414,356.571637014166
35,1,2,"medSBP","Cancer",0,0,0
35,1,2,"direct","DIAB",0,0,0
35,1,2,"medBMI","DIAB",15.8128145249515,12.7334687704692,8.98512575680994
35,1,2,"medSBP","DIAB",0,0,0
35,1,2,"direct","Other_CVD",0,0,0
35,1,2,"medBMI","Other_CVD",62.5749935739146,52.6963808290118,38.1976646404271
35,1,2,"medSBP","Other_CVD",0,0,0
35,1,3,"medSBP","All_HD",0,0,0
35,1,3,"direct","All_HD",2.57918879126051,4.79790465931206,2.719848162265
35,1,3,"medBMI","All_HD",10.0123202835651,3.54324638625975,8.55219343098828
35,1,3,"medSBP","All_STK",0,0,0
35,1,3,"direct","All_STK",29.957965780521,31.9363823751944,30.748388134477
35,1,3,"medBMI","All_STK",6.74053030551789,7.32538050586685,6.35370911134765
35,1,3,"medSBP","Cancer",0,0,0
35,1,3,"direct","Cancer",342.310404466254,436.420835667997,452.235133172023
35,1,3,"medBMI","Cancer",359.901042787606,384.448419312156,376.652457222366
35,1,3,"medSBP","DIAB",0,0,0
35,1,3,"direct","DIAB",0,0,0
35,1,3,"medBMI","DIAB",3.19574413874425,3.56590562222456,3.73737776715359
35,1,3,"medSBP","Other_CVD",0,0,0
35,1,3,"direct","Other_CVD",0,0,0
