"disease_type2","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"Cancer",230768.959440199,7348.06875265545,232742.412238914,223141.016142258,236719.467859232,0.228124137545709,0.0072663007659687,0.2298999028583,0.220622823819702,0.234116050756012,22.98999028583,22.0622823819702,23.4116050756012,94.2383173117802,3.00070527865325,95.0442093671773,91.1233206385215,96.6683057379515
"DIAB",2655.58845749222,86.0702839184176,2647.04582072253,2577.75492302253,2740.68323321613,0.0366150253057649,0.00125264141256866,0.0366437919497049,0.0354130255092544,0.0377925734549264,3.66437919497049,3.54130255092544,3.77925734549264,1.08445342178485,0.0351482224762587,1.08096489492,1.05266881203211,1.11920327937271
"HHD",1453.95403864688,197.90593334733,1412.15273037657,1286.88111815353,1656.55807116998,0.0284996240799043,0.00394400130675115,0.0275256974951935,0.0252534224878423,0.0325736632689705,2.75256974951935,2.52534224878423,3.25736632689705,0.593746153655711,0.0808181576495895,0.576675898789628,0.52551916622269,0.676482857724901
"HSTK",2442.29247709459,61.4288355254315,2410.27024277571,2403.82984318158,2507.97401017863,0.0709944800686231,0.00141046577801605,0.0706211808145837,0.0698488616647514,0.0724574028384284,7.06211808145837,6.98488616647514,7.24574028384284,0.997350484150603,0.0250854799032835,0.984273675700737,0.98164363211932,1.02417262336427
"IHD",10922.9748897106,480.451674453481,11191.4538660538,10409.4495995599,11208.2930499697,0.0300177667589536,0.00136366474223211,0.0307953262171042,0.0285607896406276,0.0308138183378515,3.07953262171042,2.85607896406276,3.08138183378515,4.4605772636935,0.196200379201589,4.57021508944591,4.25087072708546,4.577091648412
"ISTK",2461.69354347519,86.1173806225373,2431.05783988762,2396.88155911509,2552.54587588472,0.0575990228401377,0.00221854559100092,0.056663981026353,0.0560342074231004,0.059958623798892,5.6663981026353,5.60342074231004,5.9958623798892,1.00527323014815,0.0351674551935095,0.992762634430428,0.978806185522434,1.04237428113392
"OSTK",4353.72715600858,269.365945909236,4237.48714820188,4165.77320732691,4640.48511132594,0.0617604123777139,0.00372659478556421,0.0596203125490141,0.0595985755325045,0.065741334077318,5.96203125490141,5.95985755325045,6.5741334077318,1.77791641567449,0.110000034429069,1.73044788798955,1.70116231538808,1.89501876449311
"Other_CVD",10106.2604053806,159.592234970572,10067.0927984536,9974.75808918137,10271.0551874677,0.0916987065539009,0.00148654893430356,0.0913776041067008,0.0904478830817255,0.0932224671061964,9.13776041067008,9.04478830817255,9.32224671061964,4.12705841040349,0.0651721259052188,4.11106367099452,4.07335726692529,4.19435508237933
