"","age","female","race","pathway","disease_type3","V1","V2","V3"
"1",25,0,1,"direct","All_HD",0.0266376894717945,0.0495064872224527,0.0358994004687301
"2",35,0,1,"direct","All_HD",0.026970243671061,0.0479632466912866,0.0360685205509177
"3",45,0,1,"direct","All_HD",0.0277069996404651,0.0331303784123357,0.0375108768120885
"4",55,0,1,"direct","All_HD",0.0130850195861371,0.0234192174228997,0.0344668034364697
"5",65,0,1,"direct","All_HD",0.0166954259968414,0.0383688011895633,0.0229877422273839
"6",75,0,1,"direct","All_HD",0.0151074318862606,0.00456802395069922,0.00835146658680308
"7",25,1,1,"direct","All_HD",0.0357991694539233,0.0268913546597102,0.0450942539886507
"8",35,1,1,"direct","All_HD",0.0355745435466795,0.044189448225851,0.0360521838820897
"9",45,1,1,"direct","All_HD",0.0239524829039396,0.0294551771988451,0.0235451665506141
"10",55,1,1,"direct","All_HD",0.0337678120880776,0.00866470492834837,0.0247364554226988
"11",65,1,1,"direct","All_HD",0.0375572624420182,0.0150209698417911,0.0190382302515163
"12",75,1,1,"direct","All_HD",0.0107897388262937,0.00750447604071236,0.00850458723930236
"13",25,0,2,"direct","All_HD",0.0446832618123844,0.0275961448916785,0.0456078825356074
"14",35,0,2,"direct","All_HD",0.0496460917697465,0.0366206400927689,0.0332888562189052
"15",45,0,2,"direct","All_HD",0.0401921734496139,0.0167168026615911,0.017240659087095
"16",55,0,2,"direct","All_HD",0.0200570623479328,0.0143738953103079,0.026263113916379
"17",65,0,2,"direct","All_HD",0.015063240546491,0.0239680729376006,0.0257750183391769
"18",75,0,2,"direct","All_HD",0.0117682900649794,0.00670524477987444,0.0152523989874287
"19",25,1,2,"direct","All_HD",0.0305832263491942,0.0369205257113459,0.0418257547756808
"20",35,1,2,"direct","All_HD",0.0286707671540097,0.0238661480757704,0.0378755398980266
"21",45,1,2,"direct","All_HD",0.0217786851956479,0.0352365845175966,0.0261865837683364
"22",55,1,2,"direct","All_HD",0.0156909831428715,0.0239609823981727,0.0138184284359399
"23",65,1,2,"direct","All_HD",0.0187708514286022,0.0143699842672815,0.0223752428885796
"24",75,1,2,"direct","All_HD",0.00906324952155535,0.00813649212949785,0.0194538152999825
"25",25,0,3,"direct","All_HD",0.027250447633585,0.0287638612847766,0.0145058869007547
"26",35,0,3,"direct","All_HD",0.0334080771323036,0.0201489956581186,0.0275850653983551
"27",45,0,3,"direct","All_HD",0.0253584510752893,0.0121419540652377,0.0131156159265019
"28",55,0,3,"direct","All_HD",0.0159230395428979,0.0142573845252146,0.0144602162064168
"29",65,0,3,"direct","All_HD",0.0178150961713008,0.0200039137486453,0.0176028674146843
