"outcome","V1","V2","V3"
"AA",142.487055920934,145.232692822876,144.054649100558
"AFF",361.534997333482,312.411244629903,333.492500014582
"APCA",88.3403765982521,101.711226237088,117.482477581297
"BC",1467.71231388963,1274.22884030785,1368.11644593272
"CC",11707.1122079836,10848.4653468504,11292.2337376252
"CM",303.220812686812,316.529857832221,270.152963122144
"DIAB",2574.1080336699,2745.61151808422,2647.04582072253
"ECA",208.071393710094,239.339020783616,194.663075298054
"ENDO",33.7631019709601,32.6336316940733,30.3513569404936
"GC",43.4124954705862,42.4206386496575,44.8983446487246
"HHD",1669.42151015911,1412.15273037657,1280.28787540495
"HSTK",2410.27024277571,2403.49087478189,2513.11631372616
"IHD",11209.1793228073,10368.2914802708,11191.4538660538
"ISTK",2395.08280749548,2558.93998304246,2431.05783988762
"KC",885.75564746511,915.97343085113,916.895307816006
"LC",0,0,0
"LVC",478.150301600363,438.904808011128,476.62979373065
"MLPC",2309.952170702,2474.29045461598,2375.22924186627
"MMC",117.699401619758,111.335237110879,105.212850895672
"OC",58.4518060545793,58.4779820797457,55.6041576028838
"OSTK",4161.99878938612,4661.69553043773,4237.48714820188
"OTH",474.564853618475,656.622092303896,513.070249638871
"PC",256.830464458958,299.821241930669,260.023714857284
"PVD",101.25780619046,98.9801584342537,103.271202645371
"RHD",47.9517422696929,49.0978496330928,47.2605414186315
"SCC",100.532219417271,82.8440418271117,109.383794771549
"SCNC",0,0,0
"TC",153.167943494256,143.444067928623,178.279325619436
"UC",1472.29743326447,1350.77355659075,1501.00080858406
