"age","race","pathway","V1","V2","V3"
25,1,"direct",4822.94266863891,4046.75727926511,4779.69575040271
25,1,"medSBP",0,0,0
25,1,"medBMI",4853.69950887818,5100.97802196725,4207.71828650163
25,2,"medSBP",0,0,0
25,2,"medBMI",1271.72329939135,1152.47332793755,1128.4585739478
25,2,"direct",1041.59567337255,1116.07423328785,1208.66937195807
25,3,"medBMI",1429.65868549638,1623.52205437095,1525.24056403165
25,3,"medSBP",0,0,0
25,3,"direct",1296.17040139952,1444.67537285533,1424.89261487918
25,4,"direct",694.255651477692,834.150809121888,1040.62162688795
25,4,"medSBP",0,0,0
25,4,"medBMI",726.961501690079,946.658417964729,918.962559975351
35,1,"direct",8505.73119010611,9588.05117921065,9200.60365128223
35,1,"medBMI",9306.00659017235,9567.91120687043,8816.13862367169
35,1,"medSBP",0,0,0
35,2,"medSBP",0,0,0
35,2,"direct",3454.867340543,2835.22567178718,2932.70757220305
35,2,"medBMI",3554.27204767688,3347.44416786246,2876.48860274731
35,3,"medBMI",2713.26585745061,2425.80380202088,2676.37333839524
35,3,"medSBP",0,0,0
35,3,"direct",2597.50385926842,2930.30132911334,2973.78129398772
35,4,"medBMI",1595.75210362636,1955.26548523463,1816.7718242776
35,4,"direct",1801.24083313212,1663.73396319506,1587.28173927913
35,4,"medSBP",0,0,0
45,1,"direct",29496.3749336105,33765.7882157817,30449.8597439011
45,1,"medBMI",34400.150013537,33558.9215764466,33247.7273051828
45,1,"medSBP",0,0,0
45,2,"direct",8372.30227931951,8398.75865899921,7559.3172687634
45,2,"medSBP",0,0,0
45,2,"medBMI",8217.97785332894,8072.55063137858,7648.47533212196
45,3,"medSBP",0,0,0
45,3,"direct",5189.19382199269,3885.9786745858,5255.8959118711
45,3,"medBMI",5880.86207682399,4317.43600076947,5661.7933945602
45,4,"medBMI",4019.21362441158,4754.77830620437,4543.37708260511
45,4,"medSBP",0,0,0
45,4,"direct",4476.43603161894,5304.6971131289,4723.62102830669
55,1,"medBMI",90104.5677957385,84325.5862451484,91314.4392323896
55,1,"medSBP",0,0,0
55,1,"direct",84374.8921810893,74784.1708340137,87467.0761539619
55,2,"direct",16599.1048678484,21000.2890313245,20566.6068035782
55,2,"medBMI",18578.9757731173,18346.1873030623,19338.7654770313
55,2,"medSBP",0,0,0
55,3,"medSBP",0,0,0
55,3,"direct",10139.3187510535,10519.3623289684,11570.2892721354
55,3,"medBMI",11630.8329599003,10495.145795013,11170.3573730972
55,4,"medSBP",0,0,0
55,4,"medBMI",8589.25069108072,8008.8027764367,7767.53270503198
55,4,"direct",8692.28444704976,9383.46588044075,9620.906502671
65,1,"medSBP",0,0,0
65,1,"direct",109898.956412466,109468.644025634,95471.3300301571
65,1,"medBMI",112688.683174736,106808.806845235,108605.175784936
65,2,"medBMI",16622.1644256539,15755.7000739742,14463.0640902236
65,2,"medSBP",0,0,0
65,2,"direct",15210.3151836452,15565.6131746538,17504.406500052
65,3,"direct",7265.01489421474,7662.37994217654,8741.79558071329
65,3,"medBMI",8321.46571365401,8070.31490296912,8219.35309243275
65,3,"medSBP",0,0,0
65,4,"direct",5561.04299299366,5657.40993964079,5430.4692244097
65,4,"medSBP",0,0,0
65,4,"medBMI",5435.70234740201,5882.2359831324,5727.88276627057
75,1,"direct",135138.817308617,128743.23020726,126348.521686173
75,1,"medBMI",157373.839535932,154042.814960737,148000.041627707
75,1,"medSBP",0,0,0
75,2,"medSBP",0,0,0
75,2,"medBMI",12182.2703722688,14372.7247939004,17187.5686378936
75,2,"direct",15417.0631951838,13893.1548553301,16464.2978198423
75,3,"medBMI",8513.2979494318,10001.7477244751,8359.7495603646
75,3,"medSBP",0,0,0
75,3,"direct",7759.40807074331,8684.66157544269,7759.14328829412
75,4,"direct",5433.93177623296,6222.02981653545,6744.31790975909
75,4,"medBMI",5224.03735766755,6297.78542517151,6267.03714173505
75,4,"medSBP",0,0,0
