"race","pathway","V1","V2","V3"
1,"direct",372237.714694528,360396.641741165,353717.087015878
1,"medSBP",0,0,0
1,"medBMI",408726.946618994,393405.018856405,394191.240860389
2,"medSBP",0,0,0
2,"medBMI",60427.3837714372,61047.0802981155,62642.8207139656
2,"direct",60095.2485399125,62809.1156253827,66236.005336397
3,"medBMI",38489.3832427571,36933.9702796186,37612.8673228816
3,"medSBP",0,0,0
3,"direct",34246.6097986722,35127.3592231421,37725.7979618808
4,"direct",26659.1917325051,29065.4875220628,29147.2180313136
4,"medSBP",0,0,0
4,"medBMI",25590.9176258783,27845.5263941443,27041.5640798957
