"race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"AA","medBMI",109.886716617138,0.501031077873551,110.005275284725,109.370451253552,110.302207113275,0.0140659582017033,0.00025622558941747,0.0140428123067547,0.013833126910028,0.0143184635040848,1.40428123067547,1.3833126910028,1.43184635040848,0.0720153598411022,0.00032835573284398,0.0720930584508285,0.071677020166602,0.072287655697335
1,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"AFF","medBMI",300.464286111168,22.4589495340284,296.340869215717,281.152162071831,323.281314511637,0.0131431331095939,0.000965523809813122,0.0129701051199736,0.0123105362139501,0.0141228037964151,1.29701051199736,1.23105362139501,1.41228037964151,0.196912277933336,0.0147186974198296,0.194209955390245,0.184255884105186,0.211865645923113
1,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"APCA","medBMI",57.5695029561683,17.5292056025299,53.7079534775586,42.863776104298,75.5575468648568,0.00160370193413353,0.000503158260874055,0.00147767582668677,0.00119064347239417,0.00212388258720263,0.147767582668677,0.119064347239417,0.212388258720263,0.0377287501064097,0.0114879403813033,0.0351980449965718,0.0280912047909714,0.0495173947652102
1,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"BC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"BC","medBMI",1046.61258090417,97.3275331009931,1051.61468265897,952.117161584693,1136.85621373208,0.00645054756961663,0.000603739898663864,0.00653435524205219,0.00584553599233637,0.00698432262532666,0.653435524205219,0.584553599233637,0.698432262532666,0.685908032821173,0.0637845731903656,0.689186210283593,0.623979513750589,0.7450501010487
1,"BC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
