"age","female","pathway","disease_type","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"direct","CMD",965.163830487842,69.0628002815279,961.936012782375,900.97975861462,1032.09154741071,0.329182485412517,0.0252800695448367,0.328085364153161,0.305649664218696,0.353647859676791,32.8085364153161,30.5649664218696,35.3647859676791,2.8259620855042,0.202213188009437,2.81651116104305,2.63803362416171,3.02192383263866
25,0,"direct","Cancer",474.492480162339,56.6325280745163,460.72857488616,427.746452093409,532.937827716021,0.107817619277469,0.00959904162670076,0.104624075443151,0.100442491194676,0.117907259619431,10.4624075443151,10.0442491194676,11.7907259619431,1.38929549205948,0.165817835365776,1.34899531375784,1.25242494345641,1.56042119221895
25,0,"medBMI","CMD",1017.24190600847,51.3665937944142,1019.95463908334,967.341794427865,1064.83619447543,0.346826626983981,0.0167189653762553,0.345905825337677,0.331353027513904,0.363082907853416,34.5905825337677,33.1353027513904,36.3082907853416,2.97844466126848,0.15039938499471,2.98638743800288,2.83233907905045,3.11779888326227
25,0,"medBMI","Cancer",472.578364270051,23.908253035748,481.008777184149,447.367531999297,490.623345563822,0.107529177943054,0.00236349948093153,0.108527886080043,0.105015144521487,0.109194309448181,10.8527886080043,10.5015144521487,10.9194309448181,1.38369103531546,0.0700024332402868,1.40837495581458,1.30987470083352,1.43652603737314
25,0,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","CMD",546.219987283716,48.3101861242271,543.859221673908,501.369752382723,593.076872953045,0.329464288938618,0.041708755044617,0.324842592604942,0.291988058930507,0.370868960830353,32.4842592604942,29.1988058930507,37.0868960830353,1.64437218193676,0.14543577316149,1.63726519686258,1.50935244567395,1.78543285551261
25,1,"direct","Cancer",1206.89883089577,87.5956445361444,1175.56516526736,1141.09342438916,1299.33785318654,0.110300061698472,0.00967113477733617,0.106231889132509,0.103472792289261,0.120585277788751,10.6231889132509,10.3472792289261,12.0585277788751,3.63331791245159,0.263702985037858,3.53898923661222,3.43521351788592,3.91160168148074
25,1,"medBMI","CMD",584.223129778602,39.1939967448432,593.310904273859,543.884924617501,616.836726618734,0.351005461435736,0.0105219302984639,0.354379671584687,0.339968804142713,0.35917404010215,35.4379671584687,33.9968804142713,35.9174040102151,1.75877903595089,0.117991870393904,1.78613739691097,1.63734257448776,1.85696089059796
25,1,"medBMI","Cancer",1200.06054911208,191.431035082261,1150.3823453265,1043.96657462235,1398.38099681954,0.109270792930072,0.0138956597714291,0.107267207292179,0.0970247624354068,0.123219871216945,10.7267207292179,9.70247624354069,12.3219871216945,3.61273155420924,0.576295038953098,3.46317742170703,3.14281724240372,4.20976687864164
25,1,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"direct","CMD",2494.50634814554,173.765632665956,2555.01031956781,2311.39878423096,2626.1855363512,0.294147432114548,0.0203783401238639,0.297898047425382,0.273441498023848,0.311665343191038,29.7898047425382,27.3441498023848,31.1665343191038,12.5873046728303,0.87682316850367,12.8926083345245,11.6633420232238,13.2517592099967
35,0,"direct","Cancer",1304.19377968212,109.493709634473,1262.98123542454,1223.37141257699,1420.04680940621,0.119881018100255,0.0112289585391573,0.114668649281672,0.112328680015777,0.131863869680528,11.4668649281672,11.2328680015777,13.1863869680528,6.5809752175909,0.552506384260006,6.37301629565895,6.17314472243581,7.16557079638815
35,0,"medBMI","CMD",2853.76260683909,158.731186007301,2913.46560168977,2685.81838134397,2970.95928671112,0.336467410079261,0.0172215620186327,0.346068824634746,0.318059693024874,0.346713924761486,34.6068824634746,31.8059693024874,34.6713924761486,14.4001154468572,0.800959196130703,14.7013773725383,13.5526671587736,14.9914910981119
