"age","disease_type","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"CMD",3112.84885355863,69.0158265298771,3137.30747422995,3040.05321152024,3164.85466802639,0.67754022217084,0.0240558032577259,0.687401685073015,0.65198475718674,0.694713443688091,68.7401685073015,65.198475718674,69.4713443688091,4.62045814008791,0.102441445918684,4.65676251537003,4.51240624529878,4.69765131588724
25,"Cancer",3354.03022444024,159.616766388795,3317.52915774979,3220.91062665588,3518.17572891148,0.218455145162426,0.00476599700007592,0.217545320574332,0.214376427307564,0.223307213917167,21.7545320574332,21.4376427307564,22.3307213917167,4.97844803318971,0.236922067935455,4.92426883636845,4.78085619429113,5.22209218938636
35,"CMD",8135.67074299518,402.107659157973,8365.42457387155,7706.06805084321,8369.98267890223,0.646144396798048,0.0301644698447176,0.659398956586544,0.614010929946536,0.667011487829337,65.9398956586544,61.4010929946536,66.7011487829337,19.9111352366251,0.984113078576919,20.4734317874842,18.8597311703014,20.4845872347185
35,"Cancer",6631.07030252715,222.965391625949,6681.66246072802,6401.88140256927,6817.2558680143,0.224471821937125,0.0102033124221724,0.229931975048272,0.213561889226704,0.230740624503073,22.9931975048272,21.3561889226704,23.0740624503073,16.2287956000267,0.545682612533669,16.3526141929458,15.6678816537828,16.6844637422895
45,"CMD",22339.7121590306,991.441499345151,21914.0161079383,21646.3008532784,23394.9651082113,0.581866156963314,0.0270049362998333,0.572217848879962,0.561570932097598,0.61036244369988,57.2217848879962,56.1570932097598,61.036244369988,57.1251930052972,2.53522903967491,56.0366396297153,55.3520611765982,59.823595203241
45,"Cancer",22050.633316626,1213.30701564914,22058.8390286491,20894.523994776,23199.7677832564,0.227446639394712,0.0114157098883391,0.225841710015111,0.217364493041011,0.238892975721073,22.5841710015111,21.7364493041011,23.8892975721073,56.3859854206805,3.10256448025094,56.4069683626149,53.4296819698678,59.3244533708489
55,"CMD",43337.6934391671,1470.30848188209,43920.6480904166,41778.0671894703,44401.808235302,0.456370325990902,0.0153435243214168,0.4630006328417,0.440035277116952,0.467069614041674,46.30006328417,44.0035277116952,46.7069614041674,90.6340672256716,3.07492224929859,91.8532265038419,87.3723507118389,92.8594983530595
55,"Cancer",67244.863176687,5841.97812887358,64182.7947772228,63601.082851189,73491.4016417296,0.226101227399081,0.0199989632657331,0.21627549226689,0.213083746612651,0.247470583047874,21.627549226689,21.3083746612651,24.7470583047874,140.632206425383,12.2175915800979,134.228365077523,133.011804766482,153.695873229966
65,"CMD",60532.1684307743,4053.51826403435,62764.0287901359,56198.7590048534,62968.4965512377,0.426800333979006,0.0285088691763672,0.442099733839915,0.396317373662842,0.444278804413399,44.2099733839915,39.6317373662842,44.4278804413399,207.214398597326,13.8760492323307,214.854528037712,192.380222797147,215.554464373178
65,"Cancer",72149.5054721288,4491.70137395391,73308.3652265316,67497.7511717066,75816.2289813088,0.234900437308522,0.0138707911937138,0.239433555702497,0.2203353990171,0.245612324965066,23.9433555702497,22.03353990171,24.5612324965066,246.982997190977,15.3760425739095,250.95001891335,231.059059642187,259.534966275751
75,"CMD",129384.230487048,2092.47448882041,130293.87258037,127156.037827371,130839.227367402,0.285655162310452,0.00418133093660624,0.287318704771778,0.281219119565526,0.288677193963252,28.7318704771778,28.1219119565526,28.8677193963252,630.769941168163,10.2011659785793,635.204599762406,619.907126221045,637.863296310174
75,"Cancer",59338.8569477896,3399.96940185442,58991.7177848828,56269.0715565899,62703.7106274601,0.223735529479906,0.0126123458930591,0.221995964423801,0.212578898350753,0.23637079090675,22.1995964423801,21.2578898350753,23.637079090675,289.286933693902,16.5754241572426,287.594571738047,274.321212266206,305.691162784075
