"race","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"All_HD",19240.4503699672,1623.43962248676,18626.5525897117,18044.1351629695,20958.5786901823,0.0597086490425881,0.00501397634652363,0.0576641397669119,0.0561211697420338,0.0650339612274671,5.76641397669119,5.61211697420338,6.50339612274671,12.6094217713841,1.06393740929605,12.2070977151946,11.8254046238385,13.7354143666909
1,"All_STK",20282.1254425798,637.327150108564,20194.8710330387,19718.018499108,20920.3986341614,0.183111424095324,0.00634551300105341,0.182770146495104,0.177234772159721,0.189278161991113,18.2770146495104,17.7234772159721,18.9278161991113,13.2920939587156,0.417678728280558,13.2349109078951,12.9224008258821,13.7103926847466
1,"Cancer",170406.46129921,6566.98966055653,174132.52184479,163389.358278514,174256.412856163,0.230308916668084,0.00863692207688896,0.234715616436044,0.221075428386128,0.235796710147274,23.4715616436044,22.1075428386128,23.5796710147274,111.677580398262,4.30374241798047,114.119491479422,107.078851683506,114.200684694032
1,"DIAB",1852.21237209461,97.0303075801217,1874.87161767817,1752.30819825486,1932.85618718834,0.0382054714913103,0.00195807431151178,0.0386464884448475,0.0361935982216236,0.0398424803504904,3.86464884448475,3.61935982216236,3.98424803504904,1.2138659210583,0.0635897834696563,1.22871588449941,1.14839272056433,1.26671665262733
1,"Other_CVD",7988.92474503553,127.639752484288,7933.99660782358,7899.74700197677,8124.79140472445,0.0899427819038811,0.00147551227753096,0.0893961634850746,0.0888474573396794,0.0915027321240683,8.93961634850746,8.88474573396794,9.15027321240683,5.23562181097593,0.0836499896271506,5.19962410635344,5.17717828427953,5.32466338660146
2,"All_HD",3001.58627522237,321.436973061626,2907.37047126792,2746.26465871936,3336.99132508665,0.059310852281155,0.00603075481326701,0.0579463939187255,0.0542725838159596,0.0655089103544156,5.79463939187255,5.42725838159596,6.55089103544156,10.6884665777086,1.14461755498082,10.3529698172217,9.77928179528658,11.8828236065444
2,"All_STK",3883.95575692333,378.697991625696,3785.65345465924,3575.17952160413,4276.28894916701,0.199091937007098,0.0168364666002112,0.192774195278767,0.186650446939418,0.216903507543858,19.2774195278767,18.6650446939418,21.6903507543858,13.8305307563077,1.34852056725797,13.4804822233253,12.730997320123,15.2276054455273
2,"Cancer",27192.5627261345,1401.67168146769,27252.9415470396,25836.2405215858,28497.5629329137,0.246194637087083,0.0114665260911434,0.247398485994617,0.234834921332423,0.256531081270339,24.7398485994617,23.4834921332423,25.6531081270339,96.831065713412,4.99126779861696,97.0460710306249,92.0012846501146,101.478092257078
2,"DIAB",476.052729785286,20.062689428941,476.115781912359,456.966448267496,495.085416995063,0.0357352134358433,0.000996977481117492,0.0356902928357829,0.0348078974005773,0.0367007119811607,3.56902928357829,3.48078974005773,3.67007119811607,1.69519488196621,0.071442019571567,1.69541940676446,1.62722979171388,1.76296912614002
2,"Other_CVD",1333.40815242798,27.4662322405998,1329.80378205047,1309.01614255428,1360.86387712255,0.108320949256631,0.00296739009971435,0.107812809099784,0.105749059536898,0.111324758109685,10.7812809099784,10.5749059536898,11.1324758109685,4.74818551421273,0.0978055862470533,4.73535057002616,4.661327047258,4.84595368372604
3,"All_HD",1402.99329147788,112.679504510326,1458.10751924334,1282.60230343077,1476.53718592436,0.0493966267897511,0.00362666187528479,0.0508703064286054,0.0455453634035948,0.0519952624828813,5.08703064286054,4.55453634035948,5.19952624828813,3.63260645077321,0.291747863258113,3.77530727516509,3.32089214504462,3.8230250557687
3,"All_STK",1739.99562030882,131.373880222671,1769.08785394246,1605.14282605595,1850.12001597311,0.155635127067494,0.00888389834184183,0.157549213929886,0.146530156106614,0.163113124195342,15.7549213929886,14.6530156106614,16.3113124195342,4.50516716868464,0.340151023999038,4.58049228692068,4.15600859944317,4.79029938742547
3,"Cancer",17317.2384088025,594.014442028317,17007.6232559802,16945.2737662625,17952.3759312414,0.19753708897032,0.00732956238338461,0.193427998182995,0.193196108265073,0.205370796844792,19.3427998182995,19.3196108265073,20.5370796844792,44.8375001758767,1.53801212526933,44.035849869898,43.8744156278907,46.4819874839445
3,"DIAB",227.021300807382,1.12100534071533,227.60845146041,225.82266777233,227.720855787361,0.0305384096876662,0.000427599696943095,0.0305925165542976,0.0301116409826545,0.0309191875560412,3.05925165542976,3.01116409826545,3.09191875560412,0.587799704236021,0.00290248802811039,0.589319944755145,0.584696223897456,0.589610980133331
3,"Other_CVD",514.349041555423,22.8008420911201,522.460574513526,490.294506961191,531.508773135268,0.0865255314399517,0.00327825718210001,0.0873278352475005,0.0831409620165181,0.0892281426269689,8.73278352475005,8.31409620165181,8.92281426269689,1.33174382062446,0.0590355538877997,1.35274606427612,1.2694622273566,1.3761735067884
4,"All_HD",630.184132509659,46.7405015790739,637.345260954502,583.129774906316,671.151530934884,0.0459429270038813,0.00292061433237039,0.0461770454738295,0.0430755368920449,0.0486113164162617,4.61770454738295,4.30755368920449,4.86113164162617,2.46305483987672,0.182683778745951,2.49104388492743,2.27914436474202,2.62317462671833
4,"All_STK",997.297500606431,119.996611161778,1026.46741204166,873.458267172103,1096.34230932081,0.160968215864673,0.0185625550768894,0.166807882322335,0.141519023242344,0.175453691997988,16.6807882322334,14.1519023242344,17.5453691997988,3.89790588011668,0.469002976501148,4.01191556051469,3.41388413545244,4.28501939644262
