"age","race","disease_type2","V1","V2","V3"
25,1,"Cancer",1985.8022876633,2111.33439567739,1739.89656910224
25,1,"DIAB",19.3896819398075,34.4789219871768,23.2945938676328
25,1,"HHD",11.9893488927422,12.743486270411,8.9714956100519
25,1,"HSTK",15.645277474199,13.9203373849039,16.1813257123023
25,1,"IHD",28.9360624193512,37.0639786416294,31.1014141683775
25,1,"ISTK",12.1712053961019,8.22752896360449,12.7620981919596
25,1,"OSTK",8.05200207348763,5.20579951228365,5.11067445703539
25,1,"Other_CVD",167.615628228061,157.626104788419,173.182604932731
25,2,"Cancer",316.515881077084,312.789642638105,318.133041763271
25,2,"DIAB",13.4606441942254,17.8476918191898,19.8960242957389
25,2,"HHD",11.5842016147436,5.26959246200795,6.69244788536912
25,2,"HSTK",8.82510509765817,11.7002559680603,12.8775732615958
25,2,"IHD",28.041583907611,15.0005339621822,18.3443644262104
25,2,"ISTK",5.67541788480823,4.7921304256637,5.75611711366535
25,2,"OSTK",3.23830594757094,3.5364318880597,3.51748389104546
25,2,"Other_CVD",107.986177302331,91.0768006645205,68.9978068462554
25,3,"Cancer",656.057038119879,665.778847438838,663.57893460805
25,3,"DIAB",5.01498849201694,4.63208116219431,5.14972484783723
25,3,"HHD",0.724426988354852,3.52395795855964,0.656426279673461
25,3,"HSTK",10.7827522429497,7.15961255220641,9.60934748795097
25,3,"IHD",7.6722629463556,6.19997387847732,5.87711782838024
25,3,"ISTK",2.42985658317461,2.59737457691862,3.66951347836449
25,3,"OSTK",2.6362585312249,1.732894328991,1.37358160885893
25,3,"Other_CVD",35.8776935075646,46.4819499566057,36.8358776085632
25,4,"Cancer",359.153950889522,438.833189007766,494.216895335266
25,4,"DIAB",1.81669617338328,1.13270283801039,1.09392684477748
25,4,"HHD",1.30298028156585,1.17385692566127,0.215626062276652
25,4,"HSTK",1.58700348820576,2.76654869700686,3.93105719720261
25,4,"IHD",2.67649927278547,4.15175933456327,3.60592147699156
25,4,"ISTK",1.31596623807966,1.06355290539153,1.87308552226424
25,4,"OSTK",0.668364986978641,1.16260435670052,1.07637148123215
25,4,"Other_CVD",16.9333401543762,19.6552356265784,21.8352732683746
35,1,"Cancer",3310.0216563194,3488.11250495497,3673.98653230927
35,1,"DIAB",69.3543208400847,80.7116744127391,55.0362199504786
35,1,"HHD",34.847137044147,24.1909483275031,20.2856241066322
35,1,"HSTK",43.5671706655637,78.0086660375791,67.6062817969474
35,1,"IHD",151.239808040257,196.478386986086,164.753291084571
35,1,"ISTK",25.9303176191284,20.1954769720404,24.2477864164776
35,1,"OSTK",20.202325739636,28.3219717013897,23.2826177532281
35,1,"Other_CVD",227.084847935129,255.823992990892,232.489780510071
35,2,"Cancer",1001.76210312056,1073.19569737261,1054.32185015499
35,2,"DIAB",56.708425857502,46.8403102609913,49.0511109496143
35,2,"HHD",43.6981282387023,35.8635905141326,0.000140356513130724
35,2,"HSTK",46.9503357534812,32.911564859868,22.5053995858884
35,2,"IHD",55.8183351056909,64.4396565990389,61.7665086365172
35,2,"ISTK",17.028844053416,12.4029744039511,11.6728866113777
35,2,"OSTK",15.3503527679879,13.2467307366746,21.1873989203374
35,2,"Other_CVD",161.88322175614,152.710846233523,122.498526547532
35,3,"Cancer",1142.23910370301,1177.81176698947,1198.53521775787
35,3,"DIAB",18.016176208261,13.074780550786,15.7253512901327
35,3,"HHD",5.32803719215767,3.45661112067387,10.6302246753773
35,3,"HSTK",20.0691157856867,28.9554822881207,32.3631274079167
35,3,"IHD",17.2601513172901,21.2456157757317,21.1432486249371
35,3,"ISTK",8.33310523163028,7.47198795151058,5.06303598495664
35,3,"OSTK",5.44175545648899,4.55808496802572,5.06765035778492
35,3,"Other_CVD",50.8580629173067,43.716556592813,46.1698758870467
35,4,"Cancer",933.133220575845,942.542491410973,897.548762912501
35,4,"DIAB",3.46552328770265,6.16326387006115,5.82899700708184
35,4,"HHD",3.05193700588333,3.82897507512086,2.42104470539558
35,4,"HSTK",12.3027275429556,6.4197884414025,6.94013292190764
35,4,"IHD",7.82114948966203,11.2449097400026,9.94856432352861
35,4,"ISTK",2.27777527743871,1.80598606301176,2.44233056617515
35,4,"OSTK",2.14414509630604,3.08560903577338,0.979653910814895
35,4,"Other_CVD",21.9425114442976,26.8622751872442,22.4023072652217
45,1,"Cancer",15048.4088543982,14102.6912157889,12810.006105433
45,1,"DIAB",170.855528491712,250.791946992103,219.557041821167
