"female","race","disease_type3","V1","V2","V3"
0,1,"All_HD",12623.6514689941,11911.3677821151,11685.781712817
0,1,"All_STK",8275.91512550977,8154.02705028392,7937.47880689105
0,1,"Cancer",69304.3898334174,66402.1629201587,70114.8033772776
0,1,"DIAB",1031.05588393581,1281.71189285488,987.390345083324
0,1,"Other_CVD",4053.01931433297,4144.86896863951,3829.67315156352
0,2,"All_HD",1885.39358435463,1492.4819926537,1725.21461932796
0,2,"All_STK",1861.93143213174,1713.23872307986,1979.20738857617
0,2,"Cancer",10361.5996015873,11301.7612677908,11162.8203654689
0,2,"DIAB",281.430670367687,236.353512129135,217.348614607493
0,2,"Other_CVD",727.799400163758,726.421259151572,670.08578821957
0,3,"All_HD",798.37281575533,799.463921894442,776.509055105824
0,3,"All_STK",697.903528481703,719.807420440599,951.435981581472
0,3,"Cancer",6711.04606566366,6403.86945249744,6536.96692115828
0,3,"DIAB",125.801054859518,102.868182072407,134.262144730739
0,3,"Other_CVD",275.245392465643,242.924384857317,258.340922441905
0,4,"All_HD",352.797970053089,435.456491708311,398.861486135093
0,4,"All_STK",390.684456711691,437.020095356259,431.844141132259
0,4,"Cancer",5977.89180556594,6166.18755678579,6626.91629703721
0,4,"DIAB",56.5417115793611,54.0871549247745,42.597941329362
0,4,"Other_CVD",136.250225482584,145.388425345782,121.124325400542
1,1,"All_HD",8457.66543700237,6715.18480759663,6327.69990137652
1,1,"All_STK",11918.955907529,12804.5572470944,11755.4421904312
1,1,"Cancer",104828.132011372,96421.7656969726,104148.130058432
1,1,"DIAB",714.801608033609,654.196113781361,887.481272594846
1,1,"Other_CVD",3880.97729349061,3989.96426750078,4068.27123957921
1,2,"All_HD",1021.97688691329,1245.30341277363,1634.38832964389
1,2,"All_STK",1702.17051404844,2072.41473157938,2322.90448135441
1,2,"Cancer",15400.0777081325,15951.1802792488,17400.248956175
1,2,"DIAB",214.653148473834,239.762269783224,238.609973994485
1,2,"Other_CVD",634.699218804696,603.3825228989,637.836268045434
1,3,"All_HD",659.734703488008,678.043246486815,496.856131703234
1,3,"All_STK",898.610611896007,1049.28043350186,902.94888502483
1,3,"Cancer",10296.5771903166,10538.1227616746,11465.1328350969
1,3,"DIAB",101.807396600892,122.860497084761,93.4646270738303
1,3,"Other_CVD",247.215182047884,289.060609258042,230.260633595479
1,4,"All_HD",227.478358219112,201.888769246191,274.06932216718
1,4,"All_STK",474.72069757254,589.447316685402,668.175794361143
1,4,"Cancer",9862.69802285792,9450.62957046343,9473.76776544534
1,4,"DIAB",48.0165598191861,53.7718954536714,45.8909013084545
1,4,"Other_CVD",111.886771665479,139.779612395487,154.306038795069
