"age","female","disease_type","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"CMD",1982.40573649631,57.8327255233938,2000.35664131083,1921.85769717021,2027.69550673006,0.676009112396498,0.0224361360673148,0.685580344964371,0.65213494733005,0.691747729780254,68.5580344964371,65.213494733005,69.1747729780254,5.80440674677268,0.169331966727219,5.85696629656507,5.62712444704054,5.93701342918129
25,0,"Cancer",947.07084443239,78.2665130483059,941.737352070309,875.113984092706,1023.56117327984,0.215346797220523,0.0111162804347306,0.213853459805444,0.205492710630276,0.226470220613587,21.3853459805444,20.5492710630276,22.6470220613587,2.77298652737494,0.229161300343526,2.75737026957242,2.56229964428994,2.99694722959209
25,1,"CMD",1130.44311706232,11.4621322889918,1136.95083291911,1118.19551435002,1137.15916129633,0.680469750374354,0.0314268203112612,0.679222264189628,0.651162099032658,0.710837764973066,67.9222264189628,65.1162099032658,71.0837764973066,3.40315121788765,0.0345062647293924,3.42274242138073,3.36628032765227,3.42336958515391
25,1,"Cancer",2406.95938000785,158.28684760002,2344.21794976758,2292.38929167435,2574.85968404558,0.219570854628543,0.00710642117841328,0.217826405687287,0.213715461887819,0.226909028969336,21.7826405687287,21.3715461887819,22.6909028969336,7.24604946666083,0.476515863607058,7.05716904312473,6.90114105883323,7.75150623449413
35,0,"CMD",5348.26895498463,325.579515245334,5528.9955897011,5000.2431489971,5542.67712146315,0.630614842193808,0.0369166021357403,0.644645924825117,0.591535143686971,0.657768120464034,64.4645924825116,59.1535143686971,65.7768120464034,26.9874201196875,1.64287758043673,27.8993685760876,25.2312783254487,27.9684057259862
35,0,"Cancer",2483.37026180838,172.111412792611,2537.19323997743,2303.10009448438,2617.8908976887,0.228078261019697,0.0145131858263794,0.225408809199031,0.215601294106556,0.242824261980405,22.5408809199031,21.5601294106556,24.2824261980405,12.5311118667093,0.868475958019674,12.8027031677764,11.6214667494635,13.2099043780482
35,1,"CMD",2787.40178801055,77.1998211535056,2822.02737178934,2705.10482122706,2840.26700858207,0.678219172392809,0.0169649567038465,0.685727921956582,0.660142215728461,0.689913691927951,68.5727921956582,66.0142215728461,68.9913691927951,13.2466800654632,0.36687977181121,13.4112326005052,12.8555769263219,13.4979135498189
35,1,"Cancer",4147.70004071877,350.250751767471,4059.52431789663,3860.44091744915,4509.90852838722,0.222171797969214,0.0172725480106105,0.221814864148009,0.205917202131996,0.238729787554455,22.1814864148009,20.5917202131996,23.8729787554455,19.7112794012108,1.66451053856256,19.2922384165956,18.3461264770053,21.4326171623391
45,0,"CMD",15117.3574029596,1346.56113046546,14843.3480089003,13974.5986630528,16493.0241278168,0.575541061893239,0.0512568006815406,0.568578356489256,0.530144370264147,0.626856053115717,56.8578356489256,53.0144370264147,62.6856053115717,79.7305091438166,7.10190290958296,78.2853552114064,73.7034811565391,86.9859179736427
45,0,"Cancer",8244.64786722921,510.882311704446,8457.69421594198,7701.5209591574,8606.68537889518,0.221261174263933,0.012414485261254,0.225062544180115,0.208274062907841,0.231017121191271,22.5062544180115,20.8274062907841,23.1017121191271,43.4831270203995,2.69444624076898,44.6067555357096,40.6186194377584,45.3925503650269
