"age","female","race","disease_type3","V1","V2","V3"
25,0,1,"All_HD",63.4770264565236,71.5385184202014,59.6732057252271
25,0,1,"All_STK",50.6582281370584,47.8644368841502,52.0237744954465
25,0,1,"Cancer",677.16366868001,585.240299058333,533.316012634312
25,0,1,"DIAB",11.3562217789114,19.6156383657666,12.455779399066
25,0,1,"Other_CVD",87.9071731055113,82.6607129015259,105.840411864661
25,0,2,"All_HD",57.4862851048515,25.7288353830953,26.7450202176477
25,0,2,"All_STK",23.1089558003243,27.5995768849859,27.9607040339996
25,0,2,"Cancer",86.1801647725103,82.3575104064763,55.4125683204137
25,0,2,"DIAB",10.4153932954935,10.6671444296576,11.5643712154853
25,0,2,"Other_CVD",69.491664959531,55.1006486371315,44.602730073292
25,0,3,"All_HD",9.665169969093,17.2851564958287,7.56182176971255
25,0,3,"All_STK",33.666335302143,15.7582121543409,22.7778311145475
25,0,3,"Cancer",171.775557953227,175.093901354895,176.61890891566
25,0,3,"DIAB",2.22026807746409,0.735279419554317,2.66838803796663
25,0,3,"Other_CVD",20.2066209104382,28.1187394286773,20.9045478103118
25,0,4,"All_HD",6.67114529595687,5.34645069301803,4.76322721476028
25,0,4,"All_STK",5.7380420892829,5.85483347358854,7.52661843481005
25,0,4,"Cancer",92.7482987798603,99.0456412506038,106.260001170868
25,0,4,"DIAB",1.32812535769574,0.771275343542574,0.267584805872813
25,0,4,"Other_CVD",10.8829064860431,13.082897715718,15.4798519097186
25,1,1,"All_HD",16.7419465138916,22.4668795115718,13.3591860326014
25,1,1,"All_STK",45.382836775772,28.389048988498,37.1071680101401
25,1,1,"Cancer",1308.63861898329,1526.09409661906,1206.58055646793
25,1,1,"DIAB",8.03346016089609,14.8632836214102,10.8388144685667
25,1,1,"Other_CVD",79.7084551225502,74.9653918868929,67.3421930680697
25,1,2,"All_HD",16.8691540218487,14.0990852632363,23.3181488593687
25,1,2,"All_STK",27.7728531919832,30.0059946230733,32.2874857143327
25,1,2,"Cancer",230.335716304574,230.432132231628,262.720473442857
25,1,2,"DIAB",3.04525089873196,7.18054738953215,8.33165308025367
25,1,2,"Other_CVD",38.4945123428,35.976152027389,24.3950767729635
25,1,3,"All_HD",3.50565460006938,2.53145125388036,3.69932303774574
25,1,3,"All_STK",11.6521861761509,17.1103144096042,17.8892148355869
25,1,3,"Cancer",484.281480166652,490.684946083943,486.96002569239
25,1,3,"DIAB",2.79472041455285,3.89680174263999,2.48133680987059
25,1,3,"Other_CVD",15.6710725971264,18.3632105279284,15.9313297982514
25,1,4,"All_HD",1.12011030244256,3.56176621050598,1.27816790211477
25,1,4,"All_STK",4.60032431354791,7.07236608579145,9.81351090283198
25,1,4,"Cancer",266.405652109661,339.787547757163,387.956894164398
25,1,4,"DIAB",0.488570815687545,0.361427494467813,0.826342038904667
25,1,4,"Other_CVD",6.05043366833307,6.57233791086038,6.35542135865601
35,0,1,"All_HD",244.090323980397,254.837915416173,208.987603965701
35,0,1,"All_STK",136.589921072126,163.864105182962,141.776438375923
35,0,1,"Cancer",1476.8949945181,1529.23085642235,1336.02340343977
35,0,1,"DIAB",45.4203709707304,42.1924287398768,41.1254949325566
35,0,1,"Other_CVD",142.450954911737,162.021446466151,145.175809629195
35,0,2,"All_HD",130.506133574632,161.283994858636,75.1728162879617
35,0,2,"All_STK",122.713636300955,92.7156307424305,85.4165508381307
35,0,2,"Cancer",351.515118050398,445.447119872263,332.138849347263
35,0,2,"DIAB",40.8956113325505,34.1068414905222,40.0659851928044
35,0,2,"Other_CVD",99.3082281822252,100.014465404511,84.3008619071049
35,0,3,"All_HD",29.5207602820707,33.1572899817944,55.060708832063
35,0,3,"All_STK",64.7988461624047,69.1354631301186,68.1760587578856
35,0,3,"Cancer",440.027656449147,356.942512009313,369.64762736348
35,0,3,"DIAB",14.8204320695168,9.50887492856146,11.9879735229791
35,0,3,"Other_CVD",36.8553169628799,28.2387414796629,30.1882162494237
35,0,4,"All_HD",21.7201352251149,20.3530178249636,13.8546868402859
35,0,4,"All_STK",24.4790477872625,16.5310416280157,14.3042669963898
35,0,4,"Cancer",268.755470959776,290.517654527467,252.969522465816
35,0,4,"DIAB",1.58727209918623,4.74327963408348,3.27891308368252
35,0,4,"Other_CVD",14.806120151502,16.3675514036691,12.6225804903516
35,1,1,"All_HD",97.7919905774029,100.396131492578,89.0550605235862
