"female","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AA","medBMI",67.2071079999114,5.0516036889065,67.5929090825064,62.2546272327556,71.8316578468616,0.014972539101918,0.0013003801209633,0.0151457870518955,0.0136717979778978,0.0161260194684572,1.51457870518955,1.36717979778978,1.61260194684572,0.091614637123714,0.00688618886640077,0.0921405491475422,0.0848635695380391,0.097918679489135
0,1,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AFF","medBMI",139.740588635209,7.82105022885249,136.730132197315,134.01500222418,148.025063018448,0.0150719147017578,0.000855953422490249,0.0146892643709455,0.0144847988866519,0.0159842832980541,1.46892643709455,1.44847988866519,1.59842832980541,0.190490019586704,0.0106614121625886,0.186386259101507,0.182685078458043,0.201783157127783
0,1,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"APCA","medBMI",57.5695029561683,17.5292056025299,53.7079534775586,42.863776104298,75.5575468648568,0.00160370193413353,0.000503158260874055,0.00147767582668677,0.00119064347239417,0.00212388258720263,0.147767582668677,0.119064347239417,0.212388258720263,0.0784769539961293,0.0238952673033463,0.0732130099767175,0.0584305650163159,0.102997695392443
0,1,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"BC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"BC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"BC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"CC","direct",3676.54747747527,413.652464557741,3897.31466102369,3234.24522532903,3931.19762360535,0.070255999183859,0.0064574675084379,0.0735367138001741,0.0633527954256049,0.0743705955182453,7.35367138001741,6.33527954256049,7.43705955182453,5.0117550515259,0.563878160563572,5.31269800252507,4.40882239253643,5.35888620216608
