"","age","female","race","pathway","disease_type2","V1","V2","V3"
"1",25,0,1,"direct","Cancer",0.128948395396663,0.100886425200492,0.0990185434291685
"2",35,0,1,"direct","Cancer",0.113591460955813,0.13960712330184,0.112455368790827
"3",45,0,1,"direct","Cancer",0.116461990848063,0.104681135998441,0.0699464648013244
"4",55,0,1,"direct","Cancer",0.090726265881154,0.115130218992233,0.107463665848786
"5",65,0,1,"direct","Cancer",0.123977375455691,0.11607259003592,0.13114202000788
"6",75,0,1,"direct","Cancer",0.107031857300071,0.0788663047465565,0.0963129317441984
"7",25,1,1,"direct","Cancer",0.100858967836581,0.102735985858825,0.115375132089657
"8",35,1,1,"direct","Cancer",0.0959761407323779,0.0832004916635541,0.122742514525307
"9",45,1,1,"direct","Cancer",0.114170327076778,0.0977947623981605,0.102910133238827
"10",55,1,1,"direct","Cancer",0.114912844494808,0.104869708085769,0.13537185188201
"11",65,1,1,"direct","Cancer",0.125906810125655,0.108081511685428,0.125333593921673
"12",75,1,1,"direct","Cancer",0.131499715763226,0.121839144335046,0.106368709533272
"13",25,0,2,"direct","Cancer",0.118626982151138,0.117218265284571,0.105847522819538
"14",35,0,2,"direct","Cancer",0.120770770913911,0.165221311232709,0.143368746927017
"15",45,0,2,"direct","Cancer",0.128375100753449,0.123722156283159,0.12779866906837
"16",55,0,2,"direct","Cancer",0.127387471000518,0.154493110909857,0.151724111921087
"17",65,0,2,"direct","Cancer",0.111212506191679,0.153191939363891,0.149683715881578
"18",75,0,2,"direct","Cancer",0.138462878022849,0.135705918057195,0.111779362156451
"19",25,1,2,"direct","Cancer",0.112619308801644,0.137033874604045,0.127320802241546
"20",35,1,2,"direct","Cancer",0.12750007553663,0.14570521546848,0.158054804516963
"21",45,1,2,"direct","Cancer",0.131995706243318,0.145229594757463,0.119887612813201
"22",55,1,2,"direct","Cancer",0.116982983523867,0.136400872802475,0.170262624614938
"23",65,1,2,"direct","Cancer",0.116938817895674,0.151523044796009,0.14152987611752
"24",75,1,2,"direct","Cancer",0.168746542153559,0.107804220893282,0.127777053236171
"25",25,0,3,"direct","Cancer",0.0949093454347431,0.101954247171875,0.0971296318560151
"26",35,0,3,"direct","Cancer",0.105162521102187,0.100474237134706,0.107469324708433
"27",45,0,3,"direct","Cancer",0.101194854937138,0.109894710989628,0.0900209586317207
"28",55,0,3,"direct","Cancer",0.117835074586375,0.113512824402391,0.125043989478176
"29",65,0,3,"direct","Cancer",0.100204212934124,0.116853540986186,0.0946312975461061
"30",75,0,3,"direct","Cancer",0.105912528438945,0.0946607859924661,0.095419257915582
"31",25,1,3,"direct","Cancer",0.111116163276371,0.0891486421470201,0.117491153411925
"32",35,1,3,"direct","Cancer",0.081859882202457,0.108283696481782,0.107094629410096
"33",45,1,3,"direct","Cancer",0.114370105718456,0.111177627485759,0.101144240489023
"34",55,1,3,"direct","Cancer",0.0947258397417342,0.0805713810363505,0.117632844849116
"35",65,1,3,"direct","Cancer",0.0728736560976199,0.0992112061053767,0.130744725639833
"36",75,1,3,"direct","Cancer",0.092266903721708,0.133359964593688,0.112638692944983
"37",25,0,4,"direct","Cancer",0.105524636439723,0.122171344521303,0.108791246774611
"38",35,0,4,"direct","Cancer",0.107834978695238,0.115077476953546,0.106818373614464
"39",45,0,4,"direct","Cancer",0.12621497786059,0.112782971723826,0.143758219715766
"40",55,0,4,"direct","Cancer",0.121206059738936,0.0988217518440738,0.12399834275957
"41",65,0,4,"direct","Cancer",0.110170418411878,0.113544659964252,0.114738722810387
"42",75,0,4,"direct","Cancer",0.133080872762176,0.139943784681738,0.14416063227011
"43",25,1,4,"direct","Cancer",0.119664876305998,0.106229138560886,0.148577131472584
"44",35,1,4,"direct","Cancer",0.124585316825806,0.122108119189603,0.120284658686237
"45",45,1,4,"direct","Cancer",0.161654654341959,0.128173151119039,0.112417377190034
"46",55,1,4,"direct","Cancer",0.137881909566774,0.125864648491773,0.119140320865245
"47",65,1,4,"direct","Cancer",0.117339484247006,0.106759294443189,0.10931957291063
"48",75,1,4,"direct","Cancer",0.0985003630304953,0.109115163155194,0.0990282927489858
"49",25,0,1,"medBMI","Cancer",0.116900678680201,0.113479863114438,0.102197488907056
"50",35,0,1,"medBMI","Cancer",0.113064269989232,0.108710698989528,0.107242508774891
"51",45,0,1,"medBMI","Cancer",0.122790388106056,0.12868705681881,0.12147750906348
"52",55,0,1,"medBMI","Cancer",0.106039994739816,0.115302709217568,0.141284547066893
"53",65,0,1,"medBMI","Cancer",0.128609668171116,0.109153189830763,0.12511805546971
