"","age","female","race","outcome","pathway","V1","V2","V3"
"123",45,0,3,"APCA","direct",0,0,0
"124",55,0,3,"APCA","direct",0,0,0
"125",65,0,3,"APCA","direct",0,0,0
"126",75,0,3,"APCA","direct",0,0,0
"127",25,1,3,"APCA","direct",0,0,0
"128",35,1,3,"APCA","direct",0,0,0
"129",45,1,3,"APCA","direct",0,0,0
"130",55,1,3,"APCA","direct",0,0,0
"131",65,1,3,"APCA","direct",0,0,0
"132",75,1,3,"APCA","direct",0,0,0
"133",25,0,4,"APCA","direct",0,0,0
"134",35,0,4,"APCA","direct",0,0,0
"135",45,0,4,"APCA","direct",0,0,0
"136",55,0,4,"APCA","direct",0,0,0
"137",65,0,4,"APCA","direct",0,0,0
"138",75,0,4,"APCA","direct",0,0,0
"139",25,1,4,"APCA","direct",0,0,0
"140",35,1,4,"APCA","direct",0,0,0
"141",45,1,4,"APCA","direct",0,0,0
"142",55,1,4,"APCA","direct",0,0,0
"143",65,1,4,"APCA","direct",0,0,0
"144",75,1,4,"APCA","direct",0,0,0
"145",25,0,1,"BC","direct",0,0,0
"146",35,0,1,"BC","direct",0,0,0
"147",45,0,1,"BC","direct",0,0,0
"148",55,0,1,"BC","direct",0,0,0
"149",65,0,1,"BC","direct",0,0,0
"150",75,0,1,"BC","direct",0,0,0
"151",25,1,1,"BC","direct",0,0,0
"152",35,1,1,"BC","direct",0,0,0
"153",45,1,1,"BC","direct",0,0,0
"154",55,1,1,"BC","direct",0,0,0
"155",65,1,1,"BC","direct",0,0,0
"156",75,1,1,"BC","direct",0,0,0
"157",25,0,2,"BC","direct",0,0,0
"158",35,0,2,"BC","direct",0,0,0
"159",45,0,2,"BC","direct",0,0,0
"160",55,0,2,"BC","direct",0,0,0
"161",65,0,2,"BC","direct",0,0,0
"162",75,0,2,"BC","direct",0,0,0
"163",25,1,2,"BC","direct",0,0,0
"164",35,1,2,"BC","direct",0,0,0
"165",45,1,2,"BC","direct",0,0,0
"166",55,1,2,"BC","direct",0,0,0
"167",65,1,2,"BC","direct",0,0,0
"168",75,1,2,"BC","direct",0,0,0
"169",25,0,3,"BC","direct",0,0,0
"170",35,0,3,"BC","direct",0,0,0
"171",45,0,3,"BC","direct",0,0,0
"172",55,0,3,"BC","direct",0,0,0
"173",65,0,3,"BC","direct",0,0,0
"174",75,0,3,"BC","direct",0,0,0
"175",25,1,3,"BC","direct",0,0,0
"176",35,1,3,"BC","direct",0,0,0
"177",45,1,3,"BC","direct",0,0,0
"178",55,1,3,"BC","direct",0,0,0
"179",65,1,3,"BC","direct",0,0,0
"180",75,1,3,"BC","direct",0,0,0
"181",25,0,4,"BC","direct",0,0,0
"182",35,0,4,"BC","direct",0,0,0
"183",45,0,4,"BC","direct",0,0,0
"184",55,0,4,"BC","direct",0,0,0
"185",65,0,4,"BC","direct",0,0,0
