"age","female","race","outcome","V1","V2","V3"
25,0,1,"AA",1.00140641429046,1.46927407998303,1.51662821032558
25,0,1,"AFF",0.238408033798011,0.101104613638765,0.191423556340051
25,0,1,"APCA",0.0120603707169929,0.0240841971313701,0.0201745441344702
25,0,1,"BC",0,0,0
25,0,1,"CC",68.2405116455777,60.6601652057093,47.5799388350026
25,0,1,"CM",8.80505769902844,7.20302570370033,7.84076498280089
25,0,1,"DIAB",11.3562217789114,19.6156383657666,12.455779399066
25,0,1,"ECA",1.05896646539595,1.37633498440385,0.307865432451711
25,0,1,"ENDO",1.15951547333444,1.42728164741863,2.33006675926783
25,0,1,"GC",0.0351479180470833,0.00645766842636042,0.0817798586687035
25,0,1,"HHD",10.2769727958237,10.3041850473387,8.97131194458066
25,0,1,"HSTK",10.7834002622577,9.74470972183292,10.9450540950398
25,0,1,"IHD",21.0906599176154,26.8590612453613,21.5181873293027
25,0,1,"ISTK",3.38778907794882,4.53580286732622,5.81002037468384
25,0,1,"KC",3.66041255046851,5.398731615957,4.98462500944517
25,0,1,"LC",0,0,0
25,0,1,"LVC",0.276423807830706,0.957661902020939,0.439324845981807
25,0,1,"MLPC",13.8917753981466,5.11864792855318,12.0916004108838
25,0,1,"MMC",0.0895806839057807,0.110219379517908,0.169399227988007
25,0,1,"OC",0,0,0
25,0,1,"OSTK",4.48511413378211,2.96002920701093,2.95433219947957
25,0,1,"OTH",3.42515059492691,4.08457399350816,5.54054274101718
25,0,1,"PC",0.245251758992722,0.159605628133351,0.523948271106537
25,0,1,"PVD",0.352655426388563,0.0956488680834329,0.0654094553863107
25,0,1,"RHD",0.0916007630492511,0.233702766585893,0.684106745462726
25,0,1,"SCC",0.473004609324828,0.703478544075775,0.141367259647554
25,0,1,"SCNC",0,0,0
25,0,1,"TC",3.70096660037796,2.30727413258563,1.81089482928189
25,0,1,"UC",0,0,0
25,0,2,"AA",1.1006336262488,0.86977903470102,0.835507707146338
25,0,2,"AFF",0.0551897305971658,0.056152752199724,0.0503965588792884
25,0,2,"APCA",0,0,0
25,0,2,"BC",0,0,0
25,0,2,"CC",8.96216521580818,8.16886939155762,7.44265349142031
25,0,2,"CM",5.76764337337369,3.93422149814625,2.61026649155317
25,0,2,"DIAB",10.4153932954935,10.6671444296576,11.5643712154853
25,0,2,"ECA",0,0,0
25,0,2,"ENDO",0.462625474422634,0.285916447377147,0.310401220660841
25,0,2,"GC",0,0,0
25,0,2,"HHD",8.99814853820763,2.67378100706125,4.42381455781925e-05
25,0,2,"HSTK",2.12345517176843,6.6557715790161,6.8858005036596
25,0,2,"IHD",21.7213729918248,10.5488070249802,13.3108488796552
25,0,2,"ISTK",4.01384382473186,1.60873909301672,2.97612572808269
25,0,2,"KC",0.68753283312225,1.03842928893497,0.73093857916676
25,0,2,"LC",0,0,0
25,0,2,"LVC",0.720406611432703,0.132338815687113,0.135255446943516
25,0,2,"MLPC",1.49300867793798,1.51228518062107,0.678789575737478
25,0,2,"MMC",0.111838598269259,0.0146147383989373,0.0616383107561109
25,0,2,"OC",0,0,0
25,0,2,"OSTK",1.17566304046361,1.13057188722108,0.900205223316525
25,0,2,"OTH",4.52605081012057,2.03123023193017,1.35087594752507
25,0,2,"PC",0.0354032293546798,0.0210563875500555,0.0139378242555194
25,0,2,"PVD",0.060723791852298,0.0763518561140093,0.0341339461774525
25,0,2,"RHD",0.241831349797273,0.1799421180349,0.210167672708269
25,0,2,"SCC",0.0860428704553545,0.0289937133144452,0
25,0,2,"SCNC",0,0,0
25,0,2,"TC",0.0713983011401265,0.167130535607651,0.114952455488383
25,0,2,"UC",0,0,0
25,0,3,"AA",0.593238009302532,0.429637571991366,0.387833615792836
25,0,3,"AFF",0.0770434733665306,0.0425277150205161,0.0387445071485342
25,0,3,"APCA",0.0272360888241445,0.00746729496263467,0.0158266169381374
25,0,3,"BC",0,0,0
25,0,3,"CC",19.9299175773573,18.1917520591319,13.3124172893977
25,0,3,"CM",1.28508631895825,2.32486163507287,0.503686505161576
25,0,3,"DIAB",2.22026807746409,0.735279419554317,2.66838803796663
25,0,3,"ECA",0.309050438169553,0.202413307372998,0.228788072567599
25,0,3,"ENDO",0.348130545482235,0.262397226541884,0.239518324660974
25,0,3,"GC",0,0,0
25,0,3,"HHD",0.000303751130457629,3.00920394340818,0.000101352362389543
25,0,3,"HSTK",9.80857159319596,2.53227595908633,5.64702469033127
25,0,3,"IHD",6.62050440722001,5.6461106574518,4.64307697381611
25,0,3,"ISTK",1.77818556186701,1.43359324989197,2.2688525776849
25,0,3,"KC",0.555123742807063,1.15455427845116,0.44923086881172
25,0,3,"LC",0,0,0
25,0,3,"LVC",0.416204719006035,0.389652580157756,0.729407548933638
25,0,3,"MLPC",2.0920844657848,2.20710982712331,2.89913082405751
25,0,3,"MMC",0.0480565392388387,0.0809961303833717,0.0167988859213156
25,0,3,"OC",0,0,0
25,0,3,"OSTK",1.47481170239264,1.01808579529629,0.560332331753532
25,0,3,"OTH",0.513648066983625,0.757519974444203,1.15943708296978
25,0,3,"PC",0.180396603215534,0.113268753856068,0.0285700260399537
