"age","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
45,1,"AFF","medBMI",3.48091918425485,0.6003315861523,3.28518533171982,3.0169982692948,4.11121387386967,0.0242440360247566,0.00314693265350117,0.0226388970811435,0.0222441172163484,0.0276083229352358,2.26388970811435,2.22441172163484,2.76083229352358,0.0147596102908328,0.0025454943903796,0.0139296699126683,0.0127925172478374,0.0174321526552679
45,1,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"APCA","medBMI",2.49453122546826,1.00989264610509,2.52326747887752,1.52321164784956,3.44142498768909,0.00151641106503486,0.000618484630786999,0.00148415846797189,0.000943157502650723,0.00211707933492252,0.148415846797189,0.0943157502650723,0.211707933492252,0.010577179991068,0.00428209363765501,0.0106990259401086,0.00645864184793747,0.0145921490775139
45,1,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"BC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"BC","medBMI",74.0103229690283,9.10827932976195,74.3556014476318,65.2153784249761,82.5117808062675,0.00558036580446919,0.000439599235785916,0.00551128868514272,0.00519598930737859,0.00602345785298728,0.551128868514272,0.519598930737859,0.602345785298728,0.313814675578389,0.0386204465577421,0.315278707208038,0.276522814685191,0.349862109586386
45,1,"BC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"CC","direct",726.025702562112,134.97039341928,766.401838566511,585.021646754156,832.710042766329,0.0650197064371683,0.0123730957071416,0.068356448813353,0.0521722140029701,0.0750309678516094,6.8356448813353,5.21722140029701,7.50309678516094,3.07845596629062,0.572294357386926,3.24965673279224,2.4805779912529,3.53081328980198
45,1,"CC","medBMI",30.1232981454956,19.9142526148626,20.1399221080292,17.3236828304975,51.4087830923402,0.00269213708513331,0.00177091497108223,0.00179606156196492,0.00156072961466438,0.00458520875029537,0.179606156196492,0.156072961466438,0.458520875029537,0.127727223117723,0.0844393656589556,0.0853962375647258,0.073454968025886,0.217980815929607
45,1,"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"CM","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"CM","medBMI",22.9296930972436,2.65828054937997,22.1669247892224,20.8077176073187,25.7000216489865,0.021289159470132,0.00221368841245155,0.0204740686812954,0.0196423524656626,0.0236287936451126,2.04740686812954,1.96423524656626,2.36287936451126,0.0972252776607225,0.0112715012546171,0.0939910276328807,0.0882277888883152,0.108971878956795
45,1,"CM","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"DIAB","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"DIAB","medBMI",213.73483910166,40.2850007328744,219.557041821167,173.290604158184,249.230201733556,0.0673173015350947,0.0120375547068058,0.0696467682440624,0.0550533390743915,0.0776012172931754,6.96467682440624,5.50533390743915,7.76012172931754,0.906267213839283,0.170814339520617,0.930954211332025,0.7347776978009,1.05677278200883
45,1,"DIAB","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"ECA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"ECA","medBMI",18.3962467331339,2.29210170600229,19.2482931506389,15.9725519466696,20.0957020647191,0.0256658667265881,0.00243520319220431,0.025737480283239,0.0233227383112833,0.0279481236187395,2.5737480283239,2.33227383112833,2.79481236187395,0.0780027970264947,0.00971884899844025,0.0816155993946042,0.0677259739752882,0.085208738064808
45,1,"ECA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"ENDO","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"ENDO","medBMI",3.50590570996797,0.36924774321637,3.35779289439784,3.23991371640677,3.89779359676378,0.0261757922663594,0.00151637883069332,0.0260047770432411,0.0248148012602675,0.0276821462121017,2.60047770432411,2.48148012602675,2.76821462121017,0.0148655568418804,0.00156566484372712,0.0142375366779015,0.0137377115924983,0.0165272192306447
45,1,"ENDO","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"GC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"GC","medBMI",1.42507150886564,0.445342523028767,1.34970420725421,1.03859575946783,1.87560946463316,0.0101972954000837,0.0010234192444148,0.0104867300512072,0.00913164933452295,0.0110169220121895,1.04867300512072,0.913164933452295,1.10169220121895,0.00604251319667695,0.00188831792348776,0.00572294473168988,0.00440379906801491,0.00795286052057799
45,1,"GC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"HHD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
