"age","race","pathway","disease_type2","V1","V2","V3"
25,1,"direct","Cancer",991.285883985377,944.868403799038,948.205495864227
25,1,"medSBP","Cancer",0,0,0
25,1,"medBMI","Cancer",994.516403677926,1166.46599187835,791.691073238014
25,1,"direct","DIAB",0,0,0
25,1,"medSBP","DIAB",0,0,0
25,1,"medBMI","DIAB",19.3896819398075,34.4789219871768,23.2945938676328
25,1,"direct","HHD",0,0,0
25,1,"medSBP","HHD",0,0,0
25,1,"medBMI","HHD",11.9893488927422,12.743486270411,8.9714956100519
25,1,"direct","HSTK",11.8129084934031,11.0535056661424,13.5780963367738
25,1,"medSBP","HSTK",0,0,0
25,1,"medBMI","HSTK",3.83236898079596,2.86683171876145,2.60322937552853
25,1,"direct","IHD",15.4370752665695,23.9106899702786,20.147631473039
25,1,"medSBP","IHD",0,0,0
25,1,"medBMI","IHD",13.4989871527818,13.1532886713507,10.9537826953385
25,1,"direct","ISTK",9.64762160276836,5.73496944750316,9.82883474638978
25,1,"medSBP","ISTK",0,0,0
25,1,"medBMI","ISTK",2.52358379333351,2.49255951610134,2.93326344556986
25,1,"direct","OSTK",6.64290913962694,4.08567655983113,4.25507575261557
25,1,"medSBP","OSTK",0,0,0
25,1,"medBMI","OSTK",1.40909293386069,1.12012295245252,0.855598704419819
25,1,"direct","Other_CVD",0,0,0
25,1,"medSBP","Other_CVD",0,0,0
25,1,"medBMI","Other_CVD",167.615628228061,157.626104788419,173.182604932731
25,2,"medSBP","Cancer",0,0,0
25,2,"medBMI","Cancer",172.679395404501,137.718134502672,152.644770718951
25,2,"direct","Cancer",143.836485672583,175.071508135433,165.488271044321
25,2,"medSBP","DIAB",0,0,0
25,2,"medBMI","DIAB",13.4606441942254,17.8476918191898,19.8960242957389
25,2,"direct","DIAB",0,0,0
25,2,"medSBP","HHD",0,0,0
25,2,"medBMI","HHD",11.5842016147436,5.26959246200795,6.69244788536912
25,2,"direct","HHD",0,0,0
25,2,"medSBP","HSTK",0,0,0
25,2,"medBMI","HSTK",2.26272504461596,2.31081065184522,2.47648213141208
25,2,"direct","HSTK",6.56238005304222,9.38944531621511,10.4010911301837
25,2,"medSBP","IHD",0,0,0
25,2,"medBMI","IHD",16.0341289029143,7.00832290638773,7.85702222757847
25,2,"direct","IHD",12.0074550046967,7.99221105579444,10.487342198632
25,2,"medSBP","ISTK",0,0,0
25,2,"medBMI","ISTK",1.50611613386945,1.58969679048807,1.02787565443113
25,2,"direct","ISTK",4.16930175093878,3.20243363517563,4.72824145923422
25,2,"medSBP","OSTK",0,0,0
25,2,"medBMI","OSTK",0.509032779818953,0.747461120027676,0.798001921596288
25,2,"direct","OSTK",2.72927316775199,2.78897076803202,2.71948196944917
25,2,"medSBP","Other_CVD",0,0,0
25,2,"medBMI","Other_CVD",107.986177302331,91.0768006645205,68.9978068462554
25,2,"direct","Other_CVD",0,0,0
25,3,"medBMI","Cancer",319.507424458326,368.641826682513,306.738871593402
25,3,"medSBP","Cancer",0,0,0
25,3,"direct","Cancer",336.549613661553,297.137020756325,356.840063014648
25,3,"medBMI","DIAB",5.01498849201694,4.63208116219431,5.14972484783723
25,3,"medSBP","DIAB",0,0,0
25,3,"direct","DIAB",0,0,0
25,3,"medBMI","HHD",0.724426988354852,3.52395795855964,0.656426279673461
25,3,"medSBP","HHD",0,0,0
25,3,"direct","HHD",0,0,0
25,3,"medBMI","HSTK",2.28758974159714,1.52045271169921,1.77405564596744
25,3,"medSBP","HSTK",0,0,0
25,3,"direct","HSTK",8.49516250135257,5.6391598405072,7.83529184198353
25,3,"medBMI","IHD",3.55952001305381,2.32177835347258,3.80116018616572
25,3,"medSBP","IHD",0,0,0
25,3,"direct","IHD",4.11274293330179,3.87819552500474,2.07595764221452
25,3,"medBMI","ISTK",0.834201741740759,0.524467937376822,0.707410157845562
25,3,"medSBP","ISTK",0,0,0
25,3,"direct","ISTK",1.59565484143385,2.0729066395418,2.96210332051893
25,3,"medBMI","OSTK",0.371067280953283,0.392686983728218,0.261103104382663
25,3,"medSBP","OSTK",0,0,0
25,3,"direct","OSTK",2.26519125027161,1.34020734526278,1.11247850447627
25,3,"medBMI","Other_CVD",35.8776935075646,46.4819499566057,36.8358776085632
25,3,"medSBP","Other_CVD",0,0,0
25,3,"direct","Other_CVD",0,0,0
25,4,"direct","Cancer",204.345453625232,219.216807462722,261.328926152878
25,4,"medSBP","Cancer",0,0,0
25,4,"medBMI","Cancer",154.80849726429,219.616381545045,232.887969182388
25,4,"direct","DIAB",0,0,0
25,4,"medSBP","DIAB",0,0,0
25,4,"medBMI","DIAB",1.81669617338328,1.13270283801039,1.09392684477748
25,4,"direct","HHD",0,0,0
25,4,"medSBP","HHD",0,0,0
25,4,"medBMI","HHD",1.30298028156585,1.17385692566127,0.215626062276652
25,4,"direct","HSTK",1.24380448744776,2.30383037309019,3.2632276937003
25,4,"medSBP","HSTK",0,0,0
25,4,"medBMI","HSTK",0.343199000758001,0.462718323916664,0.667829503502315
25,4,"direct","IHD",1.39281251377697,2.85296265151937,2.01155686923205
25,4,"medSBP","IHD",0,0,0
25,4,"medBMI","IHD",1.28368675900849,1.2987966830439,1.59436460775951
25,4,"direct","ISTK",1.01800357615647,0.679410648382221,1.4780692257881
25,4,"medSBP","ISTK",0,0,0
25,4,"medBMI","ISTK",0.297962661923188,0.384142257009313,0.39501629647614
25,4,"direct","OSTK",0.548202559550009,0.908156982132126,0.867657249161051
25,4,"medSBP","OSTK",0,0,0
25,4,"medBMI","OSTK",0.120162427428632,0.254447374568396,0.208714232071098
