"","age","female","race","pathway","V1","V2","V3"
"1",25,0,1,"direct",0.413328447974913,0.377516764141445,0.423153208171784
"2",35,0,1,"direct",0.369360358825023,0.424910112549317,0.364229998015247
"3",45,0,1,"direct",0.304217125022191,0.428516306342352,0.312712178220001
"4",55,0,1,"direct",0.298044532516024,0.299046969176195,0.286843371334481
"5",65,0,1,"direct",0.321954219522501,0.323483481338662,0.294054156429332
"6",75,0,1,"direct",0.210317513376359,0.17565980629771,0.204093345087765
"7",25,1,1,"direct",0.42970041931227,0.332084163605706,0.445811893886633
"8",35,1,1,"direct",0.381011119052507,0.450120858956219,0.453365007678813
"9",45,1,1,"direct",0.373678934882625,0.363865261137493,0.40023663043834
"10",55,1,1,"direct",0.324223600565105,0.259572289554231,0.359633640717402
"11",65,1,1,"direct",0.327489281722136,0.32417337026651,0.268005654859164
"12",75,1,1,"direct",0.249110731986859,0.256127151784099,0.227415349480444
"13",25,0,2,"direct",0.396833492339609,0.401788740813794,0.432837993623081
"14",35,0,2,"direct",0.474564429793645,0.383608737001401,0.361173920414556
"15",45,0,2,"direct",0.43139679051679,0.387101643283067,0.344289148675365
"16",55,0,2,"direct",0.284334345595572,0.341917160185253,0.367563400469054
"17",65,0,2,"direct",0.288549035492574,0.296557703902972,0.374245949595572
"18",75,0,2,"direct",0.23294446057539,0.218339093649132,0.208332429177705
"19",25,1,2,"direct",0.404888826657903,0.424500771994678,0.480425044205055
"20",35,1,2,"direct",0.48219110442983,0.380765130815409,0.458269238208739
"21",45,1,2,"direct",0.386337962084005,0.43992276545746,0.383199110445506
"22",55,1,2,"direct",0.294746173710079,0.399994657600521,0.356151525428521
"23",65,1,2,"direct",0.283561684296642,0.284327338534554,0.278843390871687
"24",75,1,2,"direct",0.243642308796971,0.207434990009406,0.273736261589393
"25",25,0,3,"direct",0.418279410205587,0.332698503160458,0.38378743893536
"26",35,0,3,"direct",0.330848223896351,0.350028757055163,0.399936795213829
"27",45,0,3,"direct",0.29656372685769,0.264631094931996,0.228517487580214
"28",55,0,3,"direct",0.267847370836605,0.249462626525286,0.329200410816202
"29",65,0,3,"direct",0.174605362764446,0.244359913465711,0.27020743027449
"30",75,0,3,"direct",0.176341943265898,0.150178775538325,0.176668704748384
"31",25,1,3,"direct",0.290727691375638,0.393440273242671,0.366658760922891
"32",35,1,3,"direct",0.336631858853306,0.409452313920994,0.372962401136776
"33",45,1,3,"direct",0.316873244965655,0.210267251410154,0.382690028181364
"34",55,1,3,"direct",0.289177874454062,0.318143607347093,0.310988707851419
"35",65,1,3,"direct",0.243675024264186,0.205627516868005,0.245354130484188
"36",75,1,3,"direct",0.190129974901176,0.255722845137592,0.196132068947387
"37",25,0,4,"direct",0.395911530011684,0.401511398251431,0.427366529061551
"38",35,0,4,"direct",0.342597210355185,0.298563097580314,0.227518773998401
"39",45,0,4,"direct",0.369701067170088,0.388872836754185,0.392256786845476
"40",55,0,4,"direct",0.275404229655311,0.277663872246099,0.31814970353635
"41",65,0,4,"direct",0.221053310755546,0.208175099406136,0.203831563847323
"42",75,0,4,"direct",0.20803471219014,0.240770007958251,0.235049902344004
"43",25,1,4,"direct",0.317061918232691,0.354184292506436,0.51151313178524
"44",35,1,4,"direct",0.383317694850698,0.373105030805795,0.391303083815992
"45",45,1,4,"direct",0.380221407170712,0.417392618937473,0.360162758872384
