Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
sat_fat,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,470880.547658966,452581.016615908,450560.05891208805
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,135991.41965167172,129898.56340633109,130214.2042991627
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,2558134.58398942,2403608.9391374,2580420.57871826
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,4678549.19218705,4457349.841959139,4711609.63325666
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,93566.9429169106,87914.9759400524,94382.0807949923
oil,Male,HIS,20-34,7,6886181,g/day,CED,MJ,1564658.4930464951,1432015.217430762,1499084.745738661
oil,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,792187.416749079,744831.063674985,767412.883301221
oil,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,81973.0067279251,75023.7790384426,78537.5751285514
sat_fat,Male,HIS,20-34,7,6886181,g/day,CED,MJ,8537363.459443709,8761711.102683779,8424270.301650561
sat_fat,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,928637.814065262,943972.792923897,897706.889750028
sat_fat,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,235370.011538966,241555.142068902,232252.10072479
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,CED,MJ,1309119.360790954,1198096.958261661,1379440.7849419871
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,Food_price,USD,2404966.508850513,2170393.772585404,2467054.602109314
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,FL,mrh-eq,55979.278051853194,51231.8469716063,58986.2938163857
oil,Male,OTH,20-34,8,3785306,g/day,CED,MJ,885474.671207199,871070.3754491471,870718.482089603
oil,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,696529.793477382,684075.62407148,690251.894472527
oil,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,46911.6448489495,46148.5183261099,46129.8753351306
sat_fat,Male,OTH,20-34,8,3785306,g/day,CED,MJ,4292069.41123713,4255322.76374237,4256158.262641059
sat_fat,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,602056.883015675,613384.32947029,600465.834096635
sat_fat,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,116937.0446244369,115935.8855223394,115958.648614601
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,CED,MJ,4672112.37202939,4223546.54745503,4471061.9962978
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,Food_price,USD,8006229.06936227,7401832.010214521,7797343.75155025
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,FL,mrh-eq,219056.39985444408,198024.96764462342,209629.9631615234
oil,Female,NHW,35-44,9,10789518,g/day,CED,MJ,3020849.6819659797,3136253.9222335396,3027008.90035413
oil,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,1619842.537166935,1683328.318303987,1644018.529579766
oil,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,144413.2775417329,149930.2367862603,144707.7221543982
sat_fat,Female,NHW,35-44,9,10789518,g/day,CED,MJ,15547199.42704706,15813924.27759503,15636493.62129781
sat_fat,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,1842924.086848788,1874154.371706638,1830533.439698184
sat_fat,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,412289.15379313,419362.30953697104,414657.106166743
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,CED,MJ,1333661.440257913,1422843.057228622,1363082.023880343
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,Food_price,USD,2154549.943873165,2364244.132985262,2181019.61405801
