Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
oil,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,2003785.4829404936,9118298.1262906,111161.32466252195
sat_fat,Male,NHB,20-34,6,4186659,g/day,CED,MJ,-64345265.755491406,-58188147.58109,-58507117.568167
sat_fat,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,-64345265.755491406,-58188147.58109,-58507117.568167
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,-64345265.755491406,-58188147.58109,-58507117.568167
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,-74505008.40970731,-65508841.910547405,-75802453.37019971
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,-74505008.40970731,-65508841.910547405,-75802453.37019971
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,-74505008.40970731,-65508841.910547405,-75802453.37019971
oil,Male,HIS,20-34,7,6886181,g/day,CED,MJ,19378518.34308347,36577911.106239,27881238.3615988
oil,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,19378518.34308347,36577911.106239,27881238.3615988
oil,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,19378518.34308347,36577911.106239,27881238.3615988
sat_fat,Male,HIS,20-34,7,6886181,g/day,CED,MJ,-97095751.9012225,-102810078.6844196,-94215172.2292439
sat_fat,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,-97095751.9012225,-102810078.6844196,-94215172.2292439
sat_fat,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,-97095751.9012225,-102810078.6844196,-94215172.2292439
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,CED,MJ,-34286498.9664273,-27923698.7539091,-38316687.1297101
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,Food_price,USD,-34286498.9664273,-27923698.7539091,-38316687.1297101
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,FL,mrh-eq,-34286498.9664273,-27923698.7539091,-38316687.1297101
oil,Male,OTH,20-34,8,3785306,g/day,CED,MJ,6783078.01199402,8659150.20521563,8704982.18186412
oil,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,6783078.01199402,8659150.20521563,8704982.18186412
oil,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,6783078.01199402,8659150.20521563,8704982.18186412
sat_fat,Male,OTH,20-34,8,3785306,g/day,CED,MJ,-49263859.913340196,-48274081.4978588,-48296585.8304298
sat_fat,Male,OTH,20-34,8,3785306,g/day,Food_price,USD,-49263859.913340196,-48274081.4978588,-48296585.8304298
sat_fat,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,-49263859.913340196,-48274081.4978588,-48296585.8304298
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,CED,MJ,-164784031.201826,-137796270.5071452,-152687925.9468868
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,Food_price,USD,-164784031.201826,-137796270.5071452,-152687925.9468868
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,FL,mrh-eq,-164784031.201826,-137796270.5071452,-152687925.9468868
oil,Female,NHW,35-44,9,10789518,g/day,CED,MJ,-42528985.1654893,-57520240.2550932,-43329080.6714699
oil,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,-42528985.1654893,-57520240.2550932,-43329080.6714699
oil,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,-42528985.1654893,-57520240.2550932,-43329080.6714699
sat_fat,Female,NHW,35-44,9,10789518,g/day,CED,MJ,-197807605.4959094,-204366654.88354522,-200003445.2495607
sat_fat,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,-197807605.4959094,-204366654.88354522,-200003445.2495607
sat_fat,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,-197807605.4959094,-204366654.88354522,-200003445.2495607
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,CED,MJ,-47889202.446474,-53142677.0778915,-49622298.2901242
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,Food_price,USD,-47889202.446474,-53142677.0778915,-49622298.2901242
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,FL,mrh-eq,-47889202.446474,-53142677.0778915,-49622298.2901242
oil,Female,NHB,35-44,10,2841551,g/day,CED,MJ,-15853307.19190431,-13734651.07637948,-10682490.98153188
oil,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,-15853307.19190431,-13734651.07637948,-10682490.98153188
oil,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,-15853307.19190431,-13734651.07637948,-10682490.98153188
sat_fat,Female,NHB,35-44,10,2841551,g/day,CED,MJ,-39284013.5602033,-40502415.3548036,-39888810.2079997
sat_fat,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,-39284013.5602033,-40502415.3548036,-39888810.2079997
sat_fat,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,-39284013.5602033,-40502415.3548036,-39888810.2079997
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,CED,MJ,-59705731.6502988,-49447756.37227909,-50318331.6162191
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,Food_price,USD,-59705731.6502988,-49447756.37227909,-50318331.6162191
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,FL,mrh-eq,-59705731.6502988,-49447756.37227909,-50318331.6162191
oil,Female,HIS,35-44,11,4706043,g/day,CED,MJ,2418440.842027242,5433876.28508356,9965146.73798353
oil,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,2418440.842027242,5433876.28508356,9965146.73798353
oil,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,2418440.842027242,5433876.28508356,9965146.73798353
sat_fat,Female,HIS,35-44,11,4706043,g/day,CED,MJ,-63121009.8251476,-70117616.8913086,-63330990.8731125
sat_fat,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,-63121009.8251476,-70117616.8913086,-63330990.8731125
sat_fat,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,-63121009.8251476,-70117616.8913086,-63330990.8731125
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,CED,MJ,-39320512.85080102,-40929793.1606204,-38248649.938837
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,Food_price,USD,-39320512.85080102,-40929793.1606204,-38248649.938837
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,FL,mrh-eq,-39320512.85080102,-40929793.1606204,-38248649.938837
oil,Female,OTH,35-44,12,2705155,g/day,CED,MJ,-6534261.47852864,1330725.049931005,-5591175.966878761
oil,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,-6534261.47852864,1330725.049931005,-5591175.966878761
oil,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,-6534261.47852864,1330725.049931005,-5591175.966878761
sat_fat,Female,OTH,35-44,12,2705155,g/day,CED,MJ,-39881661.9522472,-36436758.232241794,-39237540.793680966
sat_fat,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,-39881661.9522472,-36436758.232241794,-39237540.793680966
