race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
HIS,CED,MJ,-24049792.00116199,-23362447.576223224,-22713023.77722598,-23375753.05900972,703656.5772531545,0,0,0,0,0,-24049792.00116199,-23362447.576223224,-22713023.77722598,-23375753.05900972,703656.5772531545,-572410512.9727255,-551330219.2053071,-524358647.56863594,-549263104.163464,25353734.668139834,-17655231.562114242,-17174948.256036572,-16694980.314251043,-17175058.910174165,505395.40269742755,-6394560.439047734,-6187499.320186645,-6018043.462974931,-6200694.148835548,198496.01997557562,56860512.020821065,57509935.819818355,58197280.2447571,57523241.30260483,703656.5772531673,34147488.2435951,34147488.2435951,34147488.2435951,34147488.2435951,0,42634698.39886467,43114666.34065017,43594949.64672785,43114776.994787775,505395.40269741544,25939718.084613603,25939718.084613603,25939718.084613603,25939718.084613603,0,14225813.62195642,14395269.479168138,14602330.598029222,14408464.30781704,198496.019975575,8207770.158981489,8207770.158981489,8207770.158981489,8207770.15898149,0,-17655231.562114242,-17174948.256036572,-16694980.314251043,-17175058.910174165,505395.40269742755,-6394560.439047734,-6187499.320186645,-6018043.462974931,-6200694.148835548,198496.01997557562,0,0,0,0,0,0,0,0,0,0,14225813.62195642,14395269.479168138,14602330.598029222,14408464.30781704,198496.019975575,8207770.158981489,8207770.158981489,8207770.158981489,8207770.15898149,0
HIS,FL,mrh-eq,-774355.1921683248,-746559.7107915335,-721277.9590572146,-747441.7211924009,27945.826866178555,0,0,0,0,0,-774355.1921683248,-746559.7107915335,-721277.9590572146,-747441.7211924009,27945.826866178555,-572410512.9727255,-551330219.2053071,-524358647.56863594,-549263104.163464,25353734.668139834,-558434.8383781887,-539321.2722932971,-520775.95179538353,-539520.6567097806,19821.218750216667,-215920.3537901358,-207238.43849823624,-200502.0072618307,-207921.0644826201,8136.424135396882,1923101.3062642585,1948383.0579985774,1976178.5393753685,1949265.068399445,27945.82686617838,1201823.347207044,1201823.347207044,1201823.347207044,1201823.347207044,0,1434463.4978336734,1453008.8183315876,1472122.3844164782,1453208.2027480705,19821.21875021646,913687.5460382894,913687.5460382894,913687.5460382894,913687.5460382894,0,488637.8084305849,495374.2396669904,504056.1549588901,496056.8656513744,8136.4241353969155,288135.8011687544,288135.8011687544,288135.8011687544,288135.8011687544,0,-558434.8383781887,-539321.2722932971,-520775.95179538353,-539520.6567097806,19821.218750216667,-215920.3537901358,-207238.43849823624,-200502.0072618307,-207921.0644826201,8136.424135396882,0,0,0,0,0,0,0,0,0,0,488637.8084305849,495374.2396669904,504056.1549588901,496056.8656513744,8136.4241353969155,288135.8011687544,288135.8011687544,288135.8011687544,288135.8011687544,0
HIS,Food_price,USD,-9421382.00794639,-8958043.724600455,-8596420.703047749,-8993733.290141938,435288.8745051359,0,0,0,0,0,-9421382.00794639,-8958043.724600455,-8596420.703047749,-8993733.290141938,435288.8745051359,-572410512.9727255,-551330219.2053071,-524358647.56863594,-549263104.163464,25353734.668139834,-6461423.075565759,-6148634.337417885,-5887929.3833476715,-6166909.349374958,302253.4274494731,-2959958.9323806334,-2809409.387182566,-2708491.3197000767,-2826823.9407669795,133207.8695008429,25187274.526066512,25548897.547619224,26012235.83096516,25584587.11316071,435288.87450514047,16590853.823018774,16590853.823018774,16590853.823018774,16590853.823018774,0,18406841.21842529,18667546.172495503,18980334.91064338,18685821.18445258,302253.42744947644,12518911.835077617,12518911.835077617,12518911.835077617,12518911.83507762,0,6780433.307641234,6881351.375123724,7031900.9203217905,6898765.928708137,133207.86950084282,4071941.987941156,4071941.987941156,4071941.987941156,4071941.9879411557,0,-6461423.075565759,-6148634.337417885,-5887929.3833476715,-6166909.349374958,302253.4274494731,-2959958.9323806334,-2809409.387182566,-2708491.3197000767,-2826823.9407669795,133207.8695008429,0,0,0,0,0,0,0,0,0,0,6780433.307641234,6881351.375123724,7031900.9203217905,6898765.928708137,133207.86950084282,4071941.987941156,4071941.987941156,4071941.987941156,4071941.9879411557,0
NHB,CED,MJ,-18322156.63963304,-18205106.572466724,-17590079.179668378,-18030377.686280046,413952.5979759749,0,0,0,0,0,-18322156.63963304,-18205106.572466724,-17590079.179668378,-18030377.686280046,413952.5979759749,-531205729.95481956,-529511497.381975,-498051694.61176634,-519067437.66360164,19654352.408143986,-13376907.209252402,-13281216.632374711,-12842739.730596337,-13160940.728900788,299816.37197918934,-4945249.430380635,-4923889.940092001,-4747339.449072039,-4869436.9573792545,114340.74911383557,39570337.8655821,40185365.25838045,40302415.32554678,40010636.372193776,413952.5979759775,21980258.685913723,21980258.685913723,21980258.685913723,21980258.685913723,0,29501386.111961044,29939863.01373943,30035553.590617113,29819587.110265505,299816.3719791912,16658646.381364705,16658646.381364705,16658646.381364705,16658646.381364705,0,10068951.753621057,10245502.244641028,10266861.734929662,10191049.261928277,114340.74911384113,5321612.304549024,5321612.304549024,5321612.304549024,5321612.304549024,0,-13376907.209252402,-13281216.632374711,-12842739.730596337,-13160940.728900788,299816.37197918934,-4945249.430380635,-4923889.940092001,-4747339.449072039,-4869436.9573792545,114340.74911383557,0,0,0,0,0,0,0,0,0,0,10068951.753621057,10245502.244641028,10266861.734929662,10191049.261928277,114340.74911384113,5321612.304549024,5321612.304549024,5321612.304549024,5321612.304549024,0
NHB,FL,mrh-eq,-601342.324106095,-599487.0761019631,-574624.3650500624,-591414.2820501142,15704.130068992012,0,0,0,0,0,-601342.324106095,-599487.0761019631,-574624.3650500624,-591414.2820501142,15704.130068992012,-531205729.95481956,-529511497.381975,-498051694.61176634,-519067437.66360164,19654352.408143986,-432802.11587535066,-430971.048884002,-413278.2829522065,-425405.5404838452,11349.94294798129,-168540.20823074435,-168516.0272179611,-161346.08209785586,-166008.74156626916,4364.808241044638,1327742.594134479,1352605.3051863804,1354460.5531905114,1344532.5111345313,15704.13006899202,753118.2290844166,753118.2290844166,753118.2290844166,753118.2290844166,0,984546.9170049351,1002239.6829367304,1004070.7499280793,996674.1745365737,11349.942947981246,571268.6340527287,571268.6340527287,571268.6340527287,571268.6340527287,0,343195.67712954397,350365.6222496492,350389.80326243263,347858.33659795736,4364.808241044689,181849.59503168825,181849.59503168825,181849.59503168825,181849.59503168825,0,-432802.11587535066,-430971.048884002,-413278.2829522065,-425405.5404838452,11349.94294798129,-168540.20823074435,-168516.0272179611,-161346.08209785586,-166008.74156626916,4364.808241044638,0,0,0,0,0,0,0,0,0,0,343195.67712954397,350365.6222496492,350389.80326243263,347858.33659795736,4364.808241044689,181849.59503168825,181849.59503168825,181849.59503168825,181849.59503168825,0
NHB,Food_price,USD,-8874632.074818293,-8725667.082379704,-8231480.232236962,-8604536.605992282,354383.05655624205,0,0,0,0,0,-8874632.074818293,-8725667.082379704,-8231480.232236962,-8604536.605992282,354383.05655624205,-531205729.95481956,-529511497.381975,-498051694.61176634,-519067437.66360164,19654352.408143986,-6132189.950187702,-6029946.950472247,-5676355.135437482,-5941754.383693541,251777.1299667354,-2742442.1246305904,-2695720.131907461,-2555125.096799481,-2662782.222298742,102631.64859783064,18553537.708348665,19047724.558491405,19196689.55092999,18926594.082103983,354383.0565562373,10322057.476111699,10322057.476111699,10322057.476111699,10322057.476111699,0,13382010.314360347,13735602.129395101,13837845.12911056,13647409.5626164,251777.12996673057,7705655.178922862,7705655.178922862,7705655.178922862,7705655.178922862,0,5171527.393988321,5312122.4290963,5358844.421819431,5279184.519487581,102631.64859783057,2616402.297188839,2616402.297188839,2616402.297188839,2616402.297188839,0,-6132189.950187702,-6029946.950472247,-5676355.135437482,-5941754.383693541,251777.1299667354,-2742442.1246305904,-2695720.131907461,-2555125.096799481,-2662782.222298742,102631.64859783064,0,0,0,0,0,0,0,0,0,0,5171527.393988321,5312122.4290963,5358844.421819431,5279184.519487581,102631.64859783057,2616402.297188839,2616402.297188839,2616402.297188839,2616402.297188839,0
NHW,CED,MJ,-128690027.91991155,-127561024.66752252,-124239259.01414971,-126791634.35138786,2435430.9601483056,0,0,0,0,0,-128690027.91991155,-127561024.66752252,-124239259.01414971,-126791634.35138786,2435430.9601483056,-3269801992.0239973,-3181860544.8644905,-3102754553.7836623,-3184960704.892097,87960688.12177612,-95432180.94603243,-94688968.87434946,-92333682.06818764,-94123328.61663759,1702772.461905342,-33257846.973879185,-32872055.79317307,-31905576.94596212,-32668305.73475032,733268.3290613105,266934030.44605047,270255796.09942323,271384799.3518123,269486405.7832886,2435430.9601482907,142694771.43190074,142694771.43190074,142694771.43190074,142694771.43190074,0,201134037.71020484,203489324.5163667,204232536.5880496,202923684.25865474,1702772.4619053318,108800355.64201722,108800355.64201722,108800355.64201722,108800355.6420172,0,65799992.73584562,66766471.583056584,67152262.76376268,66562721.524633825,733268.3290613111,33894415.78988352,33894415.78988352,33894415.78988352,33894415.78988352,0,-95432180.94603243,-94688968.87434946,-92333682.06818764,-94123328.61663759,1702772.461905342,-33257846.973879185,-32872055.79317307,-31905576.94596212,-32668305.73475032,733268.3290613105,0,0,0,0,0,0,0,0,0,0,65799992.73584562,66766471.583056584,67152262.76376268,66562721.524633825,733268.3290613111,33894415.78988352,33894415.78988352,33894415.78988352,33894415.78988352,0
NHW,FL,mrh-eq,-4208927.716355882,-4139820.02233912,-4025529.4599768044,-4123966.3843231364,97496.95306013407,0,0,0,0,0,-4208927.716355882,-4139820.02233912,-4025529.4599768044,-4123966.3843231364,97496.95306013407,-3269801992.0239973,-3181860544.8644905,-3102754553.7836623,-3184960704.892097,87960688.12177612,-3067688.2485311655,-3019745.131311555,-2940776.2043973897,-3008858.8822959214,67457.86394292183,-1141239.4678247164,-1120074.8910275658,-1084753.255579416,-1115107.5020272152,30039.21541429608,9058666.24493837,9172956.807300685,9242064.501317445,9157103.169284701,97496.95306013504,5033136.7849615645,5033136.7849615645,5033136.7849615645,5033136.7849615645,0,6771882.138089051,6850851.065003218,6898794.18222283,6839964.815987584,67457.8639429235,3831105.9336916637,3831105.9336916637,3831105.9336916637,3831105.9336916637,0,2286784.1068493165,2322105.7422974664,2343270.3190946174,2317138.353297116,30039.215414296417,1202030.851269901,1202030.851269901,1202030.851269901,1202030.851269901,0,-3067688.2485311655,-3019745.131311555,-2940776.2043973897,-3008858.8822959214,67457.86394292183,-1141239.4678247164,-1120074.8910275658,-1084753.255579416,-1115107.5020272152,30039.21541429608,0,0,0,0,0,0,0,0,0,0,2286784.1068493165,2322105.7422974664,2343270.3190946174,2317138.353297116,30039.215414296417,1202030.851269901,1202030.851269901,1202030.851269901,1202030.851269901,0
NHW,Food_price,USD,-58865060.55591742,-56912831.88913866,-54664275.162587665,-56808857.13132384,2212772.54465755,0,0,0,0,0,-58865060.55591742,-56912831.88913866,-54664275.162587665,-56808857.13132384,2212772.54465755,-3269801992.0239973,-3181860544.8644905,-3102754553.7836623,-3184960704.892097,87960688.12177612,-40667852.01037275,-39308960.75921286,-37824603.94415787,-39264937.754337385,1496931.9286663334,-18197208.545544658,-17603871.129925817,-16839671.21842978,-17543919.376986448,716377.2596971968,131028852.61202368,133277409.33857466,135229638.00535342,133173434.58075984,2212772.5446575307,76364577.44943598,76364577.44943598,76364577.44943598,76364577.44943598,0,95027442.0284589,96511798.84351389,97870690.09467377,96467775.83863841,1496931.9286663411,57202838.08430104,57202838.08430104,57202838.08430104,57202838.08430103,0,36001410.58356474,36765610.49506078,37358947.91067963,36705658.74212142,716377.259697202,19161739.365134966,19161739.365134966,19161739.365134966,19161739.365134966,0,-40667852.01037275,-39308960.75921286,-37824603.94415787,-39264937.754337385,1496931.9286663334,-18197208.545544658,-17603871.129925817,-16839671.21842978,-17543919.376986448,716377.2596971968,0,0,0,0,0,0,0,0,0,0,36001410.58356474,36765610.49506078,37358947.91067963,36705658.74212142,716377.259697202,19161739.365134966,19161739.365134966,19161739.365134966,19161739.365134966,0
OTH,CED,MJ,-14730517.68990546,-14691381.98811927,-14194260.072744126,-14530685.071070515,314686.38739636785,0,0,0,0,0,-14730517.68990546,-14691381.98811927,-14194260.072744126,-14530685.071070515,314686.38739636785,-383126125.81520844,-378950526.37689835,-357801950.3151447,-372995095.9827077,14291593.102279138,-11017481.788393814,-10940701.35004967,-10634489.787180018,-10860199.201093351,213290.46340718388,-3748699.3361454993,-3711054.5995875373,-3557788.9836400053,-3670485.8699771618,106444.45741563561,38001190.37633529,38498312.29171046,38537447.993496634,38337615.37466169,314686.3873963731,23806930.30359119,23806930.30359119,23806930.30359119,23806930.30359119,0,28829947.4377747,29136159.000644352,29212939.4389885,29055656.85168804,213290.46340718528,18195457.650594674,18195457.650594674,18195457.650594674,18195457.650594674,0,9169261.636636507,9322527.252584038,9360171.989141999,9281958.522973662,106444.45741563596,5611472.652996503,5611472.652996503,5611472.652996503,5611472.652996503,0,-11017481.788393814,-10940701.35004967,-10634489.787180018,-10860199.201093351,213290.46340718388,-3748699.3361454993,-3711054.5995875373,-3557788.9836400053,-3670485.8699771618,106444.45741563561,0,0,0,0,0,0,0,0,0,0,9169261.636636507,9322527.252584038,9360171.989141999,9281958.522973662,106444.45741563596,5611472.652996503,5611472.652996503,5611472.652996503,5611472.652996503,0
