outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
CED,MJ,-185001277.30737665,-183419885.1746383,-179867903.2722632,-182728450.1677482,2767337.040010255,0,0,0,0,0,-185001277.30737665,-183419885.1746383,-179867903.2722632,-182728450.1677482,2767337.040010255,-4722366412.608494,-4621174531.524556,-4534551312.295966,-4626286342.701871,98949132.88109033,-136859773.53689834,-135864234.07492414,-133316280.7513129,-135319527.45680588,1923730.7014875852,-48141503.77047821,-47555651.0997141,-46551622.52095035,-47408922.7109423,846372.8625270148,402497351.93726414,406049333.8396388,407630725.97237736,405357898.83274895,2767337.040010114,222629448.6650008,222629448.6650008,222629448.6650008,222629448.6650008,0,302910458.50990283,305458411.8335143,306453951.29548854,304913705.215396,1923730.7014877175,169594177.75859013,169594177.75859013,169594177.75859013,169594177.75859013,0,99586893.42736086,100590922.00612462,101176774.67688867,100444193.6173528,846372.8625269913,53035270.90641051,53035270.90641051,53035270.90641051,53035270.90641051,0,-136859773.53689834,-135864234.07492414,-133316280.7513129,-135319527.45680588,1923730.7014875852,-48141503.77047821,-47555651.0997141,-46551622.52095035,-47408922.7109423,846372.8625270148,0,0,0,0,0,0,0,0,0,0,99586893.42736086,100590922.00612462,101176774.67688867,100444193.6173528,846372.8625269913,53035270.90641051,53035270.90641051,53035270.90641051,53035270.90641051,0
FL,mrh-eq,-6041556.1018273905,-5940319.010520982,-5821592.70736803,-5934182.444960791,115892.12245775104,0,0,0,0,0,-6041556.1018273905,-5940319.010520982,-5821592.70736803,-5934182.444960791,115892.12245775104,-4722366412.608494,-4621174531.524556,-4534551312.295966,-4626286342.701871,98949132.88109033,-4393006.836110514,-4325408.655746837,-4242030.689714395,-4319871.888845515,79605.67172730787,-1648549.2657168806,-1614910.3547741484,-1579562.017653633,-1614310.556115277,36312.793321456054,13676437.638924181,13795163.942077138,13896401.033383546,13789027.376516944,115892.12245775391,7854844.9315561475,7854844.9315561475,7854844.9315561475,7854844.9315561475,0,10218884.762684135,10302262.728716578,10369860.909080254,10296725.961815255,79605.67172730794,5976854.072969745,5976854.072969745,5976854.072969745,5976854.072969745,0,3457552.876240039,3492901.213360553,3526540.1243032888,3492301.4147016834,36312.79332145743,1877990.8585864056,1877990.8585864056,1877990.8585864056,1877990.8585864056,0,-4393006.836110514,-4325408.655746837,-4242030.689714395,-4319871.888845515,79605.67172730787,-1648549.2657168806,-1614910.3547741484,-1579562.017653633,-1614310.556115277,36312.793321456054,0,0,0,0,0,0,0,0,0,0,3457552.876240039,3492901.213360553,3526540.1243032888,3492301.4147016834,36312.79332145743,1877990.8585864056,1877990.8585864056,1877990.8585864056,1877990.8585864056,0
Food_price,USD,-83098265.16454104,-80413192.20516479,-78517074.88978124,-80690018.74691662,2423041.9746239204,0,0,0,0,0,-83098265.16454104,-80413192.20516479,-78517074.88978124,-80690018.74691662,2423041.9746239204,-4722366412.608494,-4621174531.524556,-4534551312.295966,-4626286342.701871,98949132.88109033,-57422668.237591304,-55594928.09972021,-54339674.53256408,-55795800.58067283,1631926.7153240985,-25675596.92694971,-24818264.10544457,-24177400.357217073,-24894218.166243743,791263.3366918747,194641609.89599907,196537727.21138272,199222800.17075902,196814553.75313452,2423041.9746240154,116124535.0062179,116124535.0062179,116124535.0062179,116124535.0062179,0,141411625.22481388,142666878.79197004,144494618.92984116,142867751.27292266,1631926.7153241395,87071950.69224977,87071950.69224977,87071950.69224977,87071950.69224977,0,53229984.671185136,53870848.41941263,54728181.24091778,53946802.48021182,791263.3366918808,29052584.31396807,29052584.31396807,29052584.31396807,29052584.313968074,0,-57422668.237591304,-55594928.09972021,-54339674.53256408,-55795800.58067283,1631926.7153240985,-25675596.92694971,-24818264.10544457,-24177400.357217073,-24894218.166243743,791263.3366918747,0,0,0,0,0,0,0,0,0,0,53229984.671185136,53870848.41941263,54728181.24091778,53946802.48021182,791263.3366918808,29052584.31396807,29052584.31396807,29052584.31396807,29052584.313968074,0
