sex_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,CED,MJ,-105355775.91879678,-104085399.8185988,-103177181.20143119,-104212472.61966209,1151897.6622891952,0,0,0,0,0,-105355775.91879678,-104085399.8185988,-103177181.20143119,-104212472.61966209,1151897.6622891952,-2786060118.215983,-2771076695.803837,-2705865051.9144597,-2753452758.4434047,44882755.03927211,-78615600.28719378,-77542206.79100876,-77061508.74405658,-77750170.10652906,837536.3703403795,-26740175.63160304,-26543193.027589995,-26115672.457374603,-26462302.513133034,336068.24452663795,222711718.45651093,223619937.0736785,224890313.17387664,223747009.87474188,1151897.662289283,119534537.25507973,119534537.25507973,119534537.25507973,119534537.25507973,0,168729754.93412173,169210452.98107395,170283846.47725898,169418416.29659423,837536.3703403986,91668246.19006519,91668246.19006519,91668246.19006519,91668246.19006519,0,53981963.52238917,54409484.09260461,54606466.69661762,54328593.57814762,336068.24452664814,27866291.06501459,27866291.06501459,27866291.06501459,27866291.06501459,0,-78615600.28719378,-77542206.79100876,-77061508.74405658,-77750170.10652906,837536.3703403795,-26740175.63160304,-26543193.027589995,-26115672.457374603,-26462302.513133034,336068.24452663795,0,0,0,0,0,0,0,0,0,0,53981963.52238917,54409484.09260461,54606466.69661762,54328593.57814762,336068.24452664814,27866291.06501459,27866291.06501459,27866291.06501459,27866291.06501459,0
Female,FL,mrh-eq,-3451204.5607153303,-3444692.7825026964,-3371033.5564077357,-3421132.27447381,46869.64452846673,0,0,0,0,0,-3451204.5607153303,-3444692.7825026964,-3371033.5564077357,-3421132.27447381,46869.64452846673,-2786060118.215983,-2771076695.803837,-2705865051.9144597,-2753452758.4434047,44882755.03927211,-2527177.739536674,-2517993.952107714,-2471020.89595877,-2504734.559574386,31708.509177003827,-926558.1983309655,-923886.1891146392,-899872.0283849486,-916397.7148994236,15470.289729065935,7595788.420227841,7669447.646322803,7675959.424535434,7645887.1382939145,46869.64452846674,4224754.863820105,4224754.863820105,4224754.863820105,4224754.863820105,0,5700229.656071997,5747202.712220941,5756386.499649901,5733943.319687613,31708.50917700373,3229208.7601132276,3229208.7601132276,3229208.7601132276,3229208.7601132276,0,1895418.1320918286,1919432.2928215188,1922104.3020378454,1911943.8186063033,15470.289729065773,995546.1037068797,995546.1037068797,995546.1037068797,995546.1037068797,0,-2527177.739536674,-2517993.952107714,-2471020.89595877,-2504734.559574386,31708.509177003827,-926558.1983309655,-923886.1891146392,-899872.0283849486,-916397.7148994236,15470.289729065935,0,0,0,0,0,0,0,0,0,0,1895418.1320918286,1919432.2928215188,1922104.3020378454,1911943.8186063033,15470.289729065773,995546.1037068797,995546.1037068797,995546.1037068797,995546.1037068797,0
Female,Food_price,USD,-50561824.34972433,-49471409.746695735,-47945851.97000277,-49318727.93137491,1383162.302590678,0,0,0,0,0,-50561824.34972433,-49471409.746695735,-47945851.97000277,-49318727.93137491,1383162.302590678,-2786060118.215983,-2771076695.803837,-2705865051.9144597,-2753452758.4434047,44882755.03927211,-35083506.710851535,-34358890.4852068,-33332547.67512989,-34253021.50821305,926107.0122618465,-15478317.63887278,-15112519.261488965,-14613304.294872869,-15065706.42316185,457071.67832828296,111975205.63511153,113500763.41180451,114591178.01483299,113348081.59648363,1383162.3025906342,64029353.66510872,64029353.66510872,64029353.66510872,64029353.66510872,0,81311643.8638038,82337986.67388064,83062602.89952537,82232117.69688691,926107.0122618147,47979096.18867387,47979096.18867387,47979096.18867387,47979096.188673876,0,30663561.771307707,31162776.737923793,31528575.115307618,31115963.89959668,457071.67832828243,16050257.476434827,16050257.476434827,16050257.476434827,16050257.476434827,0,-35083506.710851535,-34358890.4852068,-33332547.67512989,-34253021.50821305,926107.0122618465,-15478317.63887278,-15112519.261488965,-14613304.294872869,-15065706.42316185,457071.67832828296,0,0,0,0,0,0,0,0,0,0,30663561.771307707,31162776.737923793,31528575.115307618,31115963.89959668,457071.67832828243,16050257.476434827,16050257.476434827,16050257.476434827,16050257.476434827,0
Male,CED,MJ,-80849015.58876732,-77997247.35583094,-76623860.1708216,-78515977.54808605,2268688.172497759,0,0,0,0,0,-80849015.58876732,-77997247.35583094,-76623860.1708216,-78515977.54808605,2268688.172497759,-1936306294.3925097,-1850097835.7207203,-1828686260.3815048,-1872833584.2584655,59966789.24762406,-59261072.351353504,-57192139.3931943,-56198277.61272026,-57569357.350276805,1644765.9750427017,-21587943.237413824,-20805107.962636676,-20425582.55810136,-20946620.19780925,623923.3310108329,179718771.58074266,181092158.76575196,183943926.99868834,181610888.9580071,2268688.1724977465,103094911.40992099,103094911.40992099,103094911.40992099,103094911.40992099,0,134124209.18124534,135118070.96171936,137187003.91987857,135495288.91880187,1644765.975042689,77925931.56852506,77925931.56852506,77925931.56852506,77925931.56852506,0,45594562.399497315,45974087.80403263,46756923.07880976,46115600.03920519,623923.331010828,25168979.841395937,25168979.841395937,25168979.841395937,25168979.841395933,0,-59261072.351353504,-57192139.3931943,-56198277.61272026,-57569357.350276805,1644765.9750427017,-21587943.237413824,-20805107.962636676,-20425582.55810136,-20946620.19780925,623923.3310108329,0,0,0,0,0,0,0,0,0,0,45594562.399497315,45974087.80403263,46756923.07880976,46115600.03920519,623923.331010828,25168979.841395937,25168979.841395937,25168979.841395937,25168979.841395933,0
Male,FL,mrh-eq,-2596520.5941556105,-2488771.7246365673,-2450216.425791205,-2513050.1704869815,79821.17552004062,0,0,0,0,0,-2596520.5941556105,-2488771.7246365673,-2450216.425791205,-2513050.1704869815,79821.17552004062,-1936306294.3925097,-1850097835.7207203,-1828686260.3815048,-1872833584.2584655,59966789.24762406,-1874529.526769696,-1797747.558977059,-1770526.4365225222,-1815137.3292711293,56772.379045491856,-721991.0673859147,-691024.1656595079,-679689.9892686844,-697912.8412158529,23049.161666558877,6080306.493527247,6118861.7923726095,6226610.661891655,6143140.238223024,79821.1755200423,3630090.067736042,3630090.067736042,3630090.067736042,3630090.067736042,0,4518171.749379038,4545392.871833575,4622174.839626213,4562782.642127645,56772.379045492155,2747645.312856517,2747645.312856517,2747645.312856517,2747645.312856517,0,1562134.7441482104,1573468.9205390343,1604435.8222654413,1580357.5960953794,23049.161666558957,882444.754879526,882444.754879526,882444.754879526,882444.754879526,0,-1874529.526769696,-1797747.558977059,-1770526.4365225222,-1815137.3292711293,56772.379045491856,-721991.0673859147,-691024.1656595079,-679689.9892686844,-697912.8412158529,23049.161666558877,0,0,0,0,0,0,0,0,0,0,1562134.7441482104,1573468.9205390343,1604435.8222654413,1580357.5960953794,23049.161666558957,882444.754879526,882444.754879526,882444.754879526,882444.754879526,0
Male,Food_price,USD,-32536440.81481672,-30941782.458469033,-30571222.91977842,-31371290.815541696,1099175.4670318232,0,0,0,0,0,-32536440.81481672,-30941782.458469033,-30571222.91977842,-31371290.815541696,1099175.4670318232,-1936306294.3925097,-1850097835.7207203,-1828686260.3815048,-1872833584.2584655,59966789.24762406,-22339161.5267398,-21236037.61451344,-21007126.857434217,-21542779.072459802,749712.0235883038,-10197279.288076926,-9705744.843955597,-9564096.062344193,-9828511.743081888,349803.13271897985,82666404.26088761,83036963.79957822,84631622.1559259,83466472.15665087,1099175.4670318177,52095181.34110915,52095181.34110915,52095181.34110915,52095181.34110915,0,60099981.36101017,60328892.11808939,61432016.03031576,60635633.57603576,749712.0235883095,39092854.503575936,39092854.503575936,39092854.503575936,39092854.503575936,0,22566422.899877444,22708071.681488845,23199606.125610176,22830838.580615133,349803.13271898194,13002326.837533241,13002326.837533241,13002326.837533241,13002326.837533241,0,-22339161.5267398,-21236037.61451344,-21007126.857434217,-21542779.072459802,749712.0235883038,-10197279.288076926,-9705744.843955597,-9564096.062344193,-9828511.743081888,349803.13271897985,0,0,0,0,0,0,0,0,0,0,22566422.899877444,22708071.681488845,23199606.125610176,22830838.580615133,349803.13271898194,13002326.837533241,13002326.837533241,13002326.837533241,13002326.837533241,0
