sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,-34791996.4386432,-35061425.300916,-35080530.8303054
Female,NHW,Food_price,USD,-26166989.4884799,-26275180.7080911,-26821262.4787204
Female,NHW,FL,mrh-eq,-1128937.04298025,-1134672.55339264,-1135772.21367398
Female,NHB,CED,MJ,-7573988.24719625,-7615863.76314326,-7793001.40550748
Female,NHB,Food_price,USD,-7323575.66220448,-7335057.8383086,-7218218.44842658
Female,NHB,FL,mrh-eq,-252608.431031194,-252692.974926636,-256899.732286712
Female,HIS,CED,MJ,-7543020.60425335,-7395729.28212676,-7423628.18751313
Female,HIS,Food_price,USD,-6159843.52926024,-5493810.74864743,-5510684.29090292
Female,HIS,FL,mrh-eq,-253516.690570846,-244016.284009838,-244015.237033915
Female,OTH,CED,MJ,-4227942.54133169,-3837282.16440578,-3669544.87271405
Female,OTH,Food_price,USD,-3117513.33335063,-2635011.85713335,-2954230.53665813
Female,OTH,FL,mrh-eq,-136635.553396798,-123163.806553291,-123540.565480095
Male,NHW,CED,MJ,-34295642.2931471,-34366236.6499303,-33777866.8219206
Male,NHW,Food_price,USD,-26313983.9034252,-24936423.5013593,-23900451.9877724
Male,NHW,FL,mrh-eq,-1097796.60898098,-1086507.29513811,-1063953.89848556
Male,NHB,CED,MJ,-6291826.10468465,-6027963.11020691,-6257578.30480292
Male,NHB,Food_price,USD,-5352233.86006551,-5308762.34100251,-5640304.9462682
Male,NHB,FL,mrh-eq,-197019.546186684,-189251.198448333,-198400.967561498
Male,HIS,CED,MJ,-7207615.14674248,-7863766.29829564,-7463805.8744515
Male,HIS,Food_price,USD,-5211508.97582547,-5344884.6262135,-5225285.21043265
Male,HIS,FL,mrh-eq,-220766.16528555,-238636.815191123,-227677.046540506
Male,OTH,CED,MJ,-3897562.09994872,-3828053.14042336,-3991773.65443585
Male,OTH,Food_price,USD,-2203285.46570318,-1978932.99231702,-2116067.15012264
Male,OTH,FL,mrh-eq,-124012.688688754,-121601.295847612,-125415.342905387
