age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-33765028.4687525,-32652926.3583974,-34579600.5565007
20-34,Food_price,USD,-28622029.3887176,-26624064.5926063,-28680541.4414242
20-34,FL,mrh-eq,-1064157.16762233,-1016824.50516687,-1080848.64115625
35-44,CED,MJ,-18721310.9227654,-19557280.2830384,-18843251.8181791
35-44,Food_price,USD,-15896428.4442686,-15967040.8461788,-15639270.1518604
35-44,FL,mrh-eq,-604508.942367058,-625754.019702068,-606421.284352282
45-54,CED,MJ,-16356642.3743464,-17144963.8376774,-15750706.7494786
45-54,Food_price,USD,-12223014.9035896,-12892581.7220729,-11348480.8577491
45-54,FL,mrh-eq,-531373.999283822,-556966.869679923,-504030.237058391
55-64,CED,MJ,-19243399.2140465,-19275857.4078306,-18800038.2729697
55-64,Food_price,USD,-14070716.0809311,-12920163.3528062,-12608438.6368461
55-64,FL,mrh-eq,-635699.284456796,-625163.22529585,-613218.241016649
65-74,CED,MJ,-10371448.6293869,-10279960.1496683,-10336952.8037739
65-74,Food_price,USD,-6220514.53813994,-6384508.03694749,-6463681.64552067
65-74,FL,mrh-eq,-330458.946739761,-332057.703103463,-333853.542043698
75+,CED,MJ,-7371763.86664978,-7085331.67283589,-7147179.75074879
75+,Food_price,USD,-4816230.86266781,-4519706.06246107,-4646092.31590344
75+,FL,mrh-eq,-245094.386651296,-233775.900559405,-237303.05834038
