race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-69087638.7317903,-69427661.9508463,-68858397.652226
NHW,Food_price,USD,-52480973.3919051,-51211604.2094504,-50721714.4664928
NHW,FL,mrh-eq,-2226733.65196123,-2221179.84853075,-2199726.11215954
NHB,CED,MJ,-13865814.3518809,-13643826.8733502,-14050579.7103104
NHB,Food_price,USD,-12675809.52227,-12643820.1793111,-12858523.3946948
NHB,FL,mrh-eq,-449627.977217878,-441944.173374968,-455300.69984821
HIS,CED,MJ,-14750635.7509958,-15259495.5804224,-14887434.0619646
HIS,Food_price,USD,-11371352.5050857,-10838695.3748609,-10735969.5013356
HIS,FL,mrh-eq,-474282.855856397,-482653.099200961,-471692.283574422
OTH,CED,MJ,-8125504.64128041,-7665335.30482914,-7661318.52714991
OTH,Food_price,USD,-5320798.79905381,-4613944.84945037,-5070297.68678077
OTH,FL,mrh-eq,-260648.242085552,-244765.102400902,-248955.908385482
