outcome,outcome_unit,X1,X2,X3
CED,MJ,-105829593.475947,-105996319.709448,-105457729.951651
Food_price,USD,-81848934.2183146,-79308064.6130728,-79386505.0493039
FL,mrh-eq,-3411292.72712106,-3390542.22350758,-3375675.00396765
