age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-33336373.0231434,-32671516.5016897,-32661996.8891277
20-34,Food_price,USD,-27469665.5119119,-26091466.6530522,-28277666.7664394
20-34,FL,mrh-eq,-1046923.99320872,-1015135.52773141,-1026598.55962552
35-44,CED,MJ,-17419678.6441183,-17218536.3971962,-18725536.4048368
35-44,Food_price,USD,-14510809.3326616,-14604412.7055964,-15521372.2921298
35-44,FL,mrh-eq,-558946.087404604,-556935.817102276,-607335.392548477
45-54,CED,MJ,-15263416.3547522,-16999169.9889334,-15946069.5658832
45-54,Food_price,USD,-10590231.4175926,-12675400.5990447,-10968327.3912886
45-54,FL,mrh-eq,-491605.835361171,-547471.898386575,-512091.720130983
55-64,CED,MJ,-17732956.0113248,-19338838.0976754,-17774908.8942042
55-64,Food_price,USD,-11851200.578685,-13443813.2710848,-11801666.5417532
55-64,FL,mrh-eq,-576699.596596013,-635350.219272392,-578872.818393787
65-74,CED,MJ,-10118687.7454231,-10050630.2069135,-10127043.9177058
65-74,Food_price,USD,-6077134.98968352,-6829844.93582417,-6326239.41381941
65-74,FL,mrh-eq,-326291.377355821,-326554.11837607,-327858.541671637
75+,CED,MJ,-7143005.21388374,-6757314.22163219,-6633290.63422313
75+,Food_price,USD,-4497877.73886427,-4261013.27576639,-4086475.33063063
75+,FL,mrh-eq,-234865.754889454,-222213.869953683,-216706.09366124
