outcome,outcome_unit,X1,X2,X3
CED,MJ,-101014116.992646,-103036005.414041,-101868846.305981
Food_price,USD,-74996919.5693989,-77905951.4403686,-76981747.736061
FL,mrh-eq,-3235332.64481578,-3303661.4508224,-3269463.12603164
